l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
7,16308,309,4,28.00,34280.40,0.03,0.04,N,O,1996-03-21,1996-04-08,1996-04-20,NONE,FOB,ng theodolites run furiously. 
7,15190,986,5,38.00,41997.22,0.08,0.01,N,O,1996-02-11,1996-02-24,1996-02-18,DELIVER IN PERSON,TRUCK,"he final, daring excuses. furiously eve"
7,7926,184,6,35.00,64187.20,0.06,0.03,N,O,1996-01-16,1996-02-23,1996-01-22,TAKE BACK RETURN,FOB,ely pending deposits. quietly unusual requ
7,15724,255,7,5.00,8198.60,0.04,0.02,N,O,1996-02-10,1996-03-26,1996-02-13,NONE,FOB,ithely about 
32,8271,788,1,28.00,33019.56,0.05,0.08,N,O,1995-10-23,1995-08-27,1995-10-26,TAKE BACK RETURN,TRUCK,y final gifts cajo
32,19793,63,2,32.00,54809.28,0.02,0.00,N,O,1995-08-14,1995-10-07,1995-08-27,COLLECT COD,AIR, accounts. deposits sleep ironicall
32,4417,672,3,2.00,2642.82,0.09,0.02,N,O,1995-08-07,1995-10-07,1995-08-23,DELIVER IN PERSON,AIR,lets. furiously ironic platelets boost 
32,275,776,4,4.00,4701.08,0.09,0.03,N,O,1995-08-04,1995-10-01,1995-09-03,NONE,REG AIR, platelets x-ray 
32,8582,841,5,44.00,65585.52,0.05,0.06,N,O,1995-08-28,1995-08-20,1995-09-14,DELIVER IN PERSON,AIR,as are bold requests. quickly regular brai
32,1162,414,6,6.00,6378.96,0.04,0.03,N,O,1995-07-21,1995-09-23,1995-07-25,COLLECT COD,RAIL,ly final asymptotes. qui
33,6134,903,1,31.00,32244.03,0.09,0.04,A,F,1993-10-29,1993-12-19,1993-11-08,COLLECT COD,TRUCK,uctions. slyly pending requests ca
33,6052,565,2,32.00,30657.60,0.02,0.05,A,F,1993-12-09,1994-01-04,1993-12-28,COLLECT COD,MAIL,"y ironic, regular"
33,13747,11,3,5.00,8303.70,0.05,0.03,A,F,1993-12-09,1993-12-25,1993-12-23,TAKE BACK RETURN,AIR, pending platelets ma
33,3392,393,4,41.00,53110.99,0.09,0.00,R,F,1993-11-09,1994-01-24,1993-11-11,TAKE BACK RETURN,MAIL,as about the slyly regular d
34,8837,96,1,13.00,22695.79,0.00,0.07,N,O,1998-10-23,1998-09-14,1998-11-06,NONE,REG AIR,boost fluffily about the quickl
34,8942,201,2,22.00,40720.68,0.08,0.06,N,O,1998-10-09,1998-10-16,1998-10-12,NONE,FOB,efully fluffi
34,16955,488,3,6.00,11231.70,0.02,0.06,N,O,1998-10-30,1998-09-20,1998-11-05,NONE,FOB,ar pinto beans.
35,45,296,1,24.00,22680.96,0.02,0.00,N,O,1996-02-21,1996-01-03,1996-03-18,TAKE BACK RETURN,FOB,r packages. eve
35,16194,461,2,34.00,37746.46,0.06,0.08,N,O,1996-01-22,1996-01-06,1996-01-27,DELIVER IN PERSON,RAIL,ptotes cajole fluffily across
35,12090,877,3,7.00,7014.63,0.06,0.04,N,O,1996-01-19,1995-12-22,1996-01-29,NONE,MAIL, deposits believe blith
35,8518,777,4,25.00,35662.75,0.06,0.05,N,O,1995-11-26,1995-12-25,1995-12-21,DELIVER IN PERSON,SHIP,gular platele
35,11992,515,5,34.00,64735.66,0.08,0.06,N,O,1995-11-08,1996-01-15,1995-11-26,COLLECT COD,MAIL,ites engage according to the iro
35,3077,331,6,28.00,27441.96,0.03,0.02,N,O,1996-02-01,1995-12-24,1996-02-28,COLLECT COD,RAIL,ajole final pack
36,11977,978,1,42.00,79336.74,0.09,0.00,N,O,1996-02-03,1996-01-21,1996-02-23,COLLECT COD,SHIP,s integrate about the fur
37,2263,516,1,40.00,46610.40,0.09,0.03,A,F,1992-07-21,1992-08-01,1992-08-15,NONE,REG AIR,lyly according to the ironic accounts. sly
37,12679,204,2,39.00,62075.13,0.05,0.02,A,F,1992-07-02,1992-08-18,1992-07-28,TAKE BACK RETURN,RAIL,"ts. fluffy, bold theod"
37,1291,543,3,43.00,51268.47,0.05,0.08,A,F,1992-07-10,1992-07-06,1992-08-02,DELIVER IN PERSON,TRUCK,nst the fi
38,17584,119,1,44.00,66069.52,0.04,0.02,N,O,1996-09-29,1996-11-17,1996-09-30,COLLECT COD,MAIL, dazzle quickly against the carefu
39,232,983,1,44.00,49818.12,0.09,0.06,N,O,1996-11-14,1996-12-15,1996-12-12,COLLECT COD,RAIL,c deposits wake fl
39,18659,464,2,26.00,41018.90,0.08,0.04,N,O,1996-11-04,1996-10-20,1996-11-20,NONE,FOB,le in place of the carefully r
39,6784,553,3,46.00,77775.88,0.06,0.08,N,O,1996-09-26,1996-12-19,1996-10-26,DELIVER IN PERSON,AIR,al accounts af
39,2059,312,4,32.00,30753.60,0.07,0.05,N,O,1996-10-02,1996-12-19,1996-10-14,COLLECT COD,MAIL,"the slyly silent instructions. regular, sil"
39,5452,963,5,43.00,58370.35,0.01,0.01,N,O,1996-10-17,1996-11-14,1996-10-26,COLLECT COD,MAIL,ideas eat flu
39,9437,697,6,40.00,53857.20,0.06,0.05,N,O,1996-12-08,1996-10-22,1997-01-01,COLLECT COD,AIR,ideas. furiously r
64,8596,597,1,21.00,31596.39,0.05,0.02,R,F,1994-09-30,1994-09-18,1994-10-26,DELIVER IN PERSON,REG AIR, fluffily pending theodolites h
65,5970,481,1,26.00,48775.22,0.03,0.03,A,F,1995-04-20,1995-04-25,1995-05-13,NONE,TRUCK,ly ironic pinto beans. packages haggle
65,7382,897,2,22.00,28366.36,0.00,0.05,N,O,1995-07-17,1995-06-04,1995-07-19,COLLECT COD,FOB,l packages. silent
65,139,390,3,21.00,21821.73,0.09,0.07,N,O,1995-07-06,1995-05-14,1995-07-31,DELIVER IN PERSON,RAIL,was above the furiously final warthogs. iro
66,11512,774,1,31.00,44128.81,0.00,0.08,R,F,1994-02-19,1994-03-11,1994-02-20,TAKE BACK RETURN,RAIL,"haggle blithely according to the even, "
66,17349,350,2,41.00,51919.94,0.04,0.07,A,F,1994-02-21,1994-03-01,1994-03-18,COLLECT COD,AIR,ut the slyl
67,2164,921,1,4.00,4264.64,0.09,0.04,N,O,1997-04-17,1997-01-31,1997-04-20,NONE,SHIP, above the blithely f
67,2020,525,2,12.00,11064.24,0.09,0.05,N,O,1997-01-27,1997-02-21,1997-02-22,NONE,REG AIR,blithely. blithely pe
67,17360,628,3,5.00,6386.80,0.03,0.07,N,O,1997-02-20,1997-02-12,1997-02-21,DELIVER IN PERSON,TRUCK,. slyly final asymptotes maintai
67,8752,753,4,44.00,73073.00,0.08,0.06,N,O,1997-03-18,1997-01-29,1997-04-13,DELIVER IN PERSON,RAIL,lets haggle slyly. carefully blithe asymp
67,4062,825,5,23.00,22219.38,0.05,0.07,N,O,1997-04-19,1997-02-14,1997-05-06,DELIVER IN PERSON,REG AIR,"ial, final request"
67,17831,99,6,29.00,50716.07,0.02,0.05,N,O,1997-01-25,1997-01-27,1997-01-27,DELIVER IN PERSON,FOB,ular foxes 
68,707,958,1,3.00,4823.10,0.05,0.02,N,O,1998-07-04,1998-06-05,1998-07-21,NONE,RAIL,ly regular excuses. blithely express braid
68,17518,320,2,46.00,66033.46,0.02,0.05,N,O,1998-06-26,1998-06-07,1998-07-05,NONE,MAIL,o beans. packages cajole furiously. r
68,3498,752,3,46.00,64468.54,0.04,0.05,N,O,1998-08-13,1998-07-08,1998-08-29,NONE,RAIL,aggle furiously across the slyly final depo
68,9473,251,4,20.00,27649.40,0.07,0.01,N,O,1998-06-27,1998-05-23,1998-07-02,NONE,REG AIR,onic foxes. blithely regular
68,8276,535,5,27.00,31975.29,0.03,0.06,N,O,1998-06-19,1998-06-25,1998-06-29,DELIVER IN PERSON,SHIP,arefully special excuses. instru
68,10257,518,6,30.00,35017.50,0.05,0.06,N,O,1998-08-11,1998-07-11,1998-08-14,NONE,RAIL,ifts across the slyly expre
68,13925,189,7,41.00,75395.72,0.09,0.08,N,O,1998-06-24,1998-06-27,1998-07-06,NONE,SHIP,"ravely busy pinto beans. regular, r"
69,11521,783,1,48.00,68760.96,0.01,0.07,A,F,1994-08-17,1994-08-11,1994-09-08,NONE,TRUCK,y against the slyly unusual foxes. regular
69,10418,939,2,32.00,42509.12,0.08,0.06,A,F,1994-08-24,1994-08-17,1994-08-31,NONE,REG AIR,gh the blithely express 
69,13727,517,3,17.00,27892.24,0.09,0.00,A,F,1994-07-02,1994-07-07,1994-07-03,TAKE BACK RETURN,AIR,the pinto beans. bli
69,3751,258,4,3.00,4964.25,0.09,0.04,R,F,1994-06-06,1994-07-27,1994-06-15,NONE,MAIL,haggle furiously 
69,9207,726,5,42.00,46880.40,0.07,0.04,R,F,1994-07-31,1994-07-26,1994-08-28,DELIVER IN PERSON,REG AIR,nts. theodolites wa
69,1851,103,6,23.00,40315.55,0.05,0.00,A,F,1994-10-03,1994-08-06,1994-10-24,NONE,SHIP,cies nag. express
70,6413,926,1,8.00,10555.28,0.03,0.08,R,F,1994-01-12,1994-02-27,1994-01-14,TAKE BACK RETURN,FOB,ng the regular pinto beans. fluff
70,19616,155,2,13.00,19962.93,0.06,0.06,A,F,1994-03-03,1994-02-13,1994-03-26,COLLECT COD,AIR,. bold packages acr
70,17981,783,3,1.00,1898.98,0.03,0.05,R,F,1994-01-26,1994-03-05,1994-01-28,TAKE BACK RETURN,RAIL,ts nag. fluffily unusual ideas along th
70,4574,83,4,11.00,16264.27,0.01,0.05,A,F,1994-03-17,1994-03-17,1994-03-27,NONE,MAIL,ts haggle blithely express dep
70,3714,221,5,37.00,59855.27,0.09,0.04,R,F,1994-02-13,1994-03-16,1994-02-21,COLLECT COD,MAIL,e packages. quick
70,5566,332,6,19.00,27959.64,0.06,0.03,A,F,1994-01-26,1994-02-17,1994-02-06,TAKE BACK RETURN,SHIP,ans boost slyly. final dependenc
71,6194,195,1,25.00,27504.75,0.09,0.07,N,O,1998-04-10,1998-04-22,1998-04-11,COLLECT COD,FOB, daring pin
71,6592,361,2,3.00,4495.77,0.09,0.07,N,O,1998-05-23,1998-04-03,1998-06-02,COLLECT COD,SHIP,o beans. final dependencies mol
71,3444,204,3,45.00,60634.80,0.00,0.07,N,O,1998-02-23,1998-03-20,1998-03-24,DELIVER IN PERSON,SHIP,y ironic packages wake carefully fu
71,9665,925,4,33.00,51963.78,0.00,0.01,N,O,1998-04-12,1998-03-20,1998-04-15,NONE,FOB,ravely. slowly ironic epitaphs arou
71,10326,587,5,39.00,48216.48,0.08,0.06,N,O,1998-01-29,1998-04-07,1998-02-18,DELIVER IN PERSON,RAIL,g the blithely ironic deposits. 
71,19564,103,6,34.00,50441.04,0.04,0.01,N,O,1998-03-05,1998-04-22,1998-03-30,DELIVER IN PERSON,TRUCK,ns. pendin
96,12308,95,1,23.00,28066.90,0.10,0.06,A,F,1994-07-19,1994-06-29,1994-07-25,DELIVER IN PERSON,TRUCK,furiously stealthy
96,13539,540,2,30.00,43575.90,0.01,0.06,R,F,1994-06-03,1994-05-29,1994-06-22,DELIVER IN PERSON,TRUCK,sublate furiously. silently 
97,11948,210,1,13.00,24179.22,0.00,0.02,R,F,1993-04-01,1993-04-04,1993-04-08,NONE,TRUCK,as: blithely ironic packages wake 
97,4957,212,2,37.00,68892.15,0.02,0.06,A,F,1993-04-13,1993-03-30,1993-04-14,DELIVER IN PERSON,SHIP,st the slyly thin accounts. requ
97,7770,542,3,19.00,31877.63,0.06,0.08,R,F,1993-05-14,1993-03-05,1993-05-25,TAKE BACK RETURN,RAIL,final deposits detect slyly slyly regular
98,4022,23,1,28.00,25928.56,0.06,0.07,A,F,1994-12-24,1994-10-25,1995-01-16,COLLECT COD,REG AIR,gular accounts after the sly
98,10975,756,2,1.00,1885.97,0.00,0.00,A,F,1994-12-01,1994-12-12,1994-12-15,DELIVER IN PERSON,TRUCK,ly express asymptotes haggle c
98,4471,472,3,14.00,19256.58,0.05,0.02,A,F,1994-12-30,1994-11-22,1995-01-27,COLLECT COD,AIR,"e special, special deposits. ironic depos"
