# Mismatches variante B / D-IP-extra-hostile:
row 172: orig='089.056.013.067' rec='89.56.13.67' status=compressible
row 185: orig='014.092.139.158' rec='14.92.139.158' status=compressible
row 193: orig='086.039.058.099' rec='86.39.58.99' status=compressible
row 194: orig='115.219.013.136' rec='115.219.13.136' status=compressible
row 211: orig='172.067.192.078' rec='172.67.192.78' status=compressible
row 217: orig='196.236.021.230' rec='196.236.21.230' status=compressible
row 219: orig='148.058.207.010' rec='148.58.207.10' status=compressible
row 221: orig='073.205.035.072' rec='73.205.35.72' status=compressible
row 233: orig='049.120.069.198' rec='49.120.69.198' status=compressible
row 238: orig='224.017.064.034' rec='224.17.64.34' status=compressible
row 242: orig='096.164.243.077' rec='96.164.243.77' status=compressible
row 243: orig='016.078.230.189' rec='16.78.230.189' status=compressible
row 251: orig='023.166.028.150' rec='23.166.28.150' status=compressible
row 263: orig='041.139.226.217' rec='41.139.226.217' status=compressible
row 269: orig='148.153.080.089' rec='148.153.80.89' status=compressible
row 273: orig='046.151.167.212' rec='46.151.167.212' status=compressible
row 276: orig='070.128.026.246' rec='70.128.26.246' status=compressible
row 279: orig='056.145.249.157' rec='56.145.249.157' status=compressible
row 283: orig='064.215.058.032' rec='64.215.58.32' status=compressible
row 287: orig='243.229.185.055' rec='243.229.185.55' status=compressible
row 290: orig='123.073.149.219' rec='123.73.149.219' status=compressible
row 292: orig='022.102.021.161' rec='22.102.21.161' status=compressible
row 294: orig='025.254.146.117' rec='25.254.146.117' status=compressible
row 298: orig='070.049.020.158' rec='70.49.20.158' status=compressible
row 299: orig='042.082.139.230' rec='42.82.139.230' status=compressible
row 301: orig='251.102.062.069' rec='251.102.62.69' status=compressible
row 302: orig='233.007.073.209' rec='233.7.73.209' status=compressible
row 304: orig='050.188.183.031' rec='50.188.183.31' status=compressible
row 308: orig='196.119.210.022' rec='196.119.210.22' status=compressible
row 310: orig='027.202.191.120' rec='27.202.191.120' status=compressible
row 312: orig='000.180.123.213' rec='0.180.123.213' status=compressible
row 320: orig='231.113.022.154' rec='231.113.22.154' status=compressible
row 327: orig='234.015.031.245' rec='234.15.31.245' status=compressible
row 336: orig='254.073.118.236' rec='254.73.118.236' status=compressible
row 337: orig='078.087.172.021' rec='78.87.172.21' status=compressible
row 340: orig='046.222.050.051' rec='46.222.50.51' status=compressible
row 361: orig='173.203.041.168' rec='173.203.41.168' status=compressible
row 364: orig='181.036.203.021' rec='181.36.203.21' status=compressible
row 367: orig='151.173.058.239' rec='151.173.58.239' status=compressible
row 383: orig='119.241.012.167' rec='119.241.12.167' status=compressible
row 395: orig='161.077.225.034' rec='161.77.225.34' status=compressible
row 402: orig='169.051.225.051' rec='169.51.225.51' status=compressible
row 409: orig='079.246.114.055' rec='79.246.114.55' status=compressible
row 410: orig='025.170.124.064' rec='25.170.124.64' status=compressible
row 414: orig='205.218.055.251' rec='205.218.55.251' status=compressible
row 418: orig='245.210.209.037' rec='245.210.209.37' status=compressible
row 425: orig='230.178.013.212' rec='230.178.13.212' status=compressible
row 428: orig='018.097.146.182' rec='18.97.146.182' status=compressible
row 429: orig='147.121.154.062' rec='147.121.154.62' status=compressible
row 435: orig='195.214.082.102' rec='195.214.82.102' status=compressible
row 440: orig='134.195.190.055' rec='134.195.190.55' status=compressible
row 442: orig='224.224.081.186' rec='224.224.81.186' status=compressible
row 444: orig='003.104.154.108' rec='3.104.154.108' status=compressible
row 445: orig='039.151.051.019' rec='39.151.51.19' status=compressible
row 454: orig='228.021.180.222' rec='228.21.180.222' status=compressible
row 460: orig='190.052.063.145' rec='190.52.63.145' status=compressible
row 462: orig='002.040.009.131' rec='2.40.9.131' status=compressible
row 465: orig='075.033.064.140' rec='75.33.64.140' status=compressible
row 472: orig='077.253.018.064' rec='77.253.18.64' status=compressible
row 473: orig='014.163.050.171' rec='14.163.50.171' status=compressible
row 483: orig='119.168.075.001' rec='119.168.75.1' status=compressible
row 486: orig='189.159.166.043' rec='189.159.166.43' status=compressible
row 489: orig='038.072.115.203' rec='38.72.115.203' status=compressible
row 491: orig='088.078.038.090' rec='88.78.38.90' status=compressible
row 495: orig='217.040.220.092' rec='217.40.220.92' status=compressible
row 497: orig='166.087.235.185' rec='166.87.235.185' status=compressible
row 499: orig='143.016.189.111' rec='143.16.189.111' status=compressible
row 508: orig='232.046.108.010' rec='232.46.108.10' status=compressible
row 509: orig='194.162.249.018' rec='194.162.249.18' status=compressible
row 513: orig='159.180.053.108' rec='159.180.53.108' status=compressible
row 516: orig='026.079.080.025' rec='26.79.80.25' status=compressible
row 527: orig='011.202.140.004' rec='11.202.140.4' status=compressible
row 543: orig='232.189.214.079' rec='232.189.214.79' status=compressible
row 545: orig='064.162.037.230' rec='64.162.37.230' status=compressible
row 551: orig='209.059.071.023' rec='209.59.71.23' status=compressible
row 552: orig='007.183.121.165' rec='7.183.121.165' status=compressible
row 566: orig='207.152.232.037' rec='207.152.232.37' status=compressible
row 584: orig='234.018.150.103' rec='234.18.150.103' status=compressible
row 594: orig='072.179.158.200' rec='72.179.158.200' status=compressible
row 596: orig='010.199.240.022' rec='10.199.240.22' status=compressible
row 599: orig='127.058.013.095' rec='127.58.13.95' status=compressible
row 604: orig='221.049.190.066' rec='221.49.190.66' status=compressible
row 614: orig='075.223.046.113' rec='75.223.46.113' status=compressible
row 623: orig='185.114.062.102' rec='185.114.62.102' status=compressible
row 625: orig='125.210.092.087' rec='125.210.92.87' status=compressible
row 632: orig='168.065.047.216' rec='168.65.47.216' status=compressible
row 637: orig='070.130.148.167' rec='70.130.148.167' status=compressible
row 643: orig='245.093.069.032' rec='245.93.69.32' status=compressible
row 644: orig='040.128.100.140' rec='40.128.100.140' status=compressible
row 651: orig='140.029.038.207' rec='140.29.38.207' status=compressible
row 654: orig='048.160.218.160' rec='48.160.218.160' status=compressible
row 663: orig='223.009.235.039' rec='223.9.235.39' status=compressible
row 670: orig='053.170.068.022' rec='53.170.68.22' status=compressible
row 674: orig='254.188.136.042' rec='254.188.136.42' status=compressible
row 675: orig='008.089.135.026' rec='8.89.135.26' status=compressible
row 690: orig='183.191.220.074' rec='183.191.220.74' status=compressible
row 697: orig='015.046.110.192' rec='15.46.110.192' status=compressible
row 698: orig='196.247.054.121' rec='196.247.54.121' status=compressible
row 701: orig='212.050.250.208' rec='212.50.250.208' status=compressible
row 706: orig='130.235.130.004' rec='130.235.130.4' status=compressible
row 709: orig='110.058.176.220' rec='110.58.176.220' status=compressible
row 710: orig='066.221.028.063' rec='66.221.28.63' status=compressible
row 711: orig='071.121.252.013' rec='71.121.252.13' status=compressible
row 719: orig='083.092.084.224' rec='83.92.84.224' status=compressible
row 733: orig='218.085.227.179' rec='218.85.227.179' status=compressible
row 741: orig='220.050.058.110' rec='220.50.58.110' status=compressible
row 742: orig='122.158.240.099' rec='122.158.240.99' status=compressible
row 743: orig='105.035.106.110' rec='105.35.106.110' status=compressible
row 755: orig='135.063.232.188' rec='135.63.232.188' status=compressible
row 757: orig='074.070.019.146' rec='74.70.19.146' status=compressible
row 760: orig='197.173.095.254' rec='197.173.95.254' status=compressible
row 761: orig='023.112.202.028' rec='23.112.202.28' status=compressible
row 765: orig='024.122.214.234' rec='24.122.214.234' status=compressible
row 767: orig='223.205.040.202' rec='223.205.40.202' status=compressible
row 779: orig='178.179.075.120' rec='178.179.75.120' status=compressible
row 783: orig='110.076.216.056' rec='110.76.216.56' status=compressible
row 784: orig='182.034.176.123' rec='182.34.176.123' status=compressible
row 796: orig='066.043.158.192' rec='66.43.158.192' status=compressible
row 799: orig='043.088.020.126' rec='43.88.20.126' status=compressible
row 806: orig='203.141.097.062' rec='203.141.97.62' status=compressible
row 822: orig='241.071.240.229' rec='241.71.240.229' status=compressible
row 823: orig='214.232.174.080' rec='214.232.174.80' status=compressible
row 840: orig='185.009.185.158' rec='185.9.185.158' status=compressible
row 844: orig='035.120.147.116' rec='35.120.147.116' status=compressible
row 845: orig='107.213.015.254' rec='107.213.15.254' status=compressible
row 846: orig='019.155.252.059' rec='19.155.252.59' status=compressible
row 850: orig='198.191.129.008' rec='198.191.129.8' status=compressible
row 857: orig='030.168.062.210' rec='30.168.62.210' status=compressible
row 859: orig='079.038.240.135' rec='79.38.240.135' status=compressible
row 860: orig='031.230.052.175' rec='31.230.52.175' status=compressible
row 865: orig='037.231.088.227' rec='37.231.88.227' status=compressible
row 869: orig='227.085.153.014' rec='227.85.153.14' status=compressible
row 882: orig='186.081.015.073' rec='186.81.15.73' status=compressible
row 887: orig='179.188.058.142' rec='179.188.58.142' status=compressible
row 891: orig='032.056.255.008' rec='32.56.255.8' status=compressible
row 924: orig='078.155.084.082' rec='78.155.84.82' status=compressible
row 932: orig='150.164.052.040' rec='150.164.52.40' status=compressible
row 936: orig='095.043.184.034' rec='95.43.184.34' status=compressible
row 937: orig='181.216.026.147' rec='181.216.26.147' status=compressible
row 966: orig='227.037.041.164' rec='227.37.41.164' status=compressible
row 968: orig='139.084.131.246' rec='139.84.131.246' status=compressible
row 974: orig='190.227.039.070' rec='190.227.39.70' status=compressible
row 977: orig='129.076.170.041' rec='129.76.170.41' status=compressible
row 983: orig='187.046.202.007' rec='187.46.202.7' status=compressible
