sonda,rota,arquivo_sonda,comportamento_atual,detalhe_atual,comportamento_proposto,detalhe_proposto,comportamento_proposto_tam_exato,detalhe_proposto_tam_exato
s02-exclamacao-meio,lazy-bB,lazy-bB-s02-exclamacao-meio.tcf,FAIL-LOUD TCF,"#TCF.8bB: payload nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8bB: payload nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8bB: payload nao e' base64 canonico: Only base64 data is allowed"
s02-exclamacao-meio,ref-silencioso,ref-silencioso-s02-exclamacao-meio.tcf,BINASCII CRU,"Error: Incorrect padding",FAIL-LOUD TCF,"#TCF.8B: payload bN nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8B: payload bN nao e' base64 canonico: Only base64 data is allowed"
s03-espaco-fim,bn-B,bn-B-s03-espaco-fim.tcf,BINASCII CRU,"Error: Invalid base64-encoded string: number of data characters (33) cannot be 1 more than a multiple of 4",FAIL-LOUD TCF,"#TCF.8B: payload bN nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8B: payload bN nao e' base64 canonico: Only base64 data is allowed"
s03-espaco-fim,bn-C,bn-C-s03-espaco-fim.tcf,BINASCII CRU,"Error: Invalid base64-encoded string: number of data characters (33) cannot be 1 more than a multiple of 4",FAIL-LOUD TCF,"#TCF.8C: payload bN nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8C: payload bN nao e' base64 canonico: Only base64 data is allowed"
s03-espaco-fim,denso-b1,denso-b1-s03-espaco-fim.tcf,FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is allowed"
s03-espaco-fim,denso-b2,denso-b2-s03-espaco-fim.tcf,FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is allowed"
s03-espaco-fim,lazy-bB,lazy-bB-s03-espaco-fim.tcf,FAIL-LOUD TCF,"#TCF.8bB: payload nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8bB: payload nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8bB: payload nao e' base64 canonico: Only base64 data is allowed"
s03-espaco-fim,ref-silencioso,ref-silencioso-s03-espaco-fim.tcf,BINASCII CRU,"Error: Incorrect padding",FAIL-LOUD TCF,"#TCF.8B: payload bN nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8B: payload bN nao e' base64 canonico: Only base64 data is allowed"
s04-insere-4x-exclamacao-meio,bn-B,bn-B-s04-insere-4x-exclamacao-meio.tcf,SILENCIOSO-IGUAL,"",FAIL-LOUD TCF,"#TCF.8B: payload bN nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8B: payload bN nao e' base64 canonico: Only base64 data is allowed"
s04-insere-4x-exclamacao-meio,bn-C,bn-C-s04-insere-4x-exclamacao-meio.tcf,FAIL-LOUD TCF,"dominio bN com 3 valores nao cabe em 1 bits",FAIL-LOUD TCF,"dominio bN com 3 valores nao cabe em 1 bits",FAIL-LOUD TCF,"dominio bN com 3 valores nao cabe em 1 bits"
s04-insere-4x-exclamacao-meio,denso-b1,denso-b1-s04-insere-4x-exclamacao-meio.tcf,FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is allowed"
s04-insere-4x-exclamacao-meio,denso-b2,denso-b2-s04-insere-4x-exclamacao-meio.tcf,FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is allowed"
s04-insere-4x-exclamacao-meio,lazy-bB,lazy-bB-s04-insere-4x-exclamacao-meio.tcf,FAIL-LOUD TCF,"#TCF.8bB: payload nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8bB: payload nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8bB: payload nao e' base64 canonico: Only base64 data is allowed"
s04-insere-4x-exclamacao-meio,ref-silencioso,ref-silencioso-s04-insere-4x-exclamacao-meio.tcf,SILENCIOSO-IGUAL,"",FAIL-LOUD TCF,"#TCF.8B: payload bN nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8B: payload bN nao e' base64 canonico: Only base64 data is allowed"
s05-igual-no-meio,bn-B,bn-B-s05-igual-no-meio.tcf,BINASCII CRU,"Error: Invalid base64-encoded string: number of data characters (33) cannot be 1 more than a multiple of 4",FAIL-LOUD TCF,"#TCF.8B: payload bN nao e' base64 canonico: Invalid base64-encoded string: number of data characters",FAIL-LOUD TCF,"#TCF.8B: payload bN nao e' base64 canonico: Invalid base64-encoded string: number of data characters"
s05-igual-no-meio,bn-C,bn-C-s05-igual-no-meio.tcf,BINASCII CRU,"Error: Invalid base64-encoded string: number of data characters (33) cannot be 1 more than a multiple of 4",FAIL-LOUD TCF,"#TCF.8C: payload bN nao e' base64 canonico: Invalid base64-encoded string: number of data characters",FAIL-LOUD TCF,"#TCF.8C: payload bN nao e' base64 canonico: Invalid base64-encoded string: number of data characters"
s05-igual-no-meio,denso-b1,denso-b1-s05-igual-no-meio.tcf,FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Discontinuous padding not allowed",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Discontinuous padding not allowed",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Discontinuous padding not allowed"
s05-igual-no-meio,denso-b2,denso-b2-s05-igual-no-meio.tcf,FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Discontinuous padding not allowed",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Discontinuous padding not allowed",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Discontinuous padding not allowed"
s05-igual-no-meio,lazy-bB,lazy-bB-s05-igual-no-meio.tcf,FAIL-LOUD TCF,"#TCF.8bB: payload nao e' base64 canonico: Invalid base64-encoded string: number of data characters (",FAIL-LOUD TCF,"#TCF.8bB: payload nao e' base64 canonico: Invalid base64-encoded string: number of data characters (",FAIL-LOUD TCF,"#TCF.8bB: payload nao e' base64 canonico: Invalid base64-encoded string: number of data characters ("
s05-igual-no-meio,ref-silencioso,ref-silencioso-s05-igual-no-meio.tcf,BINASCII CRU,"Error: Incorrect padding",FAIL-LOUD TCF,"#TCF.8B: payload bN nao e' base64 canonico: Excess padding not allowed",FAIL-LOUD TCF,"#TCF.8B: payload bN nao e' base64 canonico: Excess padding not allowed"
s06-padding-extra-fim,bn-B,bn-B-s06-padding-extra-fim.tcf,SILENCIOSO-IGUAL,"",SILENCIOSO-IGUAL,"",SILENCIOSO-IGUAL,""
s06-padding-extra-fim,bn-C,bn-C-s06-padding-extra-fim.tcf,FAIL-LOUD TCF,"dominio bN com 3 valores nao cabe em 1 bits",FAIL-LOUD TCF,"dominio bN com 3 valores nao cabe em 1 bits",FAIL-LOUD TCF,"dominio bN com 3 valores nao cabe em 1 bits"
s06-padding-extra-fim,denso-b1,denso-b1-s06-padding-extra-fim.tcf,FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Excess padding not allowed",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Excess padding not allowed",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Excess padding not allowed"
s06-padding-extra-fim,denso-b2,denso-b2-s06-padding-extra-fim.tcf,FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Excess padding not allowed",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Excess padding not allowed",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Excess padding not allowed"
s06-padding-extra-fim,lazy-bB,lazy-bB-s06-padding-extra-fim.tcf,FAIL-LOUD TCF,"#TCF.8bB: payload nao e' base64 canonico: Excess padding not allowed",FAIL-LOUD TCF,"#TCF.8bB: payload nao e' base64 canonico: Excess padding not allowed",FAIL-LOUD TCF,"#TCF.8bB: payload nao e' base64 canonico: Excess padding not allowed"
s06-padding-extra-fim,ref-silencioso,ref-silencioso-s06-padding-extra-fim.tcf,SILENCIOSO-IGUAL,"",FAIL-LOUD TCF,"#TCF.8B: payload bN nao e' base64 canonico: Excess padding not allowed",FAIL-LOUD TCF,"#TCF.8B: payload bN nao e' base64 canonico: Excess padding not allowed"
s07-payload-curto,bn-B,bn-B-s07-payload-curto.tcf,FAIL-LOUD TCF,"payload denso curto: 24 bytes nao cobrem 200 simbolos de 1 bits",FAIL-LOUD TCF,"payload denso curto: 24 bytes nao cobrem 200 simbolos de 1 bits",FAIL-LOUD TCF,"#TCF.8B: payload bN = 24 bytes, esperado 25 p/ n=200 w=1 (wire truncado/adulterado)"
s07-payload-curto,bn-C,bn-C-s07-payload-curto.tcf,BINASCII CRU,"Error: Invalid base64-encoded string: number of data characters (33) cannot be 1 more than a multiple of 4",FAIL-LOUD TCF,"#TCF.8C: payload bN nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8C: payload bN nao e' base64 canonico: Only base64 data is allowed"
s07-payload-curto,denso-b1,denso-b1-s07-payload-curto.tcf,FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Incorrect padding",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Incorrect padding",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Incorrect padding"
s07-payload-curto,denso-b2,denso-b2-s07-payload-curto.tcf,FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Incorrect padding",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Incorrect padding",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Incorrect padding"
s07-payload-curto,lazy-bB,lazy-bB-s07-payload-curto.tcf,FAIL-LOUD TCF,"#TCF.8bB: payload nao e' base64 canonico: Invalid base64-encoded string: number of data characters (",FAIL-LOUD TCF,"#TCF.8bB: payload nao e' base64 canonico: Invalid base64-encoded string: number of data characters (",FAIL-LOUD TCF,"#TCF.8bB: payload nao e' base64 canonico: Invalid base64-encoded string: number of data characters ("
s07-payload-curto,ref-silencioso,ref-silencioso-s07-payload-curto.tcf,FAIL-LOUD TCF,"payload denso curto: 22 bytes nao cobrem 192 simbolos de 1 bits",FAIL-LOUD TCF,"payload denso curto: 22 bytes nao cobrem 192 simbolos de 1 bits",FAIL-LOUD TCF,"#TCF.8B: payload bN = 22 bytes, esperado 24 p/ n=192 w=1 (wire truncado/adulterado)"
s08-payload-longo,bn-B,bn-B-s08-payload-longo.tcf,SILENCIOSO-IGUAL,"",SILENCIOSO-IGUAL,"",FAIL-LOUD TCF,"#TCF.8B: payload bN = 27 bytes, esperado 25 p/ n=200 w=1 (wire truncado/adulterado)"
s08-payload-longo,bn-C,bn-C-s08-payload-longo.tcf,FAIL-LOUD TCF,"dominio bN com 3 valores nao cabe em 1 bits",FAIL-LOUD TCF,"dominio bN com 3 valores nao cabe em 1 bits",FAIL-LOUD TCF,"dominio bN com 3 valores nao cabe em 1 bits"
s08-payload-longo,denso-b1,denso-b1-s08-payload-longo.tcf,FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Excess data after padding",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Excess data after padding",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Excess data after padding"
s08-payload-longo,denso-b2,denso-b2-s08-payload-longo.tcf,FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Incorrect padding",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Incorrect padding",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Incorrect padding"
s08-payload-longo,lazy-bB,lazy-bB-s08-payload-longo.tcf,FAIL-LOUD TCF,"#TCF.8bB: payload nao e' base64 canonico: Invalid base64-encoded string: number of data characters (",FAIL-LOUD TCF,"#TCF.8bB: payload nao e' base64 canonico: Invalid base64-encoded string: number of data characters (",FAIL-LOUD TCF,"#TCF.8bB: payload nao e' base64 canonico: Invalid base64-encoded string: number of data characters ("
s08-payload-longo,ref-silencioso,ref-silencioso-s08-payload-longo.tcf,SILENCIOSO-IGUAL,"",SILENCIOSO-IGUAL,"",FAIL-LOUD TCF,"#TCF.8B: payload bN = 25 bytes, esperado 24 p/ n=192 w=1 (wire truncado/adulterado)"
