# POR COLUNA — bN vs producao real (min tcf/raw/v2b/split) por fonte

| fonte | coluna | k | modo-prod | prod B | bN B | bN vence? |
| ibge.municipios | id | 5571 | tcf | 32375 | - | nao |
| ibge.municipios | municipio | 5298 | raw | 73102 | - | nao |
| ibge.municipios | microrregiao | 555 | v2b | 17622 | - | nao |
| ibge.municipios | mesorregiao | 138 | v2b | 12991 | 7418 | SIM |
| ibge.municipios | uf_sigla | 27 | tcf | 202 | 5655 | nao |
| ibge.municipios | uf_nome | 27 | tcf | 397 | 5850 | nao |
| ibge.municipios | regiao_sigla | 5 | tcf | 41 | 2802 | nao |
| ibge.municipios | regiao_nome | 5 | tcf | 63 | 2824 | nao |
| beijing-pm25 | No | 20000 | tcf | 60 | - | nao |
| beijing-pm25 | year | 3 | tcf | 34 | 5020 | nao |
| beijing-pm25 | month | 12 | tcf | 227 | 10020 | nao |
| beijing-pm25 | day | 31 | tcf | 6206 | 20021 | nao |
| beijing-pm25 | hour | 24 | v2b | 20022 | 20022 | nao |
| beijing-pm25 | pm2.5 | 535 | v2b | 42803 | - | nao |
| beijing-pm25 | DEWP | 57 | v2b | 20170 | 20169 | SIM |
| beijing-pm25 | TEMP | 61 | v2b | 20185 | 20184 | SIM |
| beijing-pm25 | PRES | 56 | v2b | 20206 | 20205 | SIM |
| beijing-pm25 | cbwd | 4 | v2b | 20015 | 5015 | SIM |
| beijing-pm25 | Iws | 2016 | v2b | 56904 | - | nao |
| beijing-pm25 | Is | 28 | tcf | 859 | 20048 | nao |
| beijing-pm25 | Ir | 37 | tcf | 3808 | 20022 | nao |
| online-retail | InvoiceNo | 938 | tcf | 9689 | - | nao |
| online-retail | StockCode | 2408 | v2b | 56633 | - | nao |
| online-retail | Description | 2363 | v2b | 94303 | - | nao |
| online-retail | Quantity | 156 | v2b | 40779 | 20778 | SIM |
| online-retail | InvoiceDate | 807 | split | 6371 | - | nao |
| online-retail | UnitPrice | 207 | split | 40763 | 21560 | SIM |
| online-retail | CustomerID | 560 | tcf | 8387 | - | nao |
| online-retail | Country | 16 | tcf | 846 | 10134 | nao |
| wine | fixed_acidity | 106 | split | 13127 | 7192 | SIM |
| wine | volatile_acidity | 187 | split | 14181 | 7943 | SIM |
| wine | citric_acid | 89 | split | 7019 | 7153 | nao |
| wine | residual_sugar | 316 | split | 13227 | - | nao |
| wine | chlorides | 214 | split | 14179 | 8242 | SIM |
| wine | free_sulfur_dioxide | 135 | v2b | 13968 | 7470 | SIM |
| wine | total_sulfur_dioxide | 276 | split | 14590 | - | nao |
| wine | density | 998 | split | 21256 | - | nao |
| wine | pH | 108 | v2b | 13773 | 7275 | SIM |
| wine | sulphates | 111 | v2b | 13795 | 7297 | SIM |
| wine | alcohol | 111 | split | 13469 | 7593 | SIM |
| wine | quality | 7 | v2b | 6524 | 3276 | SIM |
| wine | variant | 2 | tcf | 22 | 826 | nao |
