id,iso,br_slash,br_hifen,us_slash,extenso_pt,iso_hora,unix_ts,com_tz
62,2020-09-19,19/09/2020,19-09-2020,09/19/2020,19 de setembro de 2020,2020-09-19T10:01:37,1600520497,2020-09-19T10:01:37-03:00
63,2026-03-18,18/03/2026,18-03-2026,03/18/2026,18 de marco de 2026,2026-03-18T07:37:14,1773830234,2026-03-18T07:37:14-03:00
64,2020-01-30,30/01/2020,30-01-2020,01/30/2020,30 de janeiro de 2020,2020-01-30T02:45:40,1580363140,2020-01-30T02:45:40-03:00
65,2020-08-29,29/08/2020,29-08-2020,08/29/2020,29 de agosto de 2020,2020-08-29T07:04:57,1598695497,2020-08-29T07:04:57-03:00
66,2020-05-08,08/05/2020,08-05-2020,05/08/2020,8 de maio de 2020,2020-05-08T10:04:32,1588943072,2020-05-08T10:04:32-03:00
67,2022-09-01,01/09/2022,01-09-2022,09/01/2022,1 de setembro de 2022,2022-09-01T08:42:31,1662032551,2022-09-01T08:42:31-03:00
68,2022-05-27,27/05/2022,27-05-2022,05/27/2022,27 de maio de 2022,2022-05-27T17:08:46,1653682126,2022-05-27T17:08:46-03:00
69,2026-05-27,27/05/2026,27-05-2026,05/27/2026,27 de maio de 2026,2026-05-27T18:30:15,1779917415,2026-05-27T18:30:15-03:00
70,2025-04-21,21/04/2025,21-04-2025,04/21/2025,21 de abril de 2025,2025-04-21T13:12:06,1745251926,2025-04-21T13:12:06-03:00
71,2021-02-01,01/02/2021,01-02-2021,02/01/2021,1 de fevereiro de 2021,2021-02-01T21:27:22,1612225642,2021-02-01T21:27:22-03:00
72,2024-09-30,30/09/2024,30-09-2024,09/30/2024,30 de setembro de 2024,2024-09-30T13:29:55,1727713795,2024-09-30T13:29:55-03:00
73,2020-08-09,09/08/2020,09-08-2020,08/09/2020,9 de agosto de 2020,2020-08-09T21:41:41,1597020101,2020-08-09T21:41:41-03:00
74,2021-02-07,07/02/2021,07-02-2021,02/07/2021,7 de fevereiro de 2021,2021-02-07T01:25:46,1612671946,2021-02-07T01:25:46-03:00
75,2023-10-21,21/10/2023,21-10-2023,10/21/2023,21 de outubro de 2023,2023-10-21T03:15:12,1697868912,2023-10-21T03:15:12-03:00
76,2022-02-18,18/02/2022,18-02-2022,02/18/2022,18 de fevereiro de 2022,2022-02-18T17:28:08,1645216088,2022-02-18T17:28:08-03:00
77,2024-09-24,24/09/2024,24-09-2024,09/24/2024,24 de setembro de 2024,2024-09-24T05:17:29,1727165849,2024-09-24T05:17:29-03:00
78,2022-10-20,20/10/2022,20-10-2022,10/20/2022,20 de outubro de 2022,2022-10-20T02:28:51,1666243731,2022-10-20T02:28:51-03:00
79,2026-03-04,04/03/2026,04-03-2026,03/04/2026,4 de marco de 2026,2026-03-04T03:03:41,1772604221,2026-03-04T03:03:41-03:00
80,2026-01-23,23/01/2026,23-01-2026,01/23/2026,23 de janeiro de 2026,2026-01-23T00:05:59,1769137559,2026-01-23T00:05:59-03:00
81,2022-08-26,26/08/2022,26-08-2022,08/26/2022,26 de agosto de 2022,2022-08-26T05:26:31,1661502391,2022-08-26T05:26:31-03:00
82,2025-05-25,25/05/2025,25-05-2025,05/25/2025,25 de maio de 2025,2025-05-25T06:55:25,1748166925,2025-05-25T06:55:25-03:00
83,2020-08-28,28/08/2020,28-08-2020,08/28/2020,28 de agosto de 2020,2020-08-28T05:24:00,1598603040,2020-08-28T05:24:00-03:00
84,2024-05-18,18/05/2024,18-05-2024,05/18/2024,18 de maio de 2024,2024-05-18T08:59:50,1716033590,2024-05-18T08:59:50-03:00
85,2025-02-06,06/02/2025,06-02-2025,02/06/2025,6 de fevereiro de 2025,2025-02-06T09:27:44,1738844864,2025-02-06T09:27:44-03:00
86,2026-03-26,26/03/2026,26-03-2026,03/26/2026,26 de marco de 2026,2026-03-26T21:45:31,1774572331,2026-03-26T21:45:31-03:00
87,2021-09-26,26/09/2021,26-09-2021,09/26/2021,26 de setembro de 2021,2021-09-26T06:18:13,1632647893,2021-09-26T06:18:13-03:00
88,2020-08-27,27/08/2020,27-08-2020,08/27/2020,27 de agosto de 2020,2020-08-27T18:47:34,1598564854,2020-08-27T18:47:34-03:00
89,2020-09-06,06/09/2020,06-09-2020,09/06/2020,6 de setembro de 2020,2020-09-06T23:20:03,1599445203,2020-09-06T23:20:03-03:00
90,2020-07-24,24/07/2020,24-07-2020,07/24/2020,24 de julho de 2020,2020-07-24T18:30:32,1595626232,2020-07-24T18:30:32-03:00
91,2025-12-15,15/12/2025,15-12-2025,12/15/2025,15 de dezembro de 2025,2025-12-15T05:03:32,1765785812,2025-12-15T05:03:32-03:00
92,2020-11-24,24/11/2020,24-11-2020,11/24/2020,24 de novembro de 2020,2020-11-24T05:04:38,1606205078,2020-11-24T05:04:38-03:00
93,2020-10-05,05/10/2020,05-10-2020,10/05/2020,5 de outubro de 2020,2020-10-05T21:55:15,1601945715,2020-10-05T21:55:15-03:00
94,2024-07-11,11/07/2024,11-07-2024,07/11/2024,11 de julho de 2024,2024-07-11T03:56:36,1720680996,2024-07-11T03:56:36-03:00
95,2022-10-05,05/10/2022,05-10-2022,10/05/2022,5 de outubro de 2022,2022-10-05T18:38:02,1665005882,2022-10-05T18:38:02-03:00
96,2026-12-11,11/12/2026,11-12-2026,12/11/2026,11 de dezembro de 2026,2026-12-11T02:26:42,1796966802,2026-12-11T02:26:42-03:00
97,2026-07-18,18/07/2026,18-07-2026,07/18/2026,18 de julho de 2026,2026-07-18T18:33:20,1784410400,2026-07-18T18:33:20-03:00
98,2022-12-04,04/12/2022,04-12-2022,12/04/2022,4 de dezembro de 2022,2022-12-04T06:42:45,1670146965,2022-12-04T06:42:45-03:00
99,2023-07-10,10/07/2023,10-07-2023,07/10/2023,10 de julho de 2023,2023-07-10T07:16:25,1688984185,2023-07-10T07:16:25-03:00
100,2021-06-20,20/06/2021,20-06-2021,06/20/2021,20 de junho de 2021,2021-06-20T21:41:19,1624236079,2021-06-20T21:41:19-03:00
101,2025-02-15,15/02/2025,15-02-2025,02/15/2025,15 de fevereiro de 2025,2025-02-15T10:59:48,1739627988,2025-02-15T10:59:48-03:00
102,2020-10-24,24/10/2020,24-10-2020,10/24/2020,24 de outubro de 2020,2020-10-24T00:29:39,1603510179,2020-10-24T00:29:39-03:00
103,2026-04-25,25/04/2026,25-04-2026,04/25/2026,25 de abril de 2026,2026-04-25T03:04:34,1777097074,2026-04-25T03:04:34-03:00
104,2022-05-23,23/05/2022,23-05-2022,05/23/2022,23 de maio de 2022,2022-05-23T16:16:08,1653333368,2022-05-23T16:16:08-03:00
105,2023-11-30,30/11/2023,30-11-2023,11/30/2023,30 de novembro de 2023,2023-11-30T02:56:15,1701323775,2023-11-30T02:56:15-03:00
106,2024-02-22,22/02/2024,22-02-2024,02/22/2024,22 de fevereiro de 2024,2024-02-22T09:10:28,1708603828,2024-02-22T09:10:28-03:00
107,2026-02-03,03/02/2026,03-02-2026,02/03/2026,3 de fevereiro de 2026,2026-02-03T22:19:39,1770167979,2026-02-03T22:19:39-03:00
108,2025-12-06,06/12/2025,06-12-2025,12/06/2025,6 de dezembro de 2025,2025-12-06T00:42:52,1764992572,2025-12-06T00:42:52-03:00
109,2026-03-21,21/03/2026,21-03-2026,03/21/2026,21 de marco de 2026,2026-03-21T09:59:42,1774097982,2026-03-21T09:59:42-03:00
110,2021-02-28,28/02/2021,28-02-2021,02/28/2021,28 de fevereiro de 2021,2021-02-28T04:16:07,1614496567,2021-02-28T04:16:07-03:00
111,2021-03-14,14/03/2021,14-03-2021,03/14/2021,14 de marco de 2021,2021-03-14T23:35:09,1615775709,2021-03-14T23:35:09-03:00
112,2023-01-20,20/01/2023,20-01-2023,01/20/2023,20 de janeiro de 2023,2023-01-20T09:38:13,1674218293,2023-01-20T09:38:13-03:00
113,2023-11-05,05/11/2023,05-11-2023,11/05/2023,5 de novembro de 2023,2023-11-05T06:43:40,1699177420,2023-11-05T06:43:40-03:00
114,2022-12-17,17/12/2022,17-12-2022,12/17/2022,17 de dezembro de 2022,2022-12-17T16:31:16,1671305476,2022-12-17T16:31:16-03:00
115,2020-07-27,27/07/2020,27-07-2020,07/27/2020,27 de julho de 2020,2020-07-27T02:40:27,1595828427,2020-07-27T02:40:27-03:00
116,2023-02-07,07/02/2023,07-02-2023,02/07/2023,7 de fevereiro de 2023,2023-02-07T01:00:21,1675742421,2023-02-07T01:00:21-03:00
117,2021-06-19,19/06/2021,19-06-2021,06/19/2021,19 de junho de 2021,2021-06-19T20:16:10,1624144570,2021-06-19T20:16:10-03:00
118,2024-12-14,14/12/2024,14-12-2024,12/14/2024,14 de dezembro de 2024,2024-12-14T17:45:27,1734209127,2024-12-14T17:45:27-03:00
119,2026-04-16,16/04/2026,16-04-2026,04/16/2026,16 de abril de 2026,2026-04-16T00:07:04,1776308824,2026-04-16T00:07:04-03:00
120,2021-09-02,02/09/2021,02-09-2021,09/02/2021,2 de setembro de 2021,2021-09-02T17:02:53,1630612973,2021-09-02T17:02:53-03:00
121,2024-02-21,21/02/2024,21-02-2024,02/21/2024,21 de fevereiro de 2024,2024-02-21T18:35:09,1708551309,2024-02-21T18:35:09-03:00
122,2024-10-26,26/10/2024,26-10-2024,10/26/2024,26 de outubro de 2024,2024-10-26T04:02:19,1729926139,2024-10-26T04:02:19-03:00
123,2024-02-02,02/02/2024,02-02-2024,02/02/2024,2 de fevereiro de 2024,2024-02-02T01:57:22,1706849842,2024-02-02T01:57:22-03:00
124,2022-05-10,10/05/2022,10-05-2022,05/10/2022,10 de maio de 2022,2022-05-10T21:15:42,1652228142,2022-05-10T21:15:42-03:00
125,2021-02-25,25/02/2021,25-02-2021,02/25/2021,25 de fevereiro de 2021,2021-02-25T11:49:35,1614264575,2021-02-25T11:49:35-03:00
126,2024-07-22,22/07/2024,22-07-2024,07/22/2024,22 de julho de 2024,2024-07-22T19:47:09,1721688429,2024-07-22T19:47:09-03:00
127,2022-08-27,27/08/2022,27-08-2022,08/27/2022,27 de agosto de 2022,2022-08-27T05:51:51,1661590311,2022-08-27T05:51:51-03:00
128,2021-12-26,26/12/2021,26-12-2021,12/26/2021,26 de dezembro de 2021,2021-12-26T13:01:11,1640534471,2021-12-26T13:01:11-03:00
129,2023-09-22,22/09/2023,22-09-2023,09/22/2023,22 de setembro de 2023,2023-09-22T13:51:42,1695401502,2023-09-22T13:51:42-03:00
130,2022-10-13,13/10/2022,13-10-2022,10/13/2022,13 de outubro de 2022,2022-10-13T08:10:50,1665659450,2022-10-13T08:10:50-03:00
131,2021-03-18,18/03/2021,18-03-2021,03/18/2021,18 de marco de 2021,2021-03-18T12:55:02,1616082902,2021-03-18T12:55:02-03:00
132,2025-04-11,11/04/2025,11-04-2025,04/11/2025,11 de abril de 2025,2025-04-11T07:12:52,1744366372,2025-04-11T07:12:52-03:00
133,2025-02-28,28/02/2025,28-02-2025,02/28/2025,28 de fevereiro de 2025,2025-02-28T11:19:52,1740752392,2025-02-28T11:19:52-03:00
134,2022-07-21,21/07/2022,21-07-2022,07/21/2022,21 de julho de 2022,2022-07-21T07:01:42,1658397702,2022-07-21T07:01:42-03:00
135,2022-03-02,02/03/2022,02-03-2022,03/02/2022,2 de marco de 2022,2022-03-02T12:21:17,1646234477,2022-03-02T12:21:17-03:00
136,2020-10-11,11/10/2020,11-10-2020,10/11/2020,11 de outubro de 2020,2020-10-11T08:22:41,1602415361,2020-10-11T08:22:41-03:00
137,2025-09-17,17/09/2025,17-09-2025,09/17/2025,17 de setembro de 2025,2025-09-17T12:43:53,1758123833,2025-09-17T12:43:53-03:00
138,2026-01-05,05/01/2026,05-01-2026,01/05/2026,5 de janeiro de 2026,2026-01-05T10:01:07,1767618067,2026-01-05T10:01:07-03:00
139,2022-12-05,05/12/2022,05-12-2022,12/05/2022,5 de dezembro de 2022,2022-12-05T05:37:16,1670229436,2022-12-05T05:37:16-03:00
140,2020-06-05,05/06/2020,05-06-2020,06/05/2020,5 de junho de 2020,2020-06-05T03:38:27,1591339107,2020-06-05T03:38:27-03:00
141,2023-11-16,16/11/2023,16-11-2023,11/16/2023,16 de novembro de 2023,2023-11-16T23:50:20,1700189420,2023-11-16T23:50:20-03:00
142,2024-11-22,22/11/2024,22-11-2024,11/22/2024,22 de novembro de 2024,2024-11-22T19:32:07,1732314727,2024-11-22T19:32:07-03:00
143,2024-04-26,26/04/2024,26-04-2024,04/26/2024,26 de abril de 2024,2024-04-26T18:12:16,1714165936,2024-04-26T18:12:16-03:00
144,2020-06-30,30/06/2020,30-06-2020,06/30/2020,30 de junho de 2020,2020-06-30T22:27:00,1593566820,2020-06-30T22:27:00-03:00
145,2025-10-30,30/10/2025,30-10-2025,10/30/2025,30 de outubro de 2025,2025-10-30T17:43:46,1761857026,2025-10-30T17:43:46-03:00
146,2022-03-18,18/03/2022,18-03-2022,03/18/2022,18 de marco de 2022,2022-03-18T11:27:04,1647613624,2022-03-18T11:27:04-03:00
147,2023-09-14,14/09/2023,14-09-2023,09/14/2023,14 de setembro de 2023,2023-09-14T19:20:42,1694730042,2023-09-14T19:20:42-03:00
148,2021-05-25,25/05/2021,25-05-2021,05/25/2021,25 de maio de 2021,2021-05-25T23:57:19,1621997839,2021-05-25T23:57:19-03:00
149,2025-09-08,08/09/2025,08-09-2025,09/08/2025,8 de setembro de 2025,2025-09-08T09:42:26,1757335346,2025-09-08T09:42:26-03:00
150,2023-08-29,29/08/2023,29-08-2023,08/29/2023,29 de agosto de 2023,2023-08-29T12:44:18,1693323858,2023-08-29T12:44:18-03:00
151,2026-03-20,20/03/2026,20-03-2026,03/20/2026,20 de marco de 2026,2026-03-20T04:12:26,1773990746,2026-03-20T04:12:26-03:00
152,2024-04-01,01/04/2024,01-04-2024,04/01/2024,1 de abril de 2024,2024-04-01T21:47:57,1712018877,2024-04-01T21:47:57-03:00
153,2021-12-13,13/12/2021,13-12-2021,12/13/2021,13 de dezembro de 2021,2021-12-13T19:36:19,1639434979,2021-12-13T19:36:19-03:00
154,2024-07-21,21/07/2024,21-07-2024,07/21/2024,21 de julho de 2024,2024-07-21T17:53:00,1721595180,2024-07-21T17:53:00-03:00
155,2023-05-29,29/05/2023,29-05-2023,05/29/2023,29 de maio de 2023,2023-05-29T09:13:27,1685362407,2023-05-29T09:13:27-03:00
156,2026-07-03,03/07/2026,03-07-2026,07/03/2026,3 de julho de 2026,2026-07-03T19:41:20,1783118480,2026-07-03T19:41:20-03:00
157,2025-03-19,19/03/2025,19-03-2025,03/19/2025,19 de marco de 2025,2025-03-19T14:28:43,1742405323,2025-03-19T14:28:43-03:00
158,2022-05-25,25/05/2022,25-05-2022,05/25/2022,25 de maio de 2022,2022-05-25T16:30:50,1653507050,2022-05-25T16:30:50-03:00
159,2021-11-26,26/11/2021,26-11-2021,11/26/2021,26 de novembro de 2021,2021-11-26T21:05:18,1637971518,2021-11-26T21:05:18-03:00
160,2025-10-12,12/10/2025,12-10-2025,10/12/2025,12 de outubro de 2025,2025-10-12T21:40:39,1760316039,2025-10-12T21:40:39-03:00
161,2023-10-04,04/10/2023,04-10-2023,10/04/2023,4 de outubro de 2023,2023-10-04T02:52:48,1696398768,2023-10-04T02:52:48-03:00
162,2022-08-20,20/08/2022,20-08-2022,08/20/2022,20 de agosto de 2022,2022-08-20T21:19:14,1661041154,2022-08-20T21:19:14-03:00
163,2022-03-26,26/03/2022,26-03-2022,03/26/2022,26 de marco de 2022,2022-03-26T04:01:02,1648278062,2022-03-26T04:01:02-03:00
164,2022-09-29,29/09/2022,29-09-2022,09/29/2022,29 de setembro de 2022,2022-09-29T15:39:54,1664476794,2022-09-29T15:39:54-03:00
165,2020-10-25,25/10/2020,25-10-2020,10/25/2020,25 de outubro de 2020,2020-10-25T14:26:56,1603646816,2020-10-25T14:26:56-03:00
166,2026-06-15,15/06/2026,15-06-2026,06/15/2026,15 de junho de 2026,2026-06-15T06:45:44,1781516744,2026-06-15T06:45:44-03:00
167,2024-04-21,21/04/2024,21-04-2024,04/21/2024,21 de abril de 2024,2024-04-21T15:25:15,1713723915,2024-04-21T15:25:15-03:00
168,2021-08-27,27/08/2021,27-08-2021,08/27/2021,27 de agosto de 2021,2021-08-27T20:44:00,1630107840,2021-08-27T20:44:00-03:00
169,2021-03-12,12/03/2021,12-03-2021,03/12/2021,12 de marco de 2021,2021-03-12T13:14:11,1615565651,2021-03-12T13:14:11-03:00
170,2025-10-22,22/10/2025,22-10-2025,10/22/2025,22 de outubro de 2025,2025-10-22T14:03:35,1761152615,2025-10-22T14:03:35-03:00
171,2022-10-17,17/10/2022,17-10-2022,10/17/2022,17 de outubro de 2022,2022-10-17T03:29:08,1665988148,2022-10-17T03:29:08-03:00
172,2025-03-18,18/03/2025,18-03-2025,03/18/2025,18 de marco de 2025,2025-03-18T21:33:35,1742344415,2025-03-18T21:33:35-03:00
173,2026-09-04,04/09/2026,04-09-2026,09/04/2026,4 de setembro de 2026,2026-09-04T10:48:57,1788529737,2026-09-04T10:48:57-03:00
174,2024-12-17,17/12/2024,17-12-2024,12/17/2024,17 de dezembro de 2024,2024-12-17T19:52:46,1734475966,2024-12-17T19:52:46-03:00
175,2025-08-29,29/08/2025,29-08-2025,08/29/2025,29 de agosto de 2025,2025-08-29T13:53:58,1756486438,2025-08-29T13:53:58-03:00
176,2026-02-22,22/02/2026,22-02-2026,02/22/2026,22 de fevereiro de 2026,2026-02-22T14:57:10,1771783030,2026-02-22T14:57:10-03:00
177,2025-04-28,28/04/2025,28-04-2025,04/28/2025,28 de abril de 2025,2025-04-28T14:16:48,1745860608,2025-04-28T14:16:48-03:00
178,2022-10-09,09/10/2022,09-10-2022,10/09/2022,9 de outubro de 2022,2022-10-09T20:17:49,1665357469,2022-10-09T20:17:49-03:00
179,2025-11-05,05/11/2025,05-11-2025,11/05/2025,5 de novembro de 2025,2025-11-05T15:40:15,1762368015,2025-11-05T15:40:15-03:00
180,2023-01-29,29/01/2023,29-01-2023,01/29/2023,29 de janeiro de 2023,2023-01-29T14:04:45,1675011885,2023-01-29T14:04:45-03:00
181,2023-03-16,16/03/2023,16-03-2023,03/16/2023,16 de marco de 2023,2023-03-16T07:17:21,1678961841,2023-03-16T07:17:21-03:00
182,2023-08-02,02/08/2023,02-08-2023,08/02/2023,2 de agosto de 2023,2023-08-02T17:05:08,1691006708,2023-08-02T17:05:08-03:00
183,2021-09-09,09/09/2021,09-09-2021,09/09/2021,9 de setembro de 2021,2021-09-09T07:24:44,1631183084,2021-09-09T07:24:44-03:00
