gramatica,tipo,nature,nome,status,regra,header,bytes,recupera,colisao
G2-eixos-separados,n,,igual-H,pass,,#TCF.8:n H,10,sim,
G2-eixos-separados,n,,igual-tag-tipo,pass,,#TCF.8:n b,10,sim,
G2-eixos-separados,n,,igual-id-nature,pass,,#TCF.8:n cpf,12,sim,
G2-eixos-separados,n,cpf,ausente,pass,,#TCF.8:n :cpf,13,sim,
G2-eixos-separados,n,cpf,simples,pass,,#TCF.8:n idade:cpf,18,sim,
G2-eixos-separados,n,cpf,vazio,pass,,#TCF.8:n :cpf,13,sim,
G2-eixos-separados,n,cpf,com-dois-pontos,pass,,#TCF.8:n a\:b:cpf,17,sim,
G2-eixos-separados,n,cpf,com-espaco,pass,,#TCF.8:n a b:cpf,16,sim,
G2-eixos-separados,n,cpf,com-backslash,pass,,#TCF.8:n a\\b:cpf,17,sim,
G2-eixos-separados,n,cpf,com-lf,pass,,#TCF.8:n a\nb:cpf,17,sim,
G2-eixos-separados,n,cpf,igual-M,pass,,#TCF.8:n M:cpf,14,sim,
G2-eixos-separados,n,cpf,igual-H,pass,,#TCF.8:n H:cpf,14,sim,
G2-eixos-separados,n,cpf,igual-tag-tipo,pass,,#TCF.8:n b:cpf,14,sim,
G2-eixos-separados,n,cpf,igual-id-nature,pass,,#TCF.8:n cpf:cpf,16,sim,
G2-eixos-separados,M,,ausente,pass,,#TCF.8:M,8,sim,
G2-eixos-separados,M,,simples,pass,,#TCF.8:M idade,14,sim,
G2-eixos-separados,M,,vazio,pass,,#TCF.8:M ,9,sim,
G2-eixos-separados,M,,com-dois-pontos,pass,,#TCF.8:M a\:b,13,sim,
G2-eixos-separados,M,,com-espaco,pass,,#TCF.8:M a b,12,sim,
G2-eixos-separados,M,,com-backslash,pass,,#TCF.8:M a\\b,13,sim,
G2-eixos-separados,M,,com-lf,pass,,#TCF.8:M a\nb,13,sim,
G2-eixos-separados,M,,igual-M,pass,,#TCF.8:M M,10,sim,
G2-eixos-separados,M,,igual-H,pass,,#TCF.8:M H,10,sim,
G2-eixos-separados,M,,igual-tag-tipo,pass,,#TCF.8:M b,10,sim,
G2-eixos-separados,M,,igual-id-nature,pass,,#TCF.8:M cpf,12,sim,
G2-eixos-separados,M,cpf,ausente,pass,,#TCF.8:M :cpf,13,sim,
G2-eixos-separados,M,cpf,simples,pass,,#TCF.8:M idade:cpf,18,sim,
G2-eixos-separados,M,cpf,vazio,pass,,#TCF.8:M :cpf,13,sim,
G2-eixos-separados,M,cpf,com-dois-pontos,pass,,#TCF.8:M a\:b:cpf,17,sim,
G2-eixos-separados,M,cpf,com-espaco,pass,,#TCF.8:M a b:cpf,16,sim,
G2-eixos-separados,M,cpf,com-backslash,pass,,#TCF.8:M a\\b:cpf,17,sim,
G2-eixos-separados,M,cpf,com-lf,pass,,#TCF.8:M a\nb:cpf,17,sim,
G2-eixos-separados,M,cpf,igual-M,pass,,#TCF.8:M M:cpf,14,sim,
G2-eixos-separados,M,cpf,igual-H,pass,,#TCF.8:M H:cpf,14,sim,
G2-eixos-separados,M,cpf,igual-tag-tipo,pass,,#TCF.8:M b:cpf,14,sim,
G2-eixos-separados,M,cpf,igual-id-nature,pass,,#TCF.8:M cpf:cpf,16,sim,
G2-eixos-separados,H,,ausente,pass,,#TCF.8:H,8,sim,
G2-eixos-separados,H,,simples,pass,,#TCF.8:H idade,14,sim,
G2-eixos-separados,H,,vazio,pass,,#TCF.8:H ,9,sim,
G2-eixos-separados,H,,com-dois-pontos,pass,,#TCF.8:H a\:b,13,sim,
G2-eixos-separados,H,,com-espaco,pass,,#TCF.8:H a b,12,sim,
G2-eixos-separados,H,,com-backslash,pass,,#TCF.8:H a\\b,13,sim,
G2-eixos-separados,H,,com-lf,pass,,#TCF.8:H a\nb,13,sim,
G2-eixos-separados,H,,igual-M,pass,,#TCF.8:H M,10,sim,
G2-eixos-separados,H,,igual-H,pass,,#TCF.8:H H,10,sim,
G2-eixos-separados,H,,igual-tag-tipo,pass,,#TCF.8:H b,10,sim,
G2-eixos-separados,H,,igual-id-nature,pass,,#TCF.8:H cpf,12,sim,
G2-eixos-separados,H,cpf,ausente,pass,,#TCF.8:H :cpf,13,sim,
G2-eixos-separados,H,cpf,simples,pass,,#TCF.8:H idade:cpf,18,sim,
G2-eixos-separados,H,cpf,vazio,pass,,#TCF.8:H :cpf,13,sim,
G2-eixos-separados,H,cpf,com-dois-pontos,pass,,#TCF.8:H a\:b:cpf,17,sim,
G2-eixos-separados,H,cpf,com-espaco,pass,,#TCF.8:H a b:cpf,16,sim,
G2-eixos-separados,H,cpf,com-backslash,pass,,#TCF.8:H a\\b:cpf,17,sim,
G2-eixos-separados,H,cpf,com-lf,pass,,#TCF.8:H a\nb:cpf,17,sim,
G2-eixos-separados,H,cpf,igual-M,pass,,#TCF.8:H M:cpf,14,sim,
G2-eixos-separados,H,cpf,igual-H,pass,,#TCF.8:H H:cpf,14,sim,
G2-eixos-separados,H,cpf,igual-tag-tipo,pass,,#TCF.8:H b:cpf,14,sim,
G2-eixos-separados,H,cpf,igual-id-nature,pass,,#TCF.8:H cpf:cpf,16,sim,
G3-tag-colada,,,ausente,N/A,G3 exige tipo colado,,0,,
G3-tag-colada,,,simples,N/A,G3 exige tipo colado,,0,,
G3-tag-colada,,,vazio,N/A,G3 exige tipo colado,,0,,
G3-tag-colada,,,com-dois-pontos,N/A,G3 exige tipo colado,,0,,
G3-tag-colada,,,com-espaco,N/A,G3 exige tipo colado,,0,,
G3-tag-colada,,,com-backslash,N/A,G3 exige tipo colado,,0,,
G3-tag-colada,,,com-lf,N/A,G3 exige tipo colado,,0,,
G3-tag-colada,,,igual-M,N/A,G3 exige tipo colado,,0,,
G3-tag-colada,,,igual-H,N/A,G3 exige tipo colado,,0,,
G3-tag-colada,,,igual-tag-tipo,N/A,G3 exige tipo colado,,0,,
G3-tag-colada,,,igual-id-nature,N/A,G3 exige tipo colado,,0,,
G3-tag-colada,,cpf,ausente,N/A,G3 exige tipo colado,,0,,
G3-tag-colada,,cpf,simples,N/A,G3 exige tipo colado,,0,,
G3-tag-colada,,cpf,vazio,N/A,G3 exige tipo colado,,0,,
G3-tag-colada,,cpf,com-dois-pontos,N/A,G3 exige tipo colado,,0,,
G3-tag-colada,,cpf,com-espaco,N/A,G3 exige tipo colado,,0,,
G3-tag-colada,,cpf,com-backslash,N/A,G3 exige tipo colado,,0,,
G3-tag-colada,,cpf,com-lf,N/A,G3 exige tipo colado,,0,,
G3-tag-colada,,cpf,igual-M,N/A,G3 exige tipo colado,,0,,
G3-tag-colada,,cpf,igual-H,N/A,G3 exige tipo colado,,0,,
G3-tag-colada,,cpf,igual-tag-tipo,N/A,G3 exige tipo colado,,0,,
G3-tag-colada,,cpf,igual-id-nature,N/A,G3 exige tipo colado,,0,,
G3-tag-colada,b,,ausente,pass,,#TCF.8b,7,sim,
G3-tag-colada,b,,simples,pass,,#TCF.8b idade,13,sim,
G3-tag-colada,b,,vazio,pass,,#TCF.8b ,8,sim,
G3-tag-colada,b,,com-dois-pontos,pass,,#TCF.8b a\:b,12,sim,
G3-tag-colada,b,,com-espaco,pass,,#TCF.8b a b,11,sim,
G3-tag-colada,b,,com-backslash,pass,,#TCF.8b a\\b,12,sim,
G3-tag-colada,b,,com-lf,pass,,#TCF.8b a\nb,12,sim,
G3-tag-colada,b,,igual-M,pass,,#TCF.8b M,9,sim,
G3-tag-colada,b,,igual-H,pass,,#TCF.8b H,9,sim,
G3-tag-colada,b,,igual-tag-tipo,pass,,#TCF.8b b,9,sim,
G3-tag-colada,b,,igual-id-nature,pass,,#TCF.8b cpf,11,sim,
G3-tag-colada,b,cpf,ausente,pass,,#TCF.8b :cpf,12,sim,
G3-tag-colada,b,cpf,simples,pass,,#TCF.8b idade:cpf,17,sim,
G3-tag-colada,b,cpf,vazio,pass,,#TCF.8b :cpf,12,sim,
G3-tag-colada,b,cpf,com-dois-pontos,pass,,#TCF.8b a\:b:cpf,16,sim,
G3-tag-colada,b,cpf,com-espaco,pass,,#TCF.8b a b:cpf,15,sim,
G3-tag-colada,b,cpf,com-backslash,pass,,#TCF.8b a\\b:cpf,16,sim,
G3-tag-colada,b,cpf,com-lf,pass,,#TCF.8b a\nb:cpf,16,sim,
G3-tag-colada,b,cpf,igual-M,pass,,#TCF.8b M:cpf,13,sim,
G3-tag-colada,b,cpf,igual-H,pass,,#TCF.8b H:cpf,13,sim,
G3-tag-colada,b,cpf,igual-tag-tipo,pass,,#TCF.8b b:cpf,13,sim,
G3-tag-colada,b,cpf,igual-id-nature,pass,,#TCF.8b cpf:cpf,15,sim,
G3-tag-colada,n,,ausente,pass,,#TCF.8n,7,sim,
G3-tag-colada,n,,simples,pass,,#TCF.8n idade,13,sim,
G3-tag-colada,n,,vazio,pass,,#TCF.8n ,8,sim,
G3-tag-colada,n,,com-dois-pontos,pass,,#TCF.8n a\:b,12,sim,
G3-tag-colada,n,,com-espaco,pass,,#TCF.8n a b,11,sim,
G3-tag-colada,n,,com-backslash,pass,,#TCF.8n a\\b,12,sim,
G3-tag-colada,n,,com-lf,pass,,#TCF.8n a\nb,12,sim,
G3-tag-colada,n,,igual-M,pass,,#TCF.8n M,9,sim,
G3-tag-colada,n,,igual-H,pass,,#TCF.8n H,9,sim,
G3-tag-colada,n,,igual-tag-tipo,pass,,#TCF.8n b,9,sim,
G3-tag-colada,n,,igual-id-nature,pass,,#TCF.8n cpf,11,sim,
G3-tag-colada,n,cpf,ausente,pass,,#TCF.8n :cpf,12,sim,
G3-tag-colada,n,cpf,simples,pass,,#TCF.8n idade:cpf,17,sim,
G3-tag-colada,n,cpf,vazio,pass,,#TCF.8n :cpf,12,sim,
G3-tag-colada,n,cpf,com-dois-pontos,pass,,#TCF.8n a\:b:cpf,16,sim,
G3-tag-colada,n,cpf,com-espaco,pass,,#TCF.8n a b:cpf,15,sim,
G3-tag-colada,n,cpf,com-backslash,pass,,#TCF.8n a\\b:cpf,16,sim,
G3-tag-colada,n,cpf,com-lf,pass,,#TCF.8n a\nb:cpf,16,sim,
G3-tag-colada,n,cpf,igual-M,pass,,#TCF.8n M:cpf,13,sim,
G3-tag-colada,n,cpf,igual-H,pass,,#TCF.8n H:cpf,13,sim,
G3-tag-colada,n,cpf,igual-tag-tipo,pass,,#TCF.8n b:cpf,13,sim,
G3-tag-colada,n,cpf,igual-id-nature,pass,,#TCF.8n cpf:cpf,15,sim,
G3-tag-colada,M,,ausente,fail,,#TCF.8M,7,sim,#TCF.8M
G3-tag-colada,M,,simples,fail,,#TCF.8M idade,13,sim,#TCF.8M
G3-tag-colada,M,,vazio,fail,,#TCF.8M ,8,sim,#TCF.8M
G3-tag-colada,M,,com-dois-pontos,fail,,#TCF.8M a\:b,12,sim,#TCF.8M
G3-tag-colada,M,,com-espaco,fail,,#TCF.8M a b,11,sim,#TCF.8M
G3-tag-colada,M,,com-backslash,fail,,#TCF.8M a\\b,12,sim,#TCF.8M
G3-tag-colada,M,,com-lf,fail,,#TCF.8M a\nb,12,sim,#TCF.8M
G3-tag-colada,M,,igual-M,fail,,#TCF.8M M,9,sim,#TCF.8M
G3-tag-colada,M,,igual-H,fail,,#TCF.8M H,9,sim,#TCF.8M
G3-tag-colada,M,,igual-tag-tipo,fail,,#TCF.8M b,9,sim,#TCF.8M
G3-tag-colada,M,,igual-id-nature,fail,,#TCF.8M cpf,11,sim,#TCF.8M
G3-tag-colada,M,cpf,ausente,fail,,#TCF.8M :cpf,12,sim,#TCF.8M
G3-tag-colada,M,cpf,simples,fail,,#TCF.8M idade:cpf,17,sim,#TCF.8M
G3-tag-colada,M,cpf,vazio,fail,,#TCF.8M :cpf,12,sim,#TCF.8M
G3-tag-colada,M,cpf,com-dois-pontos,fail,,#TCF.8M a\:b:cpf,16,sim,#TCF.8M
G3-tag-colada,M,cpf,com-espaco,fail,,#TCF.8M a b:cpf,15,sim,#TCF.8M
G3-tag-colada,M,cpf,com-backslash,fail,,#TCF.8M a\\b:cpf,16,sim,#TCF.8M
G3-tag-colada,M,cpf,com-lf,fail,,#TCF.8M a\nb:cpf,16,sim,#TCF.8M
G3-tag-colada,M,cpf,igual-M,fail,,#TCF.8M M:cpf,13,sim,#TCF.8M
