age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
24,Federal-gov,283918,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,25,United-States,<=50K
24,Private,353010,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,10,United-States,<=50K
24,Private,194096,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Female,0,0,45,United-States,<=50K
24,Private,276851,HS-grad,9,Divorced,Protective-serv,Own-child,White,Female,0,1762,40,United-States,<=50K
24,Private,235722,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
24,Private,141040,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K
24,Private,35603,Some-college,10,Divorced,Other-service,Not-in-family,Black,Male,0,0,40,United-States,<=50K
24,Private,488541,Some-college,10,Never-married,Other-service,Unmarried,Black,Female,0,0,35,United-States,<=50K
24,Self-emp-not-inc,83374,Some-college,10,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,30,United-States,>50K
24,Private,373718,Some-college,10,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,20,United-States,<=50K
24,Private,216469,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1579,50,United-States,<=50K
24,Private,127753,12th,8,Never-married,Craft-repair,Other-relative,White,Male,0,0,40,United-States,<=50K
25,Local-gov,197822,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K
25,Private,261419,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,0,50,United-States,<=50K
25,Private,158734,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,45,United-States,<=50K
25,Private,139863,1st-4th,2,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,Mexico,<=50K
25,Private,401241,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,4416,0,25,United-States,<=50K
25,,177812,Bachelors,13,Never-married,,Not-in-family,White,Male,0,0,40,United-States,<=50K
25,Private,176864,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
25,Private,32275,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,40,United-States,<=50K
25,Private,302465,12th,8,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,1741,40,United-States,<=50K
25,Self-emp-inc,86745,Bachelors,13,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
25,Private,298225,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,35,United-States,<=50K
25,Private,191921,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K
25,Private,282612,Assoc-voc,11,Never-married,Tech-support,Unmarried,Black,Female,0,0,40,United-States,<=50K
25,Private,88922,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,<=50K
25,Private,201737,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
25,Private,470203,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,30,United-States,<=50K
25,Private,353795,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,3103,0,40,United-States,>50K
25,Private,193787,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,50,United-States,<=50K
26,Private,427744,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
26,State-gov,413846,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
26,Private,252563,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
26,Private,331861,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,England,<=50K
26,Private,142760,Assoc-voc,11,Never-married,Sales,Not-in-family,Black,Male,0,0,50,United-States,<=50K
26,Private,220499,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,40,United-States,<=50K
26,Self-emp-inc,316688,Some-college,10,Never-married,Sales,Other-relative,White,Male,0,0,40,United-States,<=50K
26,State-gov,239303,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,3942,0,7,United-States,<=50K
26,Private,114483,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
26,Private,248776,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
26,Private,191393,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Male,0,1380,40,United-States,<=50K
26,Self-emp-inc,384276,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
26,Private,52839,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
26,Private,273876,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,60,United-States,<=50K
26,Private,320465,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,0,0,40,United-States,<=50K
26,Private,33610,HS-grad,9,Divorced,Other-service,Other-relative,White,Male,0,0,40,United-States,<=50K
26,Private,322614,Preschool,1,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Male,0,1719,40,Mexico,<=50K
26,Private,224426,Masters,14,Never-married,Exec-managerial,Own-child,White,Male,0,0,38,United-States,<=50K
26,Private,34803,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
26,Private,194352,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K
26,Local-gov,73392,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,0,0,30,United-States,<=50K
26,Private,306513,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
26,Private,90277,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,,<=50K
27,Private,104993,HS-grad,9,Never-married,Sales,Own-child,Black,Male,0,0,40,United-States,<=50K
27,Private,167501,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,<=50K
27,Private,199118,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,Nicaragua,<=50K
27,State-gov,261278,Prof-school,15,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,80,,<=50K
27,Private,101597,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,<=50K
27,Private,207631,5th-6th,3,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,52,Mexico,<=50K
27,Private,199118,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,Mexico,<=50K
27,Private,43652,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
27,Private,155057,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
27,State-gov,271243,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Male,0,0,40,Jamaica,<=50K
27,Self-emp-not-inc,37302,11th,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
27,Private,46868,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,0,0,15,United-States,<=50K
27,,204074,HS-grad,9,Never-married,,Not-in-family,White,Male,0,0,40,United-States,<=50K
27,State-gov,312692,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,12,United-States,<=50K
27,Federal-gov,257124,Bachelors,13,Never-married,Transport-moving,Other-relative,White,Male,0,0,35,United-States,<=50K
27,Private,119793,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,,<=50K
27,Private,419146,5th-6th,3,Never-married,Other-service,Not-in-family,White,Male,0,0,75,Mexico,<=50K
27,Private,37250,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1651,40,United-States,<=50K
27,Private,279580,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,10520,0,45,United-States,>50K
27,Private,200928,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,22,United-States,<=50K
28,State-gov,293628,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,10,,<=50K
28,Private,398220,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K
28,Self-emp-not-inc,236471,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
28,State-gov,134813,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,65,United-States,>50K
28,Private,39232,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,<=50K
28,Private,30070,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
28,Private,194690,7th-8th,4,Separated,Other-service,Own-child,White,Male,0,0,60,Mexico,<=50K
28,Private,162343,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,Puerto-Rico,<=50K
28,Private,47168,10th,6,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50K
28,Private,67661,Some-college,10,Never-married,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,<=50K
28,Private,199998,HS-grad,9,Separated,Other-service,Not-in-family,White,Female,0,0,25,United-States,<=50K
28,Local-gov,149991,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,42,United-States,>50K
28,Private,392487,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<=50K
28,Private,138692,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,40,United-States,>50K
28,Private,31935,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
28,Private,119287,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,15024,0,28,United-States,>50K
29,Local-gov,400074,Some-college,10,Married-civ-spouse,Exec-managerial,Own-child,White,Female,0,0,40,United-States,<=50K
29,Local-gov,149988,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
29,Private,121040,Assoc-voc,11,Separated,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
