id,status,categoria,cidade,valor,qtd,ativo
195,ok,C,BH,380.18,3,False
196,pago,A,SP,102.2,2,False
197,pendente,A,REC,956.1,9,False
198,pago,D,BH,874.0,7,True
199,cancelado,C,BH,112.46,9,True
200,pendente,D,RJ,847.95,6,False
201,pago,C,REC,233.67,7,True
202,cancelado,A,RJ,280.26,5,False
203,cancelado,A,RJ,870.29,10,False
204,pago,B,SP,100.75,9,True
205,ok,D,POA,347.15,6,False
206,cancelado,A,SP,163.87,10,True
207,pago,C,POA,664.66,8,False
208,ok,C,RJ,756.64,2,False
209,ok,A,BH,680.76,10,False
210,cancelado,A,RJ,400.92,10,True
211,pago,B,BH,944.93,3,False
212,cancelado,C,SP,17.64,7,True
213,pendente,D,REC,705.93,9,False
214,pago,D,SP,441.42,8,True
215,cancelado,D,REC,409.97,7,False
216,pago,D,SP,965.57,3,False
217,cancelado,A,POA,845.2,4,False
218,ok,A,POA,870.95,6,True
219,cancelado,B,SP,514.87,2,True
220,cancelado,C,RJ,243.67,3,False
221,pendente,B,REC,161.19,2,True
222,ok,D,REC,761.52,8,False
223,cancelado,B,POA,77.54,8,False
224,cancelado,A,BH,511.76,5,False
225,ok,A,SP,374.68,5,True
226,pago,D,POA,583.95,1,False
227,pendente,C,REC,480.4,3,True
228,ok,A,BH,981.58,2,True
229,pago,B,POA,990.09,9,True
230,cancelado,C,BH,393.15,6,True
231,cancelado,A,BH,103.47,7,False
232,cancelado,B,BH,90.61,3,False
233,cancelado,D,RJ,598.5,2,False
234,ok,C,RJ,672.75,9,True
235,ok,C,SP,368.61,3,True
236,cancelado,D,RJ,234.05,3,True
237,pago,C,SP,512.11,9,True
238,cancelado,B,REC,382.58,3,True
239,pendente,D,SP,416.34,4,False
240,cancelado,D,RJ,538.14,5,False
241,pendente,C,REC,983.61,8,False
242,ok,D,RJ,817.91,10,True
243,cancelado,A,POA,874.5,9,True
244,pago,C,SP,764.72,5,False
245,pendente,D,SP,946.0,4,False
246,cancelado,A,POA,62.67,9,False
247,pendente,D,SP,380.79,1,False
248,pago,C,RJ,146.09,5,False
249,pendente,D,POA,618.58,2,True
250,cancelado,B,RJ,552.77,10,False
251,pago,C,RJ,307.84,1,True
252,ok,D,SP,119.64,8,True
253,pendente,B,BH,434.52,10,False
254,pendente,D,RJ,667.06,2,False
255,pago,A,POA,873.72,1,False
256,cancelado,C,SP,363.17,2,False
257,pendente,A,REC,737.1,6,True
258,pago,C,REC,344.82,3,False
259,ok,B,RJ,72.41,8,True
260,cancelado,B,SP,792.41,1,False
261,cancelado,D,REC,478.19,1,True
262,cancelado,C,SP,866.27,6,False
263,pago,C,POA,889.7,8,False
264,cancelado,B,POA,694.46,6,False
265,pago,D,SP,435.87,3,False
266,cancelado,A,SP,334.31,5,False
267,ok,D,RJ,692.18,6,False
268,pago,C,REC,997.17,5,True
269,pago,D,BH,517.44,3,True
270,pendente,D,SP,134.84,4,False
271,cancelado,D,REC,42.03,3,False
272,cancelado,C,POA,764.69,10,True
273,cancelado,D,BH,652.42,4,True
274,pago,B,POA,522.05,9,True
275,cancelado,C,POA,222.21,10,False
276,ok,B,SP,144.24,2,False
277,pendente,D,SP,811.6,6,False
278,pago,C,BH,852.0,3,False
279,pendente,A,RJ,793.35,4,False
280,pago,C,REC,575.98,8,True
281,pago,A,BH,403.78,8,False
282,ok,A,RJ,971.68,2,False
283,ok,C,RJ,878.3,9,True
284,pendente,D,REC,910.69,1,True
285,pendente,C,RJ,170.19,4,False
286,cancelado,A,BH,204.14,9,False
287,pendente,C,REC,537.61,9,True
288,pendente,B,REC,722.71,10,False
289,pago,A,SP,54.96,10,False
290,pendente,D,REC,641.96,8,False
291,cancelado,D,RJ,805.84,7,False
292,ok,A,SP,166.34,7,False
293,ok,B,BH,609.99,6,False
294,cancelado,D,RJ,762.3,9,True
295,cancelado,B,POA,131.17,8,True
296,pendente,A,SP,297.02,7,False
297,pendente,B,BH,933.48,6,True
298,pendente,D,REC,471.68,5,False
299,pago,A,POA,509.88,4,True
300,cancelado,A,SP,288.26,10,False
301,cancelado,A,SP,436.19,5,False
302,ok,C,SP,406.18,10,True
303,cancelado,C,SP,392.1,8,False
304,pago,B,SP,399.57,6,False
305,pendente,B,REC,513.52,9,True
306,pago,A,RJ,715.74,8,False
307,pendente,B,BH,931.12,6,True
308,ok,C,REC,342.67,9,False
309,cancelado,D,SP,374.31,2,False
310,cancelado,A,REC,479.37,10,True
311,pago,D,RJ,528.47,10,False
312,pendente,B,SP,576.27,2,True
313,pago,D,BH,424.17,7,True
314,ok,D,SP,708.01,9,True
315,cancelado,D,REC,382.68,3,False
316,cancelado,C,BH,613.37,4,True
317,cancelado,C,RJ,941.13,5,False
318,pendente,D,BH,484.53,9,False
319,cancelado,A,REC,679.18,7,False
320,cancelado,B,BH,51.6,2,False
321,ok,C,POA,221.63,9,False
322,cancelado,B,SP,618.9,10,True
323,pendente,A,REC,233.19,4,True
324,pago,D,BH,719.47,2,True
325,pago,B,POA,655.71,8,False
326,pendente,C,BH,292.28,1,True
327,pendente,A,RJ,423.29,3,True
328,ok,D,RJ,936.31,5,True
329,pago,C,REC,606.15,6,False
330,ok,D,RJ,851.7,8,False
331,pendente,A,BH,170.71,8,False
332,pendente,A,BH,792.07,10,True
333,pendente,D,POA,519.61,2,False
334,pago,B,RJ,482.2,4,True
335,cancelado,D,RJ,451.82,5,False
336,cancelado,A,BH,656.49,4,True
337,pago,D,BH,167.96,9,False
338,pago,C,BH,617.86,4,True
339,ok,B,POA,749.51,10,False
340,ok,D,REC,803.17,4,True
341,pago,D,REC,706.02,2,True
342,pago,B,REC,540.76,3,False
343,ok,A,RJ,719.03,8,True
344,ok,A,POA,140.49,7,False
345,pago,D,BH,725.32,7,False
346,pago,B,REC,82.23,7,False
347,pago,A,SP,985.29,8,True
348,cancelado,D,RJ,770.51,7,False
349,ok,D,POA,381.51,9,True
350,cancelado,A,RJ,991.93,7,True
351,pendente,A,SP,977.73,8,False
352,ok,B,RJ,465.56,3,False
353,pendente,A,SP,810.57,7,True
354,pendente,B,SP,109.79,1,False
355,pago,B,SP,407.84,4,True
356,pago,B,REC,992.56,4,False
357,cancelado,B,BH,876.62,9,True
358,ok,C,BH,70.29,10,True
359,ok,D,SP,971.6,7,False
360,ok,D,RJ,306.59,3,False
361,pendente,B,BH,858.11,3,False
362,pago,D,POA,561.16,3,False
363,pendente,C,RJ,336.63,2,False
364,cancelado,A,REC,726.61,4,True
365,cancelado,D,REC,606.29,2,True
366,pendente,D,RJ,869.91,6,False
367,pago,B,RJ,961.49,2,False
368,pendente,B,POA,915.06,9,False
369,cancelado,D,POA,537.78,6,False
370,cancelado,C,REC,883.1,8,True
371,ok,C,RJ,376.63,7,True
372,pendente,B,SP,267.91,10,False
373,cancelado,B,RJ,336.24,7,True
374,ok,C,BH,764.96,8,False
375,ok,B,BH,177.4,9,False
376,pendente,A,REC,43.45,2,True
377,pago,D,RJ,843.28,4,True
378,pendente,A,RJ,510.17,6,True
379,ok,D,SP,16.54,9,False
380,pago,A,REC,724.25,9,False
381,pago,D,RJ,115.84,2,True
382,pendente,B,REC,530.66,6,False
383,ok,A,BH,958.75,8,True
384,pendente,C,SP,656.54,1,True
385,ok,D,POA,556.62,1,True
386,pendente,A,POA,846.03,6,True
387,pago,B,RJ,901.36,10,False
388,cancelado,A,SP,686.9,5,True
389,pendente,C,SP,960.89,10,True
390,ok,A,BH,170.66,4,False
391,cancelado,D,RJ,791.8,2,False
392,pago,A,POA,239.59,2,False
393,ok,C,SP,637.15,8,False
394,pendente,C,REC,940.79,7,True
395,ok,A,REC,302.13,4,True
396,pago,C,RJ,385.82,3,False
397,cancelado,C,SP,100.51,5,False
398,cancelado,C,SP,141.05,3,False
399,ok,D,SP,35.97,6,True
400,cancelado,D,SP,298.64,7,True
401,pendente,B,POA,177.64,5,False
402,cancelado,D,RJ,72.57,7,False
403,ok,C,POA,784.06,6,False
404,pendente,D,REC,619.89,8,True
405,pendente,C,SP,948.39,6,False
406,cancelado,D,BH,435.88,10,True
407,cancelado,C,REC,946.86,4,False
408,cancelado,B,POA,968.07,5,False
409,pendente,C,POA,287.22,7,False
410,pago,B,REC,996.3,3,True
411,ok,B,POA,798.91,2,False
412,ok,B,BH,249.36,3,False
413,ok,A,POA,989.8,8,False
414,ok,A,BH,703.92,9,True
415,pago,B,BH,174.51,10,True
416,ok,C,POA,114.78,2,False
417,pendente,B,POA,380.0,8,True
418,cancelado,A,POA,113.4,7,True
419,pago,B,BH,318.46,8,True
420,ok,C,POA,106.55,8,False
421,pago,C,SP,811.27,2,True
422,cancelado,A,RJ,929.69,4,True
423,pendente,C,REC,431.68,8,True
424,ok,B,RJ,643.43,7,False
425,pago,B,POA,595.69,7,True
426,pendente,B,BH,754.05,2,True
427,pendente,C,BH,204.91,2,False
428,ok,C,REC,394.36,7,True
429,cancelado,C,POA,620.57,5,True
430,pendente,C,SP,245.95,2,True
431,cancelado,B,REC,394.19,10,True
432,ok,D,RJ,491.32,9,True
433,pendente,D,BH,148.75,6,False
434,pago,C,SP,489.28,4,False
435,ok,D,POA,421.06,8,False
436,pendente,A,REC,40.52,4,False
437,pago,C,RJ,541.69,3,False
438,ok,A,REC,122.95,9,False
439,pago,D,REC,226.14,7,True
440,pendente,C,SP,454.79,6,True
441,ok,A,RJ,217.57,10,False
442,ok,B,REC,147.7,4,True
443,pago,C,REC,287.99,9,True
444,cancelado,C,BH,576.44,9,True
445,pendente,D,SP,991.57,3,True
446,pendente,B,BH,829.37,7,False
447,pendente,C,POA,381.05,2,True
448,ok,C,BH,459.69,8,False
449,pago,A,POA,637.86,6,True
450,ok,B,POA,825.77,8,False
451,cancelado,C,BH,551.29,3,False
452,cancelado,A,SP,108.48,8,True
453,pago,B,POA,461.5,7,True
454,pendente,C,RJ,874.8,5,True
455,cancelado,C,SP,377.75,3,True
456,ok,C,RJ,434.51,2,True
457,pago,B,POA,87.08,10,True
458,ok,A,SP,697.95,2,False
459,pendente,D,SP,236.43,2,True
460,pago,C,BH,881.3,3,False
461,pendente,B,SP,534.67,1,True
462,ok,C,RJ,631.17,3,False
463,ok,B,SP,896.73,3,True
464,ok,C,POA,321.04,3,True
465,cancelado,A,RJ,557.31,10,False
466,pago,C,RJ,522.05,9,True
467,ok,C,SP,785.18,4,False
468,ok,A,RJ,504.09,10,True
469,pago,C,BH,140.53,10,False
470,cancelado,B,POA,953.95,2,True
471,pago,A,BH,223.37,1,False
472,cancelado,D,POA,704.09,2,True
473,cancelado,A,BH,88.15,4,True
474,cancelado,D,REC,637.32,2,False
475,ok,B,SP,251.79,7,True
476,ok,A,BH,668.75,3,True
477,pago,B,SP,172.03,6,False
478,pendente,C,RJ,751.53,5,True
479,pago,C,POA,278.99,2,False
480,pago,D,POA,515.16,1,False
481,pendente,C,RJ,262.31,2,True
482,pendente,A,SP,859.24,1,True
483,pago,D,BH,388.77,3,True
484,pago,D,RJ,328.26,7,False
485,cancelado,A,REC,378.71,9,True
486,pendente,B,REC,980.62,7,True
487,ok,C,BH,333.7,9,False
488,pago,C,RJ,298.39,5,True
489,ok,C,REC,971.17,4,True
490,pendente,A,POA,33.65,9,False
491,pago,C,SP,760.58,7,False
492,pago,B,REC,982.3,7,False
493,pago,B,BH,102.0,4,False
494,cancelado,D,SP,584.38,9,True
495,ok,A,REC,571.57,7,True
496,pendente,C,BH,851.55,7,False
497,cancelado,D,BH,241.04,4,True
498,pago,B,SP,172.57,8,False
499,ok,A,REC,364.35,4,False
500,cancelado,D,BH,853.1,2,True
