pedido_id,cliente_id,cliente_nome,produto_id,produto_nome,qtd,valor_unit,status
85,8,Cliente_018,1,Prod-007,4,352.6,pendente
86,41,Cliente_020,13,Prod-012,4,220.42,pago
87,43,Cliente_011,16,Prod-004,2,279.93,pendente
88,27,Cliente_009,10,Prod-004,2,10.74,cancelado
89,2,Cliente_009,16,Prod-013,2,46.91,cancelado
90,27,Cliente_029,20,Prod-013,5,94.0,cancelado
91,28,Cliente_035,15,Prod-012,3,116.74,pendente
92,39,Cliente_000,19,Prod-015,2,357.5,pendente
93,27,Cliente_034,19,Prod-011,1,489.23,cancelado
94,31,Cliente_045,12,Prod-003,5,243.36,cancelado
95,6,Cliente_009,17,Prod-008,4,260.89,cancelado
96,40,Cliente_005,8,Prod-015,1,343.62,cancelado
97,38,Cliente_019,20,Prod-001,3,269.84,pago
98,31,Cliente_029,17,Prod-015,5,368.24,pendente
99,23,Cliente_018,10,Prod-005,1,349.05,cancelado
100,48,Cliente_019,19,Prod-008,1,316.5,cancelado
101,11,Cliente_036,2,Prod-009,5,18.51,pendente
102,6,Cliente_008,17,Prod-002,3,129.77,cancelado
103,18,Cliente_017,9,Prod-000,1,303.89,cancelado
104,48,Cliente_009,15,Prod-011,2,134.32,cancelado
105,16,Cliente_031,6,Prod-016,1,174.71,pago
106,10,Cliente_038,5,Prod-015,4,386.33,pago
107,43,Cliente_028,6,Prod-006,5,368.51,pendente
108,4,Cliente_041,9,Prod-003,1,87.96,pendente
109,31,Cliente_019,16,Prod-017,2,193.0,cancelado
110,25,Cliente_030,9,Prod-004,5,435.79,pago
111,19,Cliente_028,13,Prod-010,5,343.02,pago
112,7,Cliente_034,12,Prod-013,5,459.43,pendente
113,22,Cliente_017,9,Prod-003,3,328.9,pendente
114,30,Cliente_049,8,Prod-018,2,262.38,cancelado
115,45,Cliente_011,11,Prod-017,1,338.04,pago
116,1,Cliente_026,4,Prod-016,1,344.32,pendente
117,15,Cliente_046,10,Prod-008,2,21.85,cancelado
118,6,Cliente_003,20,Prod-006,5,320.85,cancelado
119,8,Cliente_005,20,Prod-004,4,329.92,cancelado
120,37,Cliente_011,4,Prod-005,3,150.81,cancelado
121,5,Cliente_040,15,Prod-008,4,347.65,cancelado
122,50,Cliente_049,11,Prod-008,2,391.46,pendente
123,50,Cliente_003,13,Prod-012,3,498.0,pendente
124,17,Cliente_011,15,Prod-002,4,489.81,pago
125,40,Cliente_025,6,Prod-015,1,76.22,pendente
126,14,Cliente_039,4,Prod-014,3,56.13,pago
127,5,Cliente_036,9,Prod-014,1,448.77,pago
128,42,Cliente_040,1,Prod-001,4,136.89,cancelado
129,22,Cliente_025,19,Prod-000,5,355.26,pendente
130,31,Cliente_027,13,Prod-002,5,116.79,pendente
131,45,Cliente_049,16,Prod-003,5,269.98,pendente
132,22,Cliente_043,10,Prod-012,1,317.97,cancelado
133,6,Cliente_023,18,Prod-010,1,421.38,pendente
134,42,Cliente_012,6,Prod-017,1,483.92,cancelado
135,13,Cliente_019,13,Prod-003,3,245.82,cancelado
136,29,Cliente_047,7,Prod-004,1,100.58,cancelado
137,38,Cliente_015,16,Prod-012,1,397.41,cancelado
138,20,Cliente_031,18,Prod-014,1,23.34,pago
139,22,Cliente_046,2,Prod-012,1,109.78,cancelado
140,43,Cliente_033,15,Prod-017,2,371.82,pago
141,5,Cliente_002,5,Prod-015,1,238.25,cancelado
142,3,Cliente_015,5,Prod-000,2,318.17,pendente
143,7,Cliente_029,20,Prod-005,5,36.66,pago
144,8,Cliente_031,20,Prod-019,2,36.24,pago
145,28,Cliente_021,13,Prod-010,1,488.05,cancelado
146,35,Cliente_008,11,Prod-006,1,298.58,pendente
147,5,Cliente_007,9,Prod-004,4,88.19,pendente
148,36,Cliente_010,15,Prod-007,5,25.15,pago
149,41,Cliente_039,13,Prod-005,1,440.42,pago
150,1,Cliente_000,6,Prod-002,5,444.02,pendente
151,45,Cliente_049,16,Prod-004,2,75.83,pendente
152,34,Cliente_028,14,Prod-007,2,307.22,pago
153,39,Cliente_011,16,Prod-019,1,315.46,pendente
154,23,Cliente_026,1,Prod-017,2,99.99,cancelado
155,7,Cliente_039,12,Prod-017,5,113.54,cancelado
156,43,Cliente_013,9,Prod-001,2,60.78,pago
157,44,Cliente_030,16,Prod-005,2,336.72,pago
158,4,Cliente_041,12,Prod-009,2,220.16,pendente
159,40,Cliente_048,15,Prod-001,1,371.51,cancelado
160,12,Cliente_010,1,Prod-015,5,62.45,pago
161,47,Cliente_028,19,Prod-018,3,212.44,cancelado
162,44,Cliente_020,8,Prod-003,3,117.75,pago
163,48,Cliente_026,7,Prod-012,2,41.4,cancelado
164,32,Cliente_003,14,Prod-004,2,464.3,pendente
165,12,Cliente_024,12,Prod-004,4,361.31,cancelado
166,23,Cliente_017,7,Prod-010,2,20.89,cancelado
167,4,Cliente_017,5,Prod-003,4,232.0,pago
168,49,Cliente_021,8,Prod-009,5,82.61,cancelado
169,40,Cliente_010,19,Prod-017,2,47.8,cancelado
170,32,Cliente_013,19,Prod-015,4,143.19,cancelado
171,28,Cliente_047,8,Prod-007,3,219.95,pago
172,38,Cliente_009,19,Prod-000,4,490.19,pago
173,31,Cliente_046,17,Prod-001,4,267.91,pendente
174,45,Cliente_006,15,Prod-015,2,46.13,pago
175,45,Cliente_046,14,Prod-006,2,182.41,pago
176,42,Cliente_005,1,Prod-015,3,85.09,pendente
177,37,Cliente_047,19,Prod-000,4,234.56,pago
178,46,Cliente_025,6,Prod-011,4,353.43,pago
179,41,Cliente_004,13,Prod-010,5,21.19,pendente
180,49,Cliente_017,20,Prod-017,5,398.27,cancelado
181,6,Cliente_039,11,Prod-001,5,472.93,cancelado
182,24,Cliente_003,4,Prod-012,3,235.35,pago
183,24,Cliente_023,6,Prod-017,1,282.58,pago
184,9,Cliente_021,8,Prod-017,1,326.27,cancelado
185,49,Cliente_037,7,Prod-007,3,179.59,pendente
186,33,Cliente_043,14,Prod-008,1,36.37,pendente
187,29,Cliente_031,17,Prod-016,1,237.73,cancelado
188,44,Cliente_034,10,Prod-014,5,187.23,cancelado
189,45,Cliente_004,7,Prod-014,1,44.68,pago
190,19,Cliente_004,4,Prod-005,3,60.45,pago
191,32,Cliente_009,7,Prod-016,1,150.12,cancelado
192,35,Cliente_008,16,Prod-011,4,224.71,cancelado
193,2,Cliente_018,7,Prod-002,1,436.54,pago
194,34,Cliente_041,11,Prod-013,5,174.68,cancelado
195,21,Cliente_031,19,Prod-016,5,225.4,pendente
196,37,Cliente_008,10,Prod-005,3,117.26,pendente
197,19,Cliente_049,2,Prod-004,3,145.77,pago
198,40,Cliente_010,18,Prod-009,2,486.74,cancelado
199,45,Cliente_042,5,Prod-005,2,62.87,pendente
200,37,Cliente_008,15,Prod-008,3,96.33,cancelado
201,46,Cliente_002,11,Prod-011,2,189.59,cancelado
202,11,Cliente_034,10,Prod-003,1,205.26,pendente
203,50,Cliente_009,15,Prod-010,2,7.13,cancelado
204,35,Cliente_032,11,Prod-009,4,448.51,cancelado
205,43,Cliente_009,19,Prod-014,3,346.13,cancelado
206,31,Cliente_002,5,Prod-017,1,157.5,pendente
207,40,Cliente_014,15,Prod-011,1,166.55,cancelado
208,42,Cliente_012,19,Prod-016,2,391.74,pendente
209,13,Cliente_001,3,Prod-017,4,340.15,pago
210,33,Cliente_025,7,Prod-015,3,303.57,cancelado
211,4,Cliente_042,12,Prod-012,2,359.4,pendente
212,24,Cliente_024,12,Prod-000,3,175.74,pendente
213,29,Cliente_035,3,Prod-006,4,372.06,pendente
214,29,Cliente_018,6,Prod-013,4,74.09,cancelado
215,39,Cliente_005,5,Prod-006,3,239.93,cancelado
216,22,Cliente_004,19,Prod-012,1,8.28,cancelado
217,18,Cliente_026,6,Prod-017,4,356.57,pago
218,13,Cliente_011,13,Prod-009,5,247.84,pendente
219,38,Cliente_019,16,Prod-017,4,116.14,pago
220,10,Cliente_016,10,Prod-015,1,328.64,pendente
221,27,Cliente_011,16,Prod-007,1,64.08,pendente
222,32,Cliente_004,20,Prod-011,5,242.84,pendente
223,17,Cliente_040,16,Prod-003,3,258.7,cancelado
224,2,Cliente_016,6,Prod-018,1,77.34,pendente
225,45,Cliente_008,12,Prod-005,1,139.97,pendente
226,41,Cliente_022,2,Prod-009,3,267.16,pago
227,33,Cliente_012,6,Prod-003,5,377.55,cancelado
228,21,Cliente_020,10,Prod-008,3,52.44,cancelado
229,23,Cliente_009,1,Prod-004,5,144.3,pendente
230,27,Cliente_021,6,Prod-003,2,81.5,pago
231,13,Cliente_035,20,Prod-016,5,357.71,cancelado
232,49,Cliente_007,14,Prod-014,1,62.7,pago
233,2,Cliente_030,12,Prod-009,3,73.81,pendente
234,39,Cliente_033,11,Prod-005,3,19.24,pago
235,15,Cliente_008,5,Prod-007,3,67.05,pago
236,6,Cliente_027,4,Prod-002,1,388.47,pendente
237,3,Cliente_012,4,Prod-001,5,298.62,pendente
238,8,Cliente_016,2,Prod-002,3,335.46,pago
239,8,Cliente_038,7,Prod-018,2,96.47,pendente
240,2,Cliente_005,5,Prod-008,5,177.18,pago
241,33,Cliente_049,20,Prod-007,5,287.27,pago
242,38,Cliente_048,1,Prod-016,2,359.33,pendente
243,11,Cliente_048,18,Prod-000,1,462.49,cancelado
244,46,Cliente_030,12,Prod-018,2,222.63,pago
245,12,Cliente_022,13,Prod-013,2,259.55,pendente
246,8,Cliente_048,11,Prod-003,4,59.61,pago
247,32,Cliente_048,12,Prod-009,5,362.46,pago
248,21,Cliente_031,4,Prod-012,3,231.19,cancelado
249,20,Cliente_043,15,Prod-007,5,206.6,pendente
250,13,Cliente_004,16,Prod-011,2,11.33,cancelado
251,32,Cliente_043,4,Prod-012,4,263.72,cancelado
252,6,Cliente_007,5,Prod-012,4,349.04,pago
253,48,Cliente_010,3,Prod-011,2,172.62,cancelado
254,26,Cliente_007,8,Prod-013,4,142.87,cancelado
255,50,Cliente_037,19,Prod-008,4,181.27,cancelado
256,39,Cliente_025,16,Prod-016,3,77.95,pendente
257,7,Cliente_007,9,Prod-015,4,119.26,pago
258,2,Cliente_006,2,Prod-002,4,340.66,pago
259,25,Cliente_038,11,Prod-004,3,312.87,pago
260,49,Cliente_004,17,Prod-015,4,104.96,cancelado
261,32,Cliente_031,17,Prod-008,5,175.09,cancelado
262,35,Cliente_001,2,Prod-013,1,194.9,pendente
263,25,Cliente_028,15,Prod-001,1,92.55,cancelado
264,50,Cliente_019,6,Prod-015,4,71.57,cancelado
265,25,Cliente_031,4,Prod-018,4,331.74,cancelado
266,35,Cliente_036,16,Prod-015,5,427.9,cancelado
267,4,Cliente_025,9,Prod-015,5,485.58,cancelado
268,44,Cliente_022,10,Prod-010,1,18.93,pago
269,9,Cliente_023,12,Prod-018,1,383.77,cancelado
270,22,Cliente_024,4,Prod-013,3,496.01,pendente
271,23,Cliente_003,8,Prod-007,2,325.8,cancelado
272,6,Cliente_044,3,Prod-009,1,172.11,pago
273,35,Cliente_020,2,Prod-014,4,286.18,pendente
274,18,Cliente_001,16,Prod-018,1,492.95,pendente
275,37,Cliente_024,11,Prod-018,1,405.12,pago
276,45,Cliente_043,7,Prod-010,4,253.87,cancelado
277,22,Cliente_010,20,Prod-009,3,484.87,pago
278,32,Cliente_040,3,Prod-017,2,147.24,pago
279,20,Cliente_036,13,Prod-007,5,372.73,pago
280,46,Cliente_037,4,Prod-018,3,140.32,cancelado
281,34,Cliente_030,14,Prod-006,3,398.85,cancelado
282,20,Cliente_032,10,Prod-013,5,160.11,pendente
283,26,Cliente_016,20,Prod-016,4,337.42,cancelado
284,12,Cliente_001,17,Prod-005,5,252.11,cancelado
285,48,Cliente_029,9,Prod-017,5,427.12,pendente
286,37,Cliente_046,2,Prod-016,2,185.32,pago
287,16,Cliente_009,10,Prod-013,4,162.73,pago
288,41,Cliente_013,14,Prod-008,3,324.79,pendente
289,44,Cliente_038,8,Prod-012,2,61.21,pago
290,2,Cliente_015,10,Prod-014,4,282.11,pendente
291,28,Cliente_041,2,Prod-006,2,139.99,pago
292,17,Cliente_017,18,Prod-005,1,482.07,pendente
293,2,Cliente_003,3,Prod-010,5,152.5,pago
294,27,Cliente_023,3,Prod-012,2,121.84,cancelado
295,48,Cliente_032,4,Prod-016,5,475.09,cancelado
296,17,Cliente_031,3,Prod-007,5,65.53,pendente
297,22,Cliente_037,13,Prod-007,4,112.91,pago
298,12,Cliente_013,9,Prod-014,4,130.88,cancelado
299,4,Cliente_031,18,Prod-011,1,161.66,pendente
300,31,Cliente_043,8,Prod-008,2,184.68,cancelado
301,24,Cliente_019,1,Prod-019,1,421.53,cancelado
302,4,Cliente_044,8,Prod-008,5,195.42,cancelado
303,45,Cliente_023,4,Prod-017,2,429.54,pendente
304,1,Cliente_025,9,Prod-009,1,468.48,pago
305,20,Cliente_013,6,Prod-014,3,440.34,cancelado
306,27,Cliente_002,9,Prod-002,4,238.19,pendente
307,22,Cliente_045,14,Prod-003,2,350.75,cancelado
308,5,Cliente_022,14,Prod-019,5,370.2,pendente
309,45,Cliente_001,2,Prod-005,4,396.55,pago
310,1,Cliente_025,7,Prod-009,3,290.03,pago
311,11,Cliente_015,17,Prod-004,5,344.45,pendente
312,29,Cliente_030,5,Prod-008,2,345.3,pendente
313,19,Cliente_012,3,Prod-013,3,95.04,pendente
314,37,Cliente_014,1,Prod-000,5,325.32,cancelado
315,15,Cliente_005,15,Prod-006,3,352.12,pago
316,4,Cliente_025,20,Prod-013,5,133.78,pago
317,24,Cliente_010,19,Prod-003,1,360.7,pendente
318,50,Cliente_029,16,Prod-003,2,358.21,pago
319,18,Cliente_018,16,Prod-012,2,218.5,pago
320,39,Cliente_013,10,Prod-006,4,94.28,pago
321,2,Cliente_018,9,Prod-007,5,228.23,pago
322,24,Cliente_037,15,Prod-002,1,237.1,pendente
323,45,Cliente_025,7,Prod-012,4,369.37,pendente
324,5,Cliente_006,18,Prod-001,1,169.77,pago
325,31,Cliente_022,20,Prod-019,1,7.65,cancelado
326,40,Cliente_024,10,Prod-012,3,70.46,cancelado
327,3,Cliente_037,6,Prod-008,2,254.35,pendente
328,30,Cliente_008,3,Prod-010,5,219.3,pendente
329,8,Cliente_020,2,Prod-004,4,436.48,pendente
330,48,Cliente_023,14,Prod-009,3,308.4,pendente
331,34,Cliente_020,14,Prod-005,3,369.75,pendente
332,49,Cliente_009,18,Prod-014,1,98.52,pago
333,15,Cliente_011,2,Prod-015,3,85.96,pendente
334,28,Cliente_007,16,Prod-001,4,181.48,cancelado
335,36,Cliente_031,15,Prod-015,1,423.69,pago
336,8,Cliente_022,3,Prod-006,3,94.42,pago
337,48,Cliente_032,9,Prod-018,5,110.14,pago
338,34,Cliente_049,19,Prod-005,4,460.6,pago
339,50,Cliente_031,4,Prod-010,1,145.72,cancelado
340,8,Cliente_025,12,Prod-018,1,419.3,pago
341,2,Cliente_005,15,Prod-015,4,316.04,pendente
342,39,Cliente_042,1,Prod-010,1,329.81,pendente
343,21,Cliente_046,19,Prod-004,2,432.32,cancelado
344,19,Cliente_020,2,Prod-002,5,476.19,pendente
345,6,Cliente_025,9,Prod-005,2,482.7,pendente
346,6,Cliente_001,7,Prod-005,4,390.85,pendente
347,42,Cliente_048,5,Prod-003,3,247.97,pendente
348,48,Cliente_019,20,Prod-004,3,334.43,pendente
349,33,Cliente_012,16,Prod-014,4,240.84,cancelado
350,39,Cliente_027,3,Prod-013,3,308.86,pendente
351,41,Cliente_027,3,Prod-001,5,174.16,pendente
352,44,Cliente_014,5,Prod-015,5,316.63,cancelado
353,6,Cliente_018,15,Prod-013,1,454.07,pendente
354,20,Cliente_009,5,Prod-009,2,263.93,pendente
355,37,Cliente_003,18,Prod-002,1,259.14,cancelado
356,28,Cliente_026,4,Prod-014,5,407.35,pendente
357,17,Cliente_037,3,Prod-016,1,61.4,cancelado
358,30,Cliente_011,6,Prod-012,1,46.23,cancelado
359,20,Cliente_020,19,Prod-014,4,313.79,pendente
360,22,Cliente_011,7,Prod-005,1,374.78,cancelado
361,17,Cliente_043,4,Prod-013,5,13.87,pendente
362,8,Cliente_000,6,Prod-015,4,347.44,cancelado
363,48,Cliente_038,16,Prod-009,5,407.5,cancelado
364,24,Cliente_044,13,Prod-009,1,66.92,pago
365,13,Cliente_007,1,Prod-006,1,108.57,cancelado
366,10,Cliente_041,8,Prod-013,5,99.5,pendente
367,50,Cliente_029,5,Prod-015,4,15.8,pago
368,10,Cliente_047,15,Prod-015,4,14.72,pendente
369,38,Cliente_015,7,Prod-009,5,415.58,pendente
370,4,Cliente_021,1,Prod-003,4,489.85,pendente
371,48,Cliente_037,20,Prod-017,3,23.32,pendente
372,32,Cliente_032,19,Prod-019,4,119.79,pago
373,34,Cliente_001,14,Prod-018,3,278.86,pendente
374,42,Cliente_026,16,Prod-003,4,313.23,cancelado
375,23,Cliente_028,14,Prod-000,2,147.57,pago
376,31,Cliente_022,15,Prod-007,5,113.75,cancelado
377,22,Cliente_038,15,Prod-004,3,362.88,pendente
378,27,Cliente_043,12,Prod-015,2,312.81,pendente
379,45,Cliente_047,3,Prod-015,2,90.78,pago
380,39,Cliente_031,4,Prod-013,4,155.31,pago
381,36,Cliente_003,1,Prod-011,3,181.74,pago
382,12,Cliente_032,2,Prod-002,3,218.16,cancelado
383,15,Cliente_007,18,Prod-007,4,132.62,pendente
384,23,Cliente_049,2,Prod-017,3,448.68,cancelado
385,33,Cliente_038,4,Prod-001,4,400.5,pago
386,7,Cliente_039,20,Prod-003,5,25.77,pago
387,11,Cliente_040,4,Prod-006,3,82.73,pendente
388,46,Cliente_028,17,Prod-015,1,81.38,pendente
389,22,Cliente_008,4,Prod-006,4,484.97,pago
390,16,Cliente_030,11,Prod-009,5,89.77,pendente
391,24,Cliente_045,14,Prod-011,2,80.05,cancelado
392,27,Cliente_014,5,Prod-013,4,459.42,pendente
393,34,Cliente_043,12,Prod-000,4,77.06,pago
394,46,Cliente_033,3,Prod-002,3,160.83,pago
395,28,Cliente_003,13,Prod-001,2,451.74,pago
396,41,Cliente_045,17,Prod-009,4,203.99,cancelado
397,45,Cliente_035,10,Prod-010,3,8.91,pendente
398,34,Cliente_039,5,Prod-012,4,323.72,cancelado
399,40,Cliente_039,15,Prod-011,4,388.82,pendente
400,6,Cliente_002,18,Prod-010,4,363.92,cancelado
401,9,Cliente_033,18,Prod-009,2,50.95,cancelado
402,20,Cliente_033,11,Prod-005,1,18.81,cancelado
403,38,Cliente_016,8,Prod-009,4,493.54,pago
404,47,Cliente_003,12,Prod-008,5,180.46,pago
405,49,Cliente_041,4,Prod-014,3,288.36,pago
406,30,Cliente_021,8,Prod-018,5,358.75,cancelado
407,43,Cliente_034,20,Prod-007,3,153.1,cancelado
408,46,Cliente_036,5,Prod-012,5,370.07,pago
409,21,Cliente_033,19,Prod-006,3,229.88,pago
410,46,Cliente_027,14,Prod-002,1,35.79,pago
411,31,Cliente_013,15,Prod-002,3,340.03,pendente
412,38,Cliente_035,17,Prod-012,3,294.23,cancelado
413,28,Cliente_028,16,Prod-013,2,76.45,pago
414,32,Cliente_045,15,Prod-004,5,432.32,pago
415,45,Cliente_013,15,Prod-015,1,374.52,cancelado
416,24,Cliente_007,20,Prod-013,1,64.83,cancelado
417,19,Cliente_002,17,Prod-004,1,188.88,pendente
418,20,Cliente_018,16,Prod-000,2,75.36,cancelado
419,27,Cliente_003,10,Prod-009,2,95.62,cancelado
420,32,Cliente_000,4,Prod-017,3,38.44,pago
421,27,Cliente_030,19,Prod-009,5,228.93,pendente
422,25,Cliente_030,20,Prod-004,2,254.86,pendente
423,49,Cliente_028,15,Prod-004,3,49.21,cancelado
424,43,Cliente_039,14,Prod-012,2,450.62,pendente
425,35,Cliente_002,15,Prod-008,1,433.65,cancelado
426,2,Cliente_036,10,Prod-017,1,323.74,pago
427,13,Cliente_039,18,Prod-018,1,478.86,cancelado
428,13,Cliente_048,16,Prod-016,1,64.54,cancelado
429,12,Cliente_001,9,Prod-006,2,415.7,cancelado
430,29,Cliente_005,18,Prod-019,3,203.89,pago
431,32,Cliente_001,11,Prod-013,2,210.39,cancelado
432,21,Cliente_024,9,Prod-002,1,489.99,cancelado
433,11,Cliente_018,5,Prod-005,3,385.31,pago
434,20,Cliente_026,6,Prod-001,5,480.76,pago
435,2,Cliente_045,2,Prod-009,4,53.88,pago
436,27,Cliente_020,9,Prod-012,1,30.68,pago
437,49,Cliente_038,19,Prod-007,4,256.77,cancelado
438,25,Cliente_007,9,Prod-001,3,235.09,pendente
439,5,Cliente_030,1,Prod-013,2,457.3,pago
440,18,Cliente_035,19,Prod-003,2,382.67,cancelado
441,9,Cliente_019,19,Prod-013,4,46.53,cancelado
442,33,Cliente_013,5,Prod-011,5,492.73,pago
443,35,Cliente_027,18,Prod-014,1,5.5,pendente
444,40,Cliente_018,6,Prod-000,1,467.09,pendente
445,18,Cliente_038,9,Prod-012,3,422.01,pago
446,38,Cliente_032,10,Prod-001,2,370.9,cancelado
447,5,Cliente_019,3,Prod-012,1,416.1,cancelado
448,36,Cliente_017,14,Prod-006,5,254.89,pendente
449,44,Cliente_021,9,Prod-014,3,126.73,pendente
450,22,Cliente_013,15,Prod-019,3,12.86,cancelado
451,9,Cliente_041,1,Prod-019,4,7.12,pago
452,44,Cliente_011,14,Prod-017,4,382.42,cancelado
453,6,Cliente_041,3,Prod-017,1,446.82,cancelado
454,29,Cliente_043,4,Prod-011,4,414.6,pendente
455,25,Cliente_011,1,Prod-003,4,188.39,pago
456,29,Cliente_000,8,Prod-000,3,341.87,cancelado
457,23,Cliente_012,3,Prod-019,3,405.17,pago
458,15,Cliente_031,12,Prod-001,3,248.95,cancelado
459,46,Cliente_038,7,Prod-000,2,492.21,cancelado
460,26,Cliente_007,9,Prod-018,5,249.54,cancelado
461,13,Cliente_042,19,Prod-019,5,91.89,cancelado
462,9,Cliente_047,3,Prod-004,3,467.11,pago
463,34,Cliente_046,9,Prod-006,1,496.02,cancelado
464,44,Cliente_034,20,Prod-008,5,442.14,pago
465,28,Cliente_041,2,Prod-010,4,422.95,pendente
466,18,Cliente_007,17,Prod-014,4,183.93,pago
467,47,Cliente_014,2,Prod-008,4,268.54,pendente
468,1,Cliente_025,7,Prod-010,1,440.65,pago
469,48,Cliente_014,14,Prod-002,2,102.45,pendente
470,20,Cliente_004,4,Prod-000,4,218.81,pago
471,38,Cliente_040,11,Prod-008,2,58.38,pago
472,22,Cliente_003,11,Prod-016,2,472.06,cancelado
473,40,Cliente_028,4,Prod-014,5,66.79,pago
474,3,Cliente_024,11,Prod-002,2,35.69,pendente
475,4,Cliente_019,20,Prod-013,1,55.4,pago
476,36,Cliente_003,10,Prod-012,4,52.44,pendente
477,15,Cliente_038,20,Prod-000,4,195.04,pendente
478,40,Cliente_039,4,Prod-010,1,229.77,pendente
