id,bool_card2,sex_card2,mktsegment_card5,prioridade_prefixo,education_card16,uf_card27,pais_pareto
69,True,F,FURNITURE,5-LOW,12th,MT,Brasil
70,False,M,FURNITURE,4-NOT SPECIFIED,11th,SE,Brasil
71,False,F,BUILDING,2-HIGH,10th,CE,Brasil
72,True,M,BUILDING,2-HIGH,1st-4th,AP,Portugal
73,True,F,HOUSEHOLD,5-LOW,Assoc-acdm,AL,Brasil
74,False,F,HOUSEHOLD,2-HIGH,Doctorate,TO,Brasil
75,True,M,HOUSEHOLD,2-HIGH,11th,PI,Brasil
76,False,M,FURNITURE,2-HIGH,Masters,MT,Brasil
77,False,F,HOUSEHOLD,5-LOW,5th-6th,ES,Brasil
78,False,M,HOUSEHOLD,4-NOT SPECIFIED,9th,RN,Brasil
79,False,F,AUTOMOBILE,3-MEDIUM,Preschool,MG,Estados Unidos
80,False,M,MACHINERY,3-MEDIUM,12th,AC,Brasil
81,True,M,AUTOMOBILE,4-NOT SPECIFIED,Doctorate,AL,Brasil
82,True,F,HOUSEHOLD,3-MEDIUM,Preschool,PA,Brasil
83,True,F,HOUSEHOLD,5-LOW,Bachelors,RN,Brasil
84,False,F,BUILDING,3-MEDIUM,10th,RN,Brasil
85,False,M,HOUSEHOLD,2-HIGH,9th,PA,Brasil
86,True,F,MACHINERY,4-NOT SPECIFIED,11th,ES,Brasil
87,True,M,HOUSEHOLD,5-LOW,Bachelors,MG,Brasil
88,False,M,HOUSEHOLD,2-HIGH,HS-grad,PE,Brasil
89,False,M,HOUSEHOLD,3-MEDIUM,12th,RN,Brasil
90,False,F,MACHINERY,1-URGENT,1st-4th,SP,Argentina
91,True,F,AUTOMOBILE,1-URGENT,HS-grad,RN,Brasil
92,True,M,BUILDING,5-LOW,Doctorate,CE,Brasil
93,False,M,FURNITURE,2-HIGH,Preschool,AL,Brasil
94,False,M,FURNITURE,5-LOW,Masters,RN,Brasil
95,False,M,FURNITURE,1-URGENT,10th,RR,Brasil
96,False,F,AUTOMOBILE,1-URGENT,Assoc-voc,RS,Brasil
97,False,M,FURNITURE,1-URGENT,Prof-school,AC,Brasil
98,False,M,FURNITURE,3-MEDIUM,Bachelors,PA,Brasil
99,True,F,MACHINERY,4-NOT SPECIFIED,Doctorate,PA,Brasil
100,False,F,HOUSEHOLD,4-NOT SPECIFIED,9th,DF,Brasil
101,True,F,HOUSEHOLD,2-HIGH,Preschool,RR,Brasil
102,False,F,BUILDING,4-NOT SPECIFIED,12th,SC,Brasil
103,True,F,MACHINERY,3-MEDIUM,9th,AP,Brasil
104,False,M,FURNITURE,2-HIGH,Some-college,CE,Estados Unidos
105,False,F,FURNITURE,2-HIGH,1st-4th,TO,Estados Unidos
106,False,F,BUILDING,1-URGENT,10th,CE,Brasil
107,True,F,FURNITURE,3-MEDIUM,1st-4th,AC,Brasil
108,False,F,FURNITURE,3-MEDIUM,Prof-school,AL,Brasil
109,False,F,MACHINERY,2-HIGH,Masters,PB,Brasil
110,False,M,FURNITURE,2-HIGH,Assoc-acdm,BA,Estados Unidos
111,False,F,FURNITURE,5-LOW,10th,RS,Brasil
112,False,M,MACHINERY,2-HIGH,10th,SP,Estados Unidos
113,True,F,BUILDING,1-URGENT,10th,AL,Brasil
114,False,M,BUILDING,5-LOW,10th,MS,Brasil
115,False,F,AUTOMOBILE,1-URGENT,9th,MS,Brasil
116,True,F,HOUSEHOLD,1-URGENT,HS-grad,PR,Brasil
117,False,M,AUTOMOBILE,1-URGENT,5th-6th,AP,Brasil
118,True,F,HOUSEHOLD,4-NOT SPECIFIED,10th,RR,Brasil
119,False,M,FURNITURE,1-URGENT,Assoc-acdm,TO,Brasil
120,False,M,AUTOMOBILE,2-HIGH,11th,AC,Brasil
121,True,M,HOUSEHOLD,4-NOT SPECIFIED,1st-4th,GO,Brasil
122,True,F,MACHINERY,4-NOT SPECIFIED,Some-college,SE,Brasil
123,False,M,HOUSEHOLD,1-URGENT,Assoc-voc,TO,Brasil
124,False,M,BUILDING,1-URGENT,11th,PI,Brasil
125,False,F,BUILDING,4-NOT SPECIFIED,10th,AL,Brasil
126,False,F,HOUSEHOLD,1-URGENT,HS-grad,PA,Estados Unidos
127,False,F,BUILDING,1-URGENT,Assoc-voc,SE,Brasil
128,True,F,FURNITURE,1-URGENT,11th,MS,Brasil
129,False,F,AUTOMOBILE,5-LOW,5th-6th,TO,Brasil
130,True,F,MACHINERY,4-NOT SPECIFIED,12th,DF,Brasil
131,True,M,MACHINERY,4-NOT SPECIFIED,1st-4th,GO,Brasil
132,False,M,HOUSEHOLD,1-URGENT,12th,PE,Brasil
133,True,F,FURNITURE,1-URGENT,Preschool,PA,Brasil
134,True,F,FURNITURE,4-NOT SPECIFIED,Preschool,RN,Brasil
135,True,F,FURNITURE,2-HIGH,10th,MT,Brasil
136,False,M,BUILDING,5-LOW,Assoc-voc,AL,Brasil
137,False,M,FURNITURE,4-NOT SPECIFIED,Some-college,CE,Brasil
138,False,M,AUTOMOBILE,4-NOT SPECIFIED,10th,RO,Estados Unidos
139,False,F,HOUSEHOLD,4-NOT SPECIFIED,Assoc-voc,MT,Brasil
140,True,F,AUTOMOBILE,5-LOW,Doctorate,MG,Brasil
141,False,F,FURNITURE,3-MEDIUM,Bachelors,GO,Estados Unidos
142,False,F,AUTOMOBILE,4-NOT SPECIFIED,1st-4th,AM,Brasil
143,False,F,MACHINERY,2-HIGH,Assoc-voc,RR,Brasil
144,True,F,BUILDING,3-MEDIUM,1st-4th,AL,Brasil
145,False,M,HOUSEHOLD,1-URGENT,Doctorate,RO,Brasil
146,False,M,HOUSEHOLD,1-URGENT,Preschool,SP,Estados Unidos
147,True,F,AUTOMOBILE,1-URGENT,1st-4th,PI,Brasil
148,False,F,BUILDING,3-MEDIUM,7th-8th,DF,Brasil
149,False,M,FURNITURE,1-URGENT,Assoc-voc,TO,Brasil
150,False,M,BUILDING,4-NOT SPECIFIED,Masters,RN,Brasil
151,True,F,AUTOMOBILE,3-MEDIUM,Bachelors,RJ,Brasil
152,True,F,MACHINERY,3-MEDIUM,5th-6th,PR,Brasil
153,False,M,AUTOMOBILE,2-HIGH,Some-college,AP,Brasil
154,True,F,FURNITURE,2-HIGH,Assoc-voc,MT,Brasil
155,False,F,MACHINERY,1-URGENT,Preschool,GO,Brasil
156,True,M,HOUSEHOLD,3-MEDIUM,10th,TO,Brasil
157,False,F,MACHINERY,2-HIGH,7th-8th,MS,Brasil
158,True,F,FURNITURE,3-MEDIUM,10th,AL,Brasil
159,True,F,MACHINERY,1-URGENT,HS-grad,AP,Argentina
160,False,F,AUTOMOBILE,5-LOW,Prof-school,CE,Brasil
161,True,F,AUTOMOBILE,1-URGENT,HS-grad,GO,Brasil
162,True,F,AUTOMOBILE,1-URGENT,10th,DF,Argentina
163,False,M,AUTOMOBILE,2-HIGH,Prof-school,RO,Brasil
164,False,M,MACHINERY,4-NOT SPECIFIED,10th,PB,Brasil
165,True,F,BUILDING,2-HIGH,Assoc-voc,SE,Estados Unidos
166,False,F,BUILDING,4-NOT SPECIFIED,Bachelors,PE,Brasil
167,True,F,MACHINERY,3-MEDIUM,7th-8th,ES,Brasil
168,False,M,AUTOMOBILE,4-NOT SPECIFIED,Bachelors,AP,Brasil
169,False,M,BUILDING,4-NOT SPECIFIED,10th,TO,Brasil
170,True,M,BUILDING,1-URGENT,10th,MS,Brasil
171,True,M,FURNITURE,2-HIGH,7th-8th,MT,Brasil
172,False,M,HOUSEHOLD,1-URGENT,1st-4th,AP,Brasil
173,False,M,MACHINERY,2-HIGH,Preschool,MT,Brasil
174,False,M,MACHINERY,5-LOW,Prof-school,RJ,Brasil
175,False,M,BUILDING,4-NOT SPECIFIED,Some-college,SE,Brasil
176,True,M,MACHINERY,2-HIGH,Doctorate,PI,Brasil
177,True,M,FURNITURE,2-HIGH,Assoc-acdm,ES,Brasil
178,False,M,FURNITURE,1-URGENT,9th,PR,Brasil
179,False,M,BUILDING,1-URGENT,Doctorate,SP,Brasil
180,True,F,BUILDING,2-HIGH,9th,RJ,Brasil
181,False,M,BUILDING,4-NOT SPECIFIED,Preschool,RN,Brasil
182,True,F,FURNITURE,2-HIGH,HS-grad,PB,Brasil
183,False,F,BUILDING,1-URGENT,1st-4th,MA,Brasil
184,True,F,HOUSEHOLD,1-URGENT,Some-college,DF,Brasil
185,True,M,AUTOMOBILE,3-MEDIUM,12th,MA,Brasil
186,False,F,FURNITURE,5-LOW,5th-6th,RS,Brasil
187,True,M,HOUSEHOLD,4-NOT SPECIFIED,Assoc-voc,PA,Brasil
188,False,F,HOUSEHOLD,1-URGENT,12th,PA,Brasil
189,False,F,AUTOMOBILE,4-NOT SPECIFIED,Some-college,MG,Brasil
190,True,F,BUILDING,3-MEDIUM,Doctorate,AC,Brasil
191,False,M,HOUSEHOLD,3-MEDIUM,5th-6th,PB,Brasil
192,False,F,MACHINERY,1-URGENT,Assoc-acdm,PR,Brasil
193,False,M,BUILDING,3-MEDIUM,Prof-school,RS,Mexico
194,False,M,HOUSEHOLD,5-LOW,Bachelors,AP,Brasil
195,False,M,AUTOMOBILE,3-MEDIUM,10th,DF,Brasil
196,True,M,AUTOMOBILE,5-LOW,7th-8th,MG,Brasil
197,True,M,FURNITURE,2-HIGH,7th-8th,PA,Brasil
198,False,M,MACHINERY,3-MEDIUM,12th,RN,Brasil
199,True,M,AUTOMOBILE,2-HIGH,HS-grad,SE,Brasil
200,False,F,HOUSEHOLD,4-NOT SPECIFIED,Preschool,PA,Brasil
201,True,M,MACHINERY,4-NOT SPECIFIED,Masters,GO,Brasil
202,False,F,BUILDING,2-HIGH,7th-8th,AP,Brasil
203,True,M,MACHINERY,2-HIGH,Doctorate,RN,Brasil
204,False,F,BUILDING,1-URGENT,1st-4th,PB,Brasil
205,True,M,HOUSEHOLD,5-LOW,Assoc-voc,RO,Brasil
206,False,M,HOUSEHOLD,1-URGENT,5th-6th,SP,Brasil
207,True,F,FURNITURE,4-NOT SPECIFIED,7th-8th,AL,Brasil
208,False,F,BUILDING,4-NOT SPECIFIED,Bachelors,DF,Brasil
209,False,F,BUILDING,4-NOT SPECIFIED,Masters,CE,Brasil
210,False,M,HOUSEHOLD,3-MEDIUM,12th,CE,Brasil
211,True,M,FURNITURE,1-URGENT,Assoc-acdm,RN,Brasil
212,False,M,AUTOMOBILE,1-URGENT,Doctorate,PE,Brasil
213,True,M,BUILDING,2-HIGH,1st-4th,MT,Argentina
214,False,F,MACHINERY,2-HIGH,Preschool,MG,Brasil
215,False,F,MACHINERY,5-LOW,HS-grad,AM,Brasil
216,True,F,HOUSEHOLD,4-NOT SPECIFIED,HS-grad,RJ,Brasil
217,False,M,BUILDING,5-LOW,7th-8th,MT,Brasil
218,True,F,FURNITURE,2-HIGH,12th,AP,Brasil
219,True,M,HOUSEHOLD,1-URGENT,12th,AL,Brasil
220,True,M,AUTOMOBILE,4-NOT SPECIFIED,Preschool,RO,Brasil
221,True,F,MACHINERY,3-MEDIUM,7th-8th,PA,Japao
222,False,M,MACHINERY,1-URGENT,12th,RS,Brasil
223,False,F,MACHINERY,5-LOW,Doctorate,DF,Brasil
224,True,F,MACHINERY,4-NOT SPECIFIED,Doctorate,AP,Estados Unidos
225,True,F,FURNITURE,4-NOT SPECIFIED,12th,ES,Brasil
226,True,F,FURNITURE,3-MEDIUM,Bachelors,AM,Brasil
227,True,M,MACHINERY,4-NOT SPECIFIED,Assoc-acdm,CE,Brasil
228,True,M,MACHINERY,1-URGENT,HS-grad,SE,Brasil
229,True,F,AUTOMOBILE,2-HIGH,11th,ES,Brasil
230,True,F,BUILDING,4-NOT SPECIFIED,Prof-school,SE,Estados Unidos
231,True,F,FURNITURE,3-MEDIUM,Preschool,CE,Brasil
232,True,F,HOUSEHOLD,2-HIGH,Prof-school,SE,Brasil
233,False,F,MACHINERY,4-NOT SPECIFIED,5th-6th,SC,Brasil
234,True,F,BUILDING,4-NOT SPECIFIED,Prof-school,AC,Brasil
235,True,F,BUILDING,2-HIGH,9th,MT,Brasil
236,True,F,BUILDING,2-HIGH,Preschool,AM,Brasil
237,False,M,HOUSEHOLD,5-LOW,Prof-school,CE,Brasil
238,True,F,AUTOMOBILE,1-URGENT,12th,RS,Estados Unidos
239,False,M,AUTOMOBILE,1-URGENT,10th,ES,Brasil
240,True,F,HOUSEHOLD,5-LOW,Bachelors,MG,Brasil
241,False,M,AUTOMOBILE,5-LOW,5th-6th,RS,Japao
242,False,M,MACHINERY,1-URGENT,HS-grad,CE,Brasil
243,False,M,BUILDING,4-NOT SPECIFIED,Bachelors,TO,Brasil
244,True,M,MACHINERY,4-NOT SPECIFIED,Bachelors,AP,Brasil
245,True,F,AUTOMOBILE,1-URGENT,Prof-school,MG,Brasil
246,True,F,HOUSEHOLD,1-URGENT,7th-8th,AM,Brasil
247,True,F,BUILDING,3-MEDIUM,Assoc-voc,PB,Brasil
248,True,F,AUTOMOBILE,1-URGENT,Prof-school,AC,Brasil
249,True,F,HOUSEHOLD,2-HIGH,Doctorate,MG,Estados Unidos
250,False,M,MACHINERY,2-HIGH,HS-grad,PI,Brasil
251,True,F,MACHINERY,5-LOW,7th-8th,ES,Brasil
252,False,F,BUILDING,2-HIGH,10th,AM,Japao
253,True,F,MACHINERY,1-URGENT,Prof-school,PA,Brasil
254,False,F,MACHINERY,2-HIGH,1st-4th,AL,Brasil
255,False,F,BUILDING,4-NOT SPECIFIED,Some-college,PA,Brasil
256,True,F,MACHINERY,1-URGENT,Some-college,DF,Brasil
257,False,F,HOUSEHOLD,5-LOW,5th-6th,SC,Brasil
258,False,F,HOUSEHOLD,1-URGENT,Prof-school,AP,Brasil
259,False,M,BUILDING,4-NOT SPECIFIED,Prof-school,RO,Argentina
260,True,M,AUTOMOBILE,5-LOW,Preschool,RJ,Brasil
261,True,M,MACHINERY,3-MEDIUM,7th-8th,RR,Brasil
262,True,F,MACHINERY,3-MEDIUM,Preschool,RN,Brasil
263,True,F,HOUSEHOLD,3-MEDIUM,9th,CE,Brasil
264,True,M,HOUSEHOLD,5-LOW,7th-8th,AC,Brasil
265,False,F,HOUSEHOLD,2-HIGH,10th,AL,Brasil
266,True,M,AUTOMOBILE,1-URGENT,Preschool,SC,Estados Unidos
267,False,M,MACHINERY,3-MEDIUM,Some-college,AC,Brasil
268,False,F,AUTOMOBILE,2-HIGH,Prof-school,RO,Brasil
269,True,M,AUTOMOBILE,2-HIGH,1st-4th,SP,Brasil
270,False,F,FURNITURE,2-HIGH,Some-college,MG,Brasil
271,False,F,FURNITURE,4-NOT SPECIFIED,5th-6th,ES,Brasil
272,True,M,MACHINERY,1-URGENT,Preschool,MT,Brasil
273,False,M,FURNITURE,5-LOW,11th,RN,Brasil
274,False,M,BUILDING,5-LOW,Doctorate,GO,Brasil
275,True,F,AUTOMOBILE,3-MEDIUM,10th,MG,Brasil
276,True,F,AUTOMOBILE,3-MEDIUM,Some-college,RO,Brasil
277,True,M,AUTOMOBILE,5-LOW,12th,ES,Brasil
278,True,M,BUILDING,1-URGENT,9th,TO,Brasil
279,False,M,HOUSEHOLD,5-LOW,10th,TO,Brasil
280,False,M,HOUSEHOLD,3-MEDIUM,Preschool,MG,Brasil
281,True,M,HOUSEHOLD,4-NOT SPECIFIED,1st-4th,MT,Brasil
282,False,M,MACHINERY,3-MEDIUM,Prof-school,MA,Brasil
283,False,M,MACHINERY,2-HIGH,Preschool,RS,Brasil
284,False,M,AUTOMOBILE,1-URGENT,HS-grad,GO,Brasil
285,False,M,AUTOMOBILE,3-MEDIUM,12th,BA,Mexico
286,True,F,FURNITURE,4-NOT SPECIFIED,1st-4th,GO,Brasil
287,True,M,HOUSEHOLD,5-LOW,Preschool,CE,Brasil
288,False,M,BUILDING,3-MEDIUM,1st-4th,AP,Brasil
289,False,F,FURNITURE,1-URGENT,Masters,PA,Brasil
290,False,F,HOUSEHOLD,3-MEDIUM,HS-grad,MA,Brasil
291,True,F,FURNITURE,3-MEDIUM,Some-college,MA,Brasil
292,False,F,FURNITURE,5-LOW,Masters,PR,Brasil
293,False,F,MACHINERY,5-LOW,Prof-school,RN,Brasil
294,True,F,FURNITURE,1-URGENT,HS-grad,RJ,Brasil
295,False,F,FURNITURE,4-NOT SPECIFIED,Doctorate,AP,Brasil
296,True,F,FURNITURE,3-MEDIUM,11th,MA,Brasil
297,False,F,FURNITURE,5-LOW,1st-4th,AL,Brasil
298,False,F,BUILDING,3-MEDIUM,12th,SE,Brasil
299,False,F,BUILDING,5-LOW,1st-4th,PE,Brasil
300,True,M,FURNITURE,4-NOT SPECIFIED,11th,RO,Brasil
301,False,M,AUTOMOBILE,1-URGENT,Masters,BA,Brasil
302,False,F,HOUSEHOLD,2-HIGH,5th-6th,AL,Brasil
303,False,F,BUILDING,2-HIGH,Assoc-acdm,AC,Brasil
304,False,F,MACHINERY,2-HIGH,Preschool,AC,Brasil
305,False,F,FURNITURE,4-NOT SPECIFIED,Assoc-acdm,CE,Brasil
306,False,M,MACHINERY,3-MEDIUM,Assoc-acdm,AL,Estados Unidos
307,False,F,HOUSEHOLD,3-MEDIUM,9th,GO,Brasil
308,False,F,MACHINERY,2-HIGH,10th,RJ,Brasil
309,True,F,HOUSEHOLD,3-MEDIUM,1st-4th,BA,Brasil
310,False,F,AUTOMOBILE,1-URGENT,Assoc-voc,CE,Brasil
311,True,M,BUILDING,1-URGENT,5th-6th,DF,Estados Unidos
312,False,M,AUTOMOBILE,1-URGENT,11th,PA,Brasil
313,False,F,AUTOMOBILE,3-MEDIUM,12th,GO,Brasil
314,True,M,FURNITURE,2-HIGH,HS-grad,SC,Brasil
315,True,M,HOUSEHOLD,4-NOT SPECIFIED,11th,PB,Brasil
316,True,M,MACHINERY,5-LOW,Masters,DF,Brasil
317,False,F,AUTOMOBILE,5-LOW,Preschool,PE,Brasil
318,True,F,AUTOMOBILE,4-NOT SPECIFIED,9th,AL,Brasil
319,True,F,MACHINERY,5-LOW,Assoc-acdm,SC,Brasil
320,False,F,FURNITURE,3-MEDIUM,Some-college,MA,Brasil
321,True,M,AUTOMOBILE,4-NOT SPECIFIED,12th,CE,Brasil
322,False,F,AUTOMOBILE,4-NOT SPECIFIED,9th,DF,Brasil
323,True,F,MACHINERY,2-HIGH,HS-grad,SE,Brasil
324,False,F,AUTOMOBILE,4-NOT SPECIFIED,10th,AL,Brasil
325,False,F,FURNITURE,2-HIGH,Assoc-voc,PR,Brasil
326,True,F,FURNITURE,3-MEDIUM,5th-6th,AL,Brasil
327,False,M,AUTOMOBILE,5-LOW,Some-college,RO,Brasil
328,False,M,FURNITURE,1-URGENT,HS-grad,ES,Brasil
329,True,M,AUTOMOBILE,3-MEDIUM,Preschool,RS,Brasil
330,True,F,BUILDING,5-LOW,Preschool,PI,Brasil
331,False,M,FURNITURE,4-NOT SPECIFIED,Preschool,RR,Brasil
332,False,F,BUILDING,4-NOT SPECIFIED,9th,ES,Brasil
333,True,M,BUILDING,4-NOT SPECIFIED,Prof-school,AL,Brasil
334,True,M,HOUSEHOLD,1-URGENT,10th,PA,Brasil
335,True,F,MACHINERY,4-NOT SPECIFIED,Preschool,MA,Brasil
336,True,M,MACHINERY,1-URGENT,11th,AC,Brasil
337,True,M,BUILDING,1-URGENT,10th,MT,Brasil
338,False,F,AUTOMOBILE,2-HIGH,Preschool,AM,Brasil
339,False,M,BUILDING,1-URGENT,5th-6th,AP,Portugal
340,True,M,AUTOMOBILE,1-URGENT,Masters,AP,Brasil
341,False,M,AUTOMOBILE,1-URGENT,7th-8th,MT,Brasil
342,True,M,AUTOMOBILE,5-LOW,10th,CE,Estados Unidos
343,False,F,AUTOMOBILE,3-MEDIUM,Doctorate,SE,Brasil
344,True,F,MACHINERY,3-MEDIUM,HS-grad,AC,Brasil
345,True,F,FURNITURE,4-NOT SPECIFIED,HS-grad,AM,Brasil
346,False,F,HOUSEHOLD,4-NOT SPECIFIED,Doctorate,GO,Brasil
347,True,F,AUTOMOBILE,2-HIGH,10th,AL,Brasil
348,False,M,FURNITURE,4-NOT SPECIFIED,5th-6th,AC,Brasil
349,True,F,AUTOMOBILE,3-MEDIUM,Assoc-acdm,DF,Brasil
350,True,F,MACHINERY,1-URGENT,Assoc-acdm,RJ,Brasil
351,False,M,BUILDING,2-HIGH,Assoc-acdm,MS,Brasil
352,False,F,BUILDING,2-HIGH,Assoc-acdm,PB,Brasil
353,False,M,FURNITURE,2-HIGH,7th-8th,CE,Brasil
354,False,F,HOUSEHOLD,4-NOT SPECIFIED,Prof-school,GO,Brasil
355,False,F,HOUSEHOLD,1-URGENT,1st-4th,RN,Brasil
356,True,F,MACHINERY,4-NOT SPECIFIED,HS-grad,RR,Brasil
357,True,M,MACHINERY,5-LOW,5th-6th,GO,Brasil
358,True,F,AUTOMOBILE,4-NOT SPECIFIED,Assoc-voc,MS,Brasil
359,False,F,HOUSEHOLD,4-NOT SPECIFIED,Preschool,SC,Estados Unidos
360,False,M,AUTOMOBILE,5-LOW,1st-4th,SC,Brasil
361,True,M,BUILDING,1-URGENT,Bachelors,PA,Brasil
362,True,M,AUTOMOBILE,1-URGENT,Assoc-acdm,RO,Brasil
363,False,M,FURNITURE,5-LOW,1st-4th,SE,Brasil
364,True,M,FURNITURE,5-LOW,5th-6th,SP,Brasil
365,False,F,BUILDING,5-LOW,5th-6th,PI,Brasil
366,True,M,FURNITURE,2-HIGH,Assoc-voc,BA,Brasil
367,False,F,MACHINERY,4-NOT SPECIFIED,Some-college,AM,Brasil
368,False,M,AUTOMOBILE,3-MEDIUM,Some-college,TO,Brasil
369,True,M,HOUSEHOLD,4-NOT SPECIFIED,7th-8th,AC,Brasil
370,True,M,AUTOMOBILE,1-URGENT,1st-4th,PA,Brasil
371,False,M,FURNITURE,1-URGENT,Assoc-voc,BA,Brasil
372,False,F,BUILDING,1-URGENT,9th,AC,Brasil
373,True,M,MACHINERY,1-URGENT,Assoc-acdm,RR,Brasil
374,False,M,MACHINERY,2-HIGH,Assoc-voc,RR,Brasil
375,False,F,AUTOMOBILE,1-URGENT,Prof-school,RJ,Brasil
376,False,M,BUILDING,3-MEDIUM,7th-8th,RN,Brasil
377,True,F,HOUSEHOLD,4-NOT SPECIFIED,Assoc-voc,AM,Brasil
378,False,F,AUTOMOBILE,5-LOW,7th-8th,MG,Portugal
379,False,M,BUILDING,1-URGENT,9th,PR,Brasil
380,True,F,MACHINERY,3-MEDIUM,Masters,MG,Brasil
381,False,F,MACHINERY,3-MEDIUM,Masters,PR,Brasil
382,True,F,HOUSEHOLD,5-LOW,5th-6th,RS,Brasil
383,True,F,FURNITURE,1-URGENT,12th,MA,Brasil
384,False,F,HOUSEHOLD,1-URGENT,Assoc-voc,RR,Brasil
385,True,F,AUTOMOBILE,2-HIGH,9th,GO,Brasil
386,False,M,BUILDING,2-HIGH,5th-6th,PE,Brasil
387,False,F,BUILDING,3-MEDIUM,9th,CE,Estados Unidos
