# F3 por coluna — bN-w<=4 (min com produção) por fonte

| fonte | coluna | k | modo-prod | prod B | bN B | w | F3 vence? |
| tpch.lineitem | l_comment | 19773 | raw | 549214 | - | - | nao |
| receita.estab | cnpj | 20000 | split | 105986 | - | - | nao |
| receita.estab | matriz_filial | 2 | tcf | 3118 | 2510 | 1 | SIM |
| receita.estab | nome_fantasia | 7452 | v2b | 177578 | - | - | nao |
| receita.estab | situacao | 5 | v2b | 20025 | 10025 | 4 | SIM |
| receita.estab | data_inicio | 2073 | v2b | 59809 | - | - | nao |
| receita.estab | cnae_principal | 808 | v2b | 47976 | - | - | nao |
| receita.estab | uf | 28 | v2b | 20087 | - | 8 | nao |
| receita.estab | municipio_cod | 2622 | v2b | 58047 | - | - | nao |
| br.pessoas | cpf | 20000 | split | 131446 | - | - | nao |
| br.pessoas | nome | 7649 | v2b | 211109 | - | - | nao |
| br.pessoas | municipio_id | 5404 | v2b | 92287 | - | - | nao |
| br.pessoas | uf_sigla | 27 | v2b | 20084 | - | 8 | nao |
| br.pessoas | data_cadastro | 5091 | split | 60347 | - | - | nao |
| br.pessoas | email | 11532 | tcf | 360465 | - | - | nao |
| ibge.municipios | id | 5571 | tcf | 32375 | - | - | nao |
| ibge.municipios | municipio | 5298 | raw | 73102 | - | - | nao |
| ibge.municipios | microrregiao | 555 | v2b | 17622 | - | - | nao |
| ibge.municipios | mesorregiao | 138 | v2b | 12991 | - | 8 | nao |
| ibge.municipios | uf_sigla | 27 | tcf | 202 | - | 8 | nao |
| ibge.municipios | uf_nome | 27 | tcf | 397 | - | 8 | nao |
| ibge.municipios | regiao_sigla | 5 | tcf | 41 | 2802 | 4 | nao |
| ibge.municipios | regiao_nome | 5 | tcf | 63 | 2824 | 4 | nao |
| beijing-pm25 | No | 20000 | tcf | 60 | - | - | nao |
| beijing-pm25 | year | 3 | tcf | 34 | 5020 | 2 | nao |
| beijing-pm25 | month | 12 | tcf | 227 | 10020 | 4 | nao |
| beijing-pm25 | day | 31 | tcf | 6206 | - | 8 | nao |
| beijing-pm25 | hour | 24 | v2b | 20022 | - | 8 | nao |
| beijing-pm25 | pm2.5 | 535 | v2b | 42803 | - | - | nao |
| beijing-pm25 | DEWP | 57 | v2b | 20170 | - | 8 | nao |
| beijing-pm25 | TEMP | 61 | v2b | 20185 | - | 8 | nao |
| beijing-pm25 | PRES | 56 | v2b | 20206 | - | 8 | nao |
| beijing-pm25 | cbwd | 4 | v2b | 20015 | 5015 | 2 | SIM |
| beijing-pm25 | Iws | 2016 | v2b | 56904 | - | - | nao |
| beijing-pm25 | Is | 28 | tcf | 859 | - | 8 | nao |
| beijing-pm25 | Ir | 37 | tcf | 3808 | - | 8 | nao |
| online-retail | InvoiceNo | 938 | tcf | 9689 | - | - | nao |
| online-retail | StockCode | 2408 | v2b | 56633 | - | - | nao |
| online-retail | Description | 2363 | v2b | 94303 | - | - | nao |
| online-retail | Quantity | 156 | v2b | 40779 | - | 8 | nao |
| online-retail | InvoiceDate | 807 | split | 6371 | - | - | nao |
| online-retail | UnitPrice | 207 | split | 40763 | - | 8 | nao |
| online-retail | CustomerID | 560 | tcf | 8387 | - | - | nao |
| online-retail | Country | 16 | tcf | 846 | 10135 | 4 | nao |
| wine | fixed_acidity | 106 | split | 13127 | - | 8 | nao |
| wine | volatile_acidity | 187 | split | 14181 | - | 8 | nao |
| wine | citric_acid | 89 | split | 7019 | - | 8 | nao |
| wine | residual_sugar | 316 | split | 13227 | - | - | nao |
| wine | chlorides | 214 | split | 14179 | - | 8 | nao |
| wine | free_sulfur_dioxide | 135 | v2b | 13968 | - | 8 | nao |
| wine | total_sulfur_dioxide | 276 | split | 14590 | - | - | nao |
| wine | density | 998 | split | 21256 | - | - | nao |
| wine | pH | 108 | v2b | 13773 | - | 8 | nao |
| wine | sulphates | 111 | v2b | 13795 | - | 8 | nao |
| wine | alcohol | 111 | split | 13469 | - | 8 | nao |
| wine | quality | 7 | v2b | 6524 | 3276 | 4 | SIM |
| wine | variant | 2 | tcf | 22 | 826 | 1 | nao |
