# Mismatches variante B / D-IP-mixed:
row 89: orig='046.038.051.131' rec='46.38.51.131' status=compressible
row 91: orig='204.169.014.059' rec='204.169.14.59' status=compressible
row 92: orig='105.250.046.228' rec='105.250.46.228' status=compressible
row 93: orig='210.092.087.089' rec='210.92.87.89' status=compressible
row 99: orig='234.183.032.203' rec='234.183.32.203' status=compressible
row 102: orig='025.127.062.233' rec='25.127.62.233' status=compressible
row 105: orig='000.219.103.067' rec='0.219.103.67' status=compressible
row 106: orig='170.242.233.076' rec='170.242.233.76' status=compressible
row 108: orig='250.128.026.047' rec='250.128.26.47' status=compressible
row 109: orig='116.031.198.214' rec='116.31.198.214' status=compressible
row 111: orig='170.068.022.180' rec='170.68.22.180' status=compressible
row 114: orig='226.109.242.086' rec='226.109.242.86' status=compressible
row 116: orig='176.074.148.021' rec='176.74.148.21' status=compressible
row 117: orig='067.244.036.117' rec='67.244.36.117' status=compressible
row 120: orig='026.171.033.168' rec='26.171.33.168' status=compressible
row 123: orig='040.177.027.050' rec='40.177.27.50' status=compressible
row 126: orig='036.203.021.223' rec='36.203.21.223' status=compressible
row 127: orig='017.064.034.120' rec='17.64.34.120' status=compressible
row 128: orig='105.087.149.041' rec='105.87.149.41' status=compressible
row 129: orig='061.126.115.032' rec='61.126.115.32' status=compressible
row 132: orig='214.082.102.070' rec='214.82.102.70' status=compressible
row 133: orig='147.080.037.226' rec='147.80.37.226' status=compressible
row 136: orig='092.194.183.014' rec='92.194.183.14' status=compressible
row 139: orig='115.070.079.039' rec='115.70.79.39' status=compressible
row 140: orig='122.029.125.044' rec='122.29.125.44' status=compressible
row 141: orig='198.018.097.175' rec='198.18.97.175' status=compressible
row 143: orig='184.068.169.245' rec='184.68.169.245' status=compressible
row 144: orig='218.059.048.023' rec='218.59.48.23' status=compressible
row 145: orig='220.091.054.049' rec='220.91.54.49' status=compressible
row 146: orig='188.136.042.217' rec='188.136.42.217' status=compressible
row 148: orig='115.153.041.016' rec='115.153.41.16' status=compressible
row 149: orig='232.186.083.189' rec='232.186.83.189' status=compressible
row 152: orig='082.094.113.129' rec='82.94.113.129' status=compressible
row 153: orig='102.062.069.037' rec='102.62.69.37' status=compressible
row 156: orig='055.222.176.160' rec='55.222.176.160' status=compressible
row 157: orig='154.105.096.200' rec='154.105.96.200' status=compressible
row 162: orig='000.236.211.027' rec='0.236.211.27' status=compressible
row 164: orig='231.019.029.188' rec='231.19.29.188' status=compressible
row 167: orig='141.005.097.043' rec='141.5.97.43' status=compressible
row 174: orig='166.093.249.108' rec='166.93.249.108' status=compressible
row 178: orig='060.047.246.066' rec='60.47.246.66' status=compressible
row 180: orig='120.206.061.126' rec='120.206.61.126' status=compressible
row 181: orig='234.161.037.004' rec='234.161.37.4' status=compressible
row 182: orig='088.181.109.095' rec='88.181.109.95' status=compressible
row 183: orig='198.240.232.023' rec='198.240.232.23' status=compressible
row 184: orig='224.154.004.153' rec='224.154.4.153' status=compressible
row 185: orig='163.050.171.074' rec='163.50.171.74' status=compressible
row 186: orig='182.114.089.193' rec='182.114.89.193' status=compressible
row 188: orig='105.215.199.010' rec='105.215.199.10' status=compressible
row 189: orig='067.192.078.083' rec='67.192.78.83' status=compressible
row 192: orig='199.002.109.105' rec='199.2.109.105' status=compressible
row 197: orig='246.087.112.210' rec='246.87.112.210' status=compressible
row 200: orig='134.089.192.193' rec='134.89.192.193' status=compressible
row 201: orig='113.001.174.181' rec='113.1.174.181' status=compressible
row 203: orig='154.137.252.074' rec='154.137.252.74' status=compressible
row 205: orig='114.071.052.044' rec='114.71.52.44' status=compressible
row 206: orig='051.017.228.024' rec='51.17.228.24' status=compressible
row 209: orig='015.112.149.016' rec='15.112.149.16' status=compressible
row 210: orig='143.016.091.161' rec='143.16.91.161' status=compressible
row 217: orig='109.032.212.208' rec='109.32.212.208' status=compressible
row 220: orig='083.231.037.017' rec='83.231.37.17' status=compressible
row 221: orig='004.084.225.179' rec='4.84.225.179' status=compressible
row 224: orig='068.153.226.164' rec='68.153.226.164' status=compressible
row 228: orig='097.026.137.193' rec='97.26.137.193' status=compressible
row 230: orig='164.053.082.168' rec='164.53.82.168' status=compressible
row 233: orig='013.163.112.015' rec='13.163.112.15' status=compressible
row 239: orig='241.250.135.046' rec='241.250.135.46' status=compressible
row 240: orig='201.043.156.107' rec='201.43.156.107' status=compressible
row 241: orig='096.002.003.060' rec='96.2.3.60' status=compressible
row 244: orig='145.249.157.023' rec='145.249.157.23' status=compressible
row 245: orig='153.133.089.015' rec='153.133.89.15' status=compressible
row 246: orig='052.063.145.042' rec='52.63.145.42' status=compressible
row 249: orig='043.068.160.060' rec='43.68.160.60' status=compressible
row 251: orig='025.086.221.202' rec='25.86.221.202' status=compressible
row 253: orig='188.239.066.044' rec='188.239.66.44' status=compressible
row 254: orig='019.202.169.121' rec='19.202.169.121' status=compressible
row 256: orig='225.084.117.039' rec='225.84.117.39' status=compressible
row 259: orig='127.016.233.025' rec='127.16.233.25' status=compressible
row 260: orig='027.005.080.240' rec='27.5.80.240' status=compressible
row 264: orig='065.082.068.020' rec='65.82.68.20' status=compressible
row 265: orig='163.177.033.148' rec='163.177.33.148' status=compressible
row 268: orig='085.208.248.246' rec='85.208.248.246' status=compressible
row 269: orig='226.155.140.028' rec='226.155.140.28' status=compressible
row 272: orig='003.036.030.117' rec='3.36.30.117' status=compressible
row 273: orig='061.094.098.110' rec='61.94.98.110' status=compressible
row 275: orig='191.007.164.097' rec='191.7.164.97' status=compressible
row 279: orig='228.123.124.020' rec='228.123.124.20' status=compressible
row 281: orig='023.205.026.099' rec='23.205.26.99' status=compressible
row 282: orig='009.057.185.157' rec='9.57.185.157' status=compressible
row 283: orig='210.241.031.070' rec='210.241.31.70' status=compressible
row 285: orig='170.124.064.105' rec='170.124.64.105' status=compressible
row 288: orig='154.251.183.037' rec='154.251.183.37' status=compressible
row 297: orig='039.058.099.178' rec='39.58.99.178' status=compressible
row 301: orig='255.071.155.123' rec='255.71.155.123' status=compressible
row 303: orig='233.029.236.157' rec='233.29.236.157' status=compressible
row 308: orig='000.046.155.105' rec='0.46.155.105' status=compressible
row 309: orig='127.038.226.050' rec='127.38.226.50' status=compressible
row 312: orig='038.240.135.173' rec='38.240.135.173' status=compressible
row 313: orig='122.214.234.032' rec='122.214.234.32' status=compressible
row 315: orig='236.021.230.096' rec='236.21.230.96' status=compressible
row 317: orig='193.020.219.142' rec='193.20.219.142' status=compressible
row 319: orig='191.072.198.214' rec='191.72.198.214' status=compressible
row 324: orig='180.072.096.252' rec='180.72.96.252' status=compressible
row 325: orig='237.025.051.089' rec='237.25.51.89' status=compressible
row 327: orig='235.086.180.086' rec='235.86.180.86' status=compressible
row 328: orig='092.013.236.107' rec='92.13.236.107' status=compressible
row 331: orig='092.207.009.145' rec='92.207.9.145' status=compressible
row 332: orig='229.185.055.231' rec='229.185.55.231' status=compressible
row 333: orig='067.198.215.187' rec='67.198.215.187' status=compressible
row 334: orig='198.043.124.086' rec='198.43.124.86' status=compressible
row 335: orig='102.245.160.090' rec='102.245.160.90' status=compressible
row 336: orig='108.098.064.021' rec='108.98.64.21' status=compressible
row 337: orig='111.037.023.216' rec='111.37.23.216' status=compressible
row 338: orig='040.104.079.167' rec='40.104.79.167' status=compressible
row 341: orig='155.084.082.165' rec='155.84.82.165' status=compressible
row 342: orig='014.197.025.083' rec='14.197.25.83' status=compressible
row 345: orig='061.201.110.234' rec='61.201.110.234' status=compressible
row 346: orig='192.221.095.194' rec='192.221.95.194' status=compressible
row 348: orig='241.012.167.113' rec='241.12.167.113' status=compressible
row 350: orig='212.216.205.042' rec='212.216.205.42' status=compressible
row 354: orig='234.253.057.058' rec='234.253.57.58' status=compressible
row 356: orig='160.188.153.070' rec='160.188.153.70' status=compressible
row 358: orig='119.081.051.126' rec='119.81.51.126' status=compressible
row 359: orig='161.008.199.060' rec='161.8.199.60' status=compressible
row 364: orig='092.223.251.046' rec='92.223.251.46' status=compressible
row 365: orig='189.095.228.022' rec='189.95.228.22' status=compressible
row 370: orig='147.224.063.239' rec='147.224.63.239' status=compressible
row 372: orig='079.080.025.041' rec='79.80.25.41' status=compressible
row 374: orig='171.045.113.181' rec='171.45.113.181' status=compressible
row 379: orig='158.089.061.006' rec='158.89.61.6' status=compressible
row 383: orig='057.031.103.076' rec='57.31.103.76' status=compressible
row 387: orig='198.200.058.178' rec='198.200.58.178' status=compressible
row 388: orig='051.054.051.146' rec='51.54.51.146' status=compressible
row 393: orig='239.027.050.031' rec='239.27.50.31' status=compressible
row 394: orig='241.016.146.209' rec='241.16.146.209' status=compressible
row 395: orig='208.079.121.083' rec='208.79.121.83' status=compressible
row 396: orig='074.131.101.088' rec='74.131.101.88' status=compressible
row 398: orig='120.069.198.232' rec='120.69.198.232' status=compressible
row 399: orig='043.184.034.010' rec='43.184.34.10' status=compressible
row 407: orig='209.185.054.079' rec='209.185.54.79' status=compressible
row 408: orig='230.027.183.004' rec='230.27.183.4' status=compressible
row 415: orig='025.244.080.029' rec='25.244.80.29' status=compressible
row 416: orig='184.028.255.085' rec='184.28.255.85' status=compressible
row 419: orig='173.247.015.220' rec='173.247.15.220' status=compressible
row 425: orig='054.005.050.132' rec='54.5.50.132' status=compressible
row 426: orig='203.167.015.139' rec='203.167.15.139' status=compressible
row 427: orig='075.132.163.034' rec='75.132.163.34' status=compressible
row 428: orig='213.146.216.006' rec='213.146.216.6' status=compressible
row 434: orig='091.201.065.114' rec='91.201.65.114' status=compressible
row 438: orig='144.058.054.254' rec='144.58.54.254' status=compressible
row 440: orig='215.153.247.039' rec='215.153.247.39' status=compressible
row 441: orig='027.006.128.103' rec='27.6.128.103' status=compressible
row 444: orig='023.152.148.233' rec='23.152.148.233' status=compressible
row 445: orig='209.012.119.177' rec='209.12.119.177' status=compressible
row 446: orig='028.117.016.161' rec='28.117.16.161' status=compressible
row 447: orig='078.230.189.190' rec='78.230.189.190' status=compressible
row 454: orig='219.086.002.160' rec='219.86.2.160' status=compressible
row 458: orig='058.236.060.078' rec='58.236.60.78' status=compressible
row 464: orig='148.176.067.091' rec='148.176.67.91' status=compressible
row 468: orig='236.052.071.062' rec='236.52.71.62' status=compressible
row 469: orig='128.100.140.064' rec='128.100.140.64' status=compressible
row 476: orig='108.135.041.080' rec='108.135.41.80' status=compressible
row 478: orig='237.104.174.073' rec='237.104.174.73' status=compressible
row 483: orig='099.150.229.090' rec='99.150.229.90' status=compressible
row 487: orig='115.076.136.072' rec='115.76.136.72' status=compressible
row 502: orig='089.218.253.024' rec='89.218.253.24' status=compressible
row 503: orig='070.102.175.209' rec='70.102.175.209' status=compressible
row 504: orig='023.116.148.040' rec='23.116.148.40' status=compressible
row 507: orig='195.239.128.005' rec='195.239.128.5' status=compressible
row 511: orig='017.038.024.003' rec='17.38.24.3' status=compressible
row 512: orig='054.046.002.157' rec='54.46.2.157' status=compressible
row 513: orig='210.225.023.032' rec='210.225.23.32' status=compressible
row 514: orig='244.165.127.003' rec='244.165.127.3' status=compressible
row 516: orig='171.163.041.070' rec='171.163.41.70' status=compressible
row 523: orig='072.056.186.037' rec='72.56.186.37' status=compressible
row 525: orig='200.237.077.176' rec='200.237.77.176' status=compressible
row 526: orig='050.250.208.143' rec='50.250.208.143' status=compressible
row 529: orig='154.165.069.080' rec='154.165.69.80' status=compressible
row 531: orig='114.062.102.071' rec='114.62.102.71' status=compressible
row 532: orig='221.247.090.088' rec='221.247.90.88' status=compressible
row 534: orig='237.203.063.015' rec='237.203.63.15' status=compressible
row 536: orig='122.124.025.115' rec='122.124.25.115' status=compressible
row 537: orig='177.132.085.190' rec='177.132.85.190' status=compressible
row 538: orig='014.122.081.159' rec='14.122.81.159' status=compressible
row 540: orig='052.047.194.049' rec='52.47.194.49' status=compressible
row 542: orig='087.235.185.045' rec='87.235.185.45' status=compressible
row 544: orig='144.152.055.246' rec='144.152.55.246' status=compressible
row 549: orig='042.137.078.194' rec='42.137.78.194' status=compressible
row 551: orig='161.071.126.141' rec='161.71.126.141' status=compressible
row 552: orig='171.219.139.032' rec='171.219.139.32' status=compressible
row 553: orig='250.054.221.185' rec='250.54.221.185' status=compressible
row 554: orig='048.021.117.108' rec='48.21.117.108' status=compressible
row 559: orig='186.196.076.091' rec='186.196.76.91' status=compressible
row 561: orig='046.028.119.112' rec='46.28.119.112' status=compressible
row 562: orig='230.052.175.043' rec='230.52.175.43' status=compressible
row 564: orig='130.022.223.000' rec='130.22.223.0' status=compressible
row 566: orig='143.047.022.118' rec='143.47.22.118' status=compressible
row 567: orig='248.242.019.088' rec='248.242.19.88' status=compressible
row 568: orig='001.218.044.150' rec='1.218.44.150' status=compressible
row 569: orig='224.081.186.190' rec='224.81.186.190' status=compressible
row 572: orig='046.203.186.005' rec='46.203.186.5' status=compressible
row 573: orig='060.238.157.081' rec='60.238.157.81' status=compressible
row 574: orig='117.010.137.020' rec='117.10.137.20' status=compressible
row 583: orig='072.169.039.121' rec='72.169.39.121' status=compressible
row 586: orig='152.101.078.191' rec='152.101.78.191' status=compressible
row 588: orig='039.153.083.123' rec='39.153.83.123' status=compressible
row 590: orig='179.114.035.020' rec='179.114.35.20' status=compressible
row 591: orig='183.224.137.047' rec='183.224.137.47' status=compressible
row 593: orig='168.075.001.141' rec='168.75.1.141' status=compressible
row 596: orig='087.172.021.014' rec='87.172.21.14' status=compressible
row 601: orig='012.098.204.168' rec='12.98.204.168' status=compressible
row 607: orig='080.185.060.117' rec='80.185.60.117' status=compressible
row 608: orig='241.076.187.200' rec='241.76.187.200' status=compressible
row 609: orig='000.155.146.107' rec='0.155.146.107' status=compressible
row 610: orig='124.075.002.054' rec='124.75.2.54' status=compressible
row 613: orig='008.103.214.076' rec='8.103.214.76' status=compressible
row 614: orig='067.115.227.004' rec='67.115.227.4' status=compressible
row 615: orig='089.135.026.064' rec='89.135.26.64' status=compressible
row 618: orig='046.024.056.078' rec='46.24.56.78' status=compressible
row 620: orig='091.114.023.205' rec='91.114.23.205' status=compressible
row 621: orig='187.073.101.205' rec='187.73.101.205' status=compressible
row 623: orig='169.182.065.120' rec='169.182.65.120' status=compressible
row 624: orig='249.088.085.250' rec='249.88.85.250' status=compressible
row 625: orig='085.227.179.228' rec='85.227.179.228' status=compressible
row 626: orig='148.019.004.152' rec='148.19.4.152' status=compressible
row 627: orig='188.058.142.115' rec='188.58.142.115' status=compressible
row 629: orig='141.064.067.127' rec='141.64.67.127' status=compressible
row 630: orig='168.062.210.181' rec='168.62.210.181' status=compressible
row 633: orig='057.067.030.081' rec='57.67.30.81' status=compressible
row 634: orig='084.131.246.151' rec='84.131.246.151' status=compressible
row 635: orig='236.037.148.034' rec='236.37.148.34' status=compressible
row 637: orig='249.055.089.041' rec='249.55.89.41' status=compressible
row 638: orig='170.066.134.082' rec='170.66.134.82' status=compressible
row 641: orig='103.066.174.090' rec='103.66.174.90' status=compressible
row 642: orig='183.209.151.082' rec='183.209.151.82' status=compressible
row 643: orig='071.240.229.002' rec='71.240.229.2' status=compressible
row 644: orig='001.209.230.240' rec='1.209.230.240' status=compressible
row 645: orig='118.032.135.189' rec='118.32.135.189' status=compressible
row 648: orig='010.172.155.159' rec='10.172.155.159' status=compressible
row 652: orig='209.076.153.192' rec='209.76.153.192' status=compressible
row 653: orig='098.164.042.049' rec='98.164.42.49' status=compressible
row 655: orig='097.146.182.024' rec='97.146.182.24' status=compressible
row 656: orig='068.070.211.153' rec='68.70.211.153' status=compressible
row 657: orig='109.217.053.105' rec='109.217.53.105' status=compressible
row 658: orig='067.044.095.220' rec='67.44.95.220' status=compressible
row 661: orig='164.096.122.196' rec='164.96.122.196' status=compressible
row 662: orig='084.252.071.209' rec='84.252.71.209' status=compressible
row 663: orig='093.069.032.234' rec='93.69.32.234' status=compressible
row 665: orig='230.143.060.065' rec='230.143.60.65' status=compressible
row 670: orig='037.229.245.205' rec='37.229.245.205' status=compressible
row 671: orig='081.212.206.047' rec='81.212.206.47' status=compressible
row 672: orig='164.052.040.167' rec='164.52.40.167' status=compressible
row 678: orig='087.092.150.049' rec='87.92.150.49' status=compressible
row 686: orig='212.043.059.072' rec='212.43.59.72' status=compressible
row 687: orig='055.127.181.085' rec='55.127.181.85' status=compressible
row 693: orig='181.136.203.040' rec='181.136.203.40' status=compressible
row 694: orig='111.044.051.071' rec='111.44.51.71' status=compressible
row 695: orig='021.177.219.189' rec='21.177.219.189' status=compressible
row 697: orig='026.245.087.194' rec='26.245.87.194' status=compressible
row 702: orig='243.251.229.008' rec='243.251.229.8' status=compressible
row 707: orig='059.071.023.019' rec='59.71.23.19' status=compressible
row 709: orig='175.232.035.117' rec='175.232.35.117' status=compressible
row 710: orig='090.242.179.176' rec='90.242.179.176' status=compressible
row 711: orig='121.049.025.201' rec='121.49.25.201' status=compressible
row 712: orig='094.095.221.202' rec='94.95.221.202' status=compressible
row 714: orig='034.153.022.058' rec='34.153.22.58' status=compressible
row 716: orig='207.218.167.044' rec='207.218.167.44' status=compressible
row 717: orig='040.202.017.075' rec='40.202.17.75' status=compressible
row 718: orig='081.091.074.247' rec='81.91.74.247' status=compressible
row 719: orig='029.038.207.186' rec='29.38.207.186' status=compressible
row 720: orig='198.060.134.133' rec='198.60.134.133' status=compressible
row 721: orig='140.107.086.081' rec='140.107.86.81' status=compressible
row 722: orig='169.056.213.157' rec='169.56.213.157' status=compressible
row 728: orig='073.149.219.000' rec='73.149.219.0' status=compressible
row 729: orig='000.200.016.093' rec='0.200.16.93' status=compressible
row 734: orig='100.234.054.069' rec='100.234.54.69' status=compressible
row 735: orig='026.104.136.067' rec='26.104.136.67' status=compressible
row 739: orig='158.240.099.188' rec='158.240.99.188' status=compressible
row 740: orig='243.037.233.212' rec='243.37.233.212' status=compressible
row 743: orig='166.028.150.183' rec='166.28.150.183' status=compressible
row 747: orig='101.205.190.043' rec='101.205.190.43' status=compressible
row 748: orig='176.159.066.052' rec='176.159.66.52' status=compressible
row 751: orig='131.144.012.191' rec='131.144.12.191' status=compressible
row 752: orig='013.201.013.042' rec='13.201.13.42' status=compressible
row 756: orig='152.232.037.030' rec='152.232.37.30' status=compressible
row 757: orig='023.063.230.234' rec='23.63.230.234' status=compressible
row 759: orig='043.248.035.064' rec='43.248.35.64' status=compressible
row 760: orig='045.181.047.166' rec='45.181.47.166' status=compressible
row 761: orig='096.057.016.214' rec='96.57.16.214' status=compressible
row 762: orig='097.009.225.160' rec='97.9.225.160' status=compressible
row 764: orig='079.097.151.111' rec='79.97.151.111' status=compressible
row 765: orig='078.122.064.242' rec='78.122.64.242' status=compressible
row 767: orig='039.038.009.015' rec='39.38.9.15' status=compressible
row 770: orig='077.004.111.233' rec='77.4.111.233' status=compressible
row 771: orig='067.108.011.086' rec='67.108.11.86' status=compressible
row 773: orig='205.035.072.015' rec='205.35.72.15' status=compressible
row 777: orig='119.219.046.048' rec='119.219.46.48' status=compressible
row 780: orig='208.097.048.049' rec='208.97.48.49' status=compressible
row 785: orig='167.044.233.004' rec='167.44.233.4' status=compressible
row 789: orig='120.040.235.227' rec='120.40.235.227' status=compressible
row 790: orig='140.023.027.149' rec='140.23.27.149' status=compressible
row 792: orig='184.128.042.190' rec='184.128.42.190' status=compressible
row 793: orig='056.013.067.007' rec='56.13.67.7' status=compressible
row 794: orig='051.225.051.233' rec='51.225.51.233' status=compressible
row 796: orig='162.249.018.035' rec='162.249.18.35' status=compressible
row 797: orig='046.043.047.221' rec='46.43.47.221' status=compressible
row 798: orig='227.120.185.050' rec='227.120.185.50' status=compressible
row 805: orig='110.167.075.046' rec='110.167.75.46' status=compressible
row 807: orig='018.232.045.161' rec='18.232.45.161' status=compressible
row 808: orig='180.053.108.079' rec='180.53.108.79' status=compressible
row 809: orig='124.089.081.169' rec='124.89.81.169' status=compressible
row 812: orig='076.170.041.072' rec='76.170.41.72' status=compressible
row 816: orig='157.186.020.183' rec='157.186.20.183' status=compressible
row 819: orig='048.068.201.038' rec='48.68.201.38' status=compressible
row 821: orig='151.065.098.215' rec='151.65.98.215' status=compressible
row 826: orig='235.063.193.040' rec='235.63.193.40' status=compressible
row 831: orig='043.158.192.168' rec='43.158.192.168' status=compressible
row 832: orig='241.099.061.195' rec='241.99.61.195' status=compressible
row 833: orig='022.219.117.246' rec='22.219.117.246' status=compressible
row 835: orig='119.038.103.069' rec='119.38.103.69' status=compressible
row 836: orig='183.151.151.011' rec='183.151.151.11' status=compressible
row 837: orig='141.133.152.096' rec='141.133.152.96' status=compressible
row 839: orig='210.209.037.064' rec='210.209.37.64' status=compressible
row 840: orig='054.079.139.144' rec='54.79.139.144' status=compressible
row 842: orig='173.048.221.127' rec='173.48.221.127' status=compressible
row 843: orig='119.111.028.071' rec='119.111.28.71' status=compressible
row 847: orig='157.237.135.061' rec='157.237.135.61' status=compressible
row 848: orig='188.113.112.068' rec='188.113.112.68' status=compressible
row 850: orig='076.216.056.147' rec='76.216.56.147' status=compressible
row 851: orig='141.234.006.214' rec='141.234.6.214' status=compressible
row 852: orig='141.097.062.232' rec='141.97.62.232' status=compressible
row 854: orig='121.154.073.113' rec='121.154.73.113' status=compressible
row 857: orig='019.089.213.090' rec='19.89.213.90' status=compressible
row 864: orig='037.041.164.075' rec='37.41.164.75' status=compressible
row 865: orig='008.003.210.006' rec='8.3.210.6' status=compressible
row 869: orig='205.040.202.158' rec='205.40.202.158' status=compressible
row 870: orig='074.008.133.213' rec='74.8.133.213' status=compressible
row 873: orig='218.228.081.243' rec='218.228.81.243' status=compressible
row 880: orig='255.157.254.011' rec='255.157.254.11' status=compressible
row 881: orig='136.168.154.005' rec='136.168.154.5' status=compressible
row 882: orig='235.169.019.044' rec='235.169.19.44' status=compressible
row 884: orig='151.167.212.089' rec='151.167.212.89' status=compressible
row 885: orig='232.174.080.189' rec='232.174.80.189' status=compressible
row 886: orig='250.183.096.084' rec='250.183.96.84' status=compressible
row 887: orig='191.129.008.182' rec='191.129.8.182' status=compressible
row 891: orig='169.120.001.006' rec='169.120.1.6' status=compressible
row 892: orig='131.055.000.024' rec='131.55.0.24' status=compressible
row 893: orig='104.154.108.070' rec='104.154.108.70' status=compressible
row 899: orig='087.125.083.236' rec='87.125.83.236' status=compressible
row 900: orig='036.116.132.208' rec='36.116.132.208' status=compressible
row 901: orig='242.195.197.077' rec='242.195.197.77' status=compressible
row 903: orig='110.180.024.025' rec='110.180.24.25' status=compressible
row 905: orig='157.053.105.121' rec='157.53.105.121' status=compressible
row 906: orig='102.021.161.158' rec='102.21.161.158' status=compressible
row 907: orig='230.126.072.049' rec='230.126.72.49' status=compressible
row 918: orig='144.232.036.119' rec='144.232.36.119' status=compressible
row 919: orig='023.050.235.008' rec='23.50.235.8' status=compressible
row 920: orig='063.232.188.134' rec='63.232.188.134' status=compressible
row 921: orig='143.196.070.214' rec='143.196.70.214' status=compressible
row 924: orig='178.044.224.060' rec='178.44.224.60' status=compressible
row 927: orig='035.141.212.174' rec='35.141.212.174' status=compressible
row 935: orig='169.241.051.070' rec='169.241.51.70' status=compressible
row 937: orig='034.007.134.110' rec='34.7.134.110' status=compressible
row 938: orig='224.041.020.221' rec='224.41.20.221' status=compressible
row 939: orig='130.024.024.055' rec='130.24.24.55' status=compressible
row 942: orig='111.217.052.126' rec='111.217.52.126' status=compressible
row 944: orig='003.254.220.089' rec='3.254.220.89' status=compressible
row 945: orig='243.028.004.087' rec='243.28.4.87' status=compressible
row 946: orig='059.116.001.022' rec='59.116.1.22' status=compressible
row 947: orig='245.245.107.082' rec='245.245.107.82' status=compressible
row 949: orig='176.065.093.066' rec='176.65.93.66' status=compressible
row 950: orig='171.228.005.135' rec='171.228.5.135' status=compressible
row 957: orig='135.067.178.035' rec='135.67.178.35' status=compressible
row 964: orig='154.215.051.138' rec='154.215.51.138' status=compressible
row 965: orig='169.160.063.153' rec='169.160.63.153' status=compressible
row 966: orig='041.249.170.090' rec='41.249.170.90' status=compressible
row 967: orig='003.081.216.174' rec='3.81.216.174' status=compressible
row 968: orig='197.057.123.255' rec='197.57.123.255' status=compressible
row 971: orig='194.001.199.135' rec='194.1.199.135' status=compressible
row 972: orig='198.181.088.090' rec='198.181.88.90' status=compressible
row 974: orig='017.125.151.255' rec='17.125.151.255' status=compressible
row 982: orig='073.118.236.130' rec='73.118.236.130' status=compressible
row 984: orig='076.155.043.127' rec='76.155.43.127' status=compressible
row 988: orig='252.068.239.139' rec='252.68.239.139' status=compressible
row 989: orig='072.115.203.187' rec='72.115.203.187' status=compressible
row 990: orig='115.137.031.077' rec='115.137.31.77' status=compressible
row 991: orig='248.014.199.172' rec='248.14.199.172' status=compressible
row 994: orig='161.060.254.009' rec='161.60.254.9' status=compressible
row 996: orig='051.169.105.097' rec='51.169.105.97' status=compressible
row 997: orig='066.189.054.163' rec='66.189.54.163' status=compressible
