rota,sonda,arquivo,hoje,proposto,detalhe_hoje
lazy-bB,s3-quatro-invalidos,lazy-bB-s3-quatro-invalidos.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,#TCF.8bB: payload nao e' base64 canonico: Only base64 data is allowed
bn-B,s4-padding-extra,bn-B-s4-padding-extra.tcf,SILENCIOSO-IGUAL,FAIL-LOUD TCF,
bn-C,s4-padding-extra,bn-C-s4-padding-extra.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,dominio bN com 5 valores nao cabe em 2 bits
denso-b1,s4-padding-extra,denso-b1-s4-padding-extra.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is all
denso-b2,s4-padding-extra,denso-b2-s4-padding-extra.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,#TCF.8b: payload denso nao e' base64 canonico: Excess padding not allo
lazy-bB,s4-padding-extra,lazy-bB-s4-padding-extra.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,#TCF.8bB: payload nao e' base64 canonico: Excess padding not allowed
bn-B,s5-truncado-2,bn-B-s5-truncado-2.tcf,BINASCII CRU,FAIL-LOUD TCF,Invalid base64-encoded string: number of data characters (65) cannot b
bn-C,s5-truncado-2,bn-C-s5-truncado-2.tcf,BINASCII CRU,FAIL-LOUD TCF,Invalid base64-encoded string: number of data characters (65) cannot b
denso-b1,s5-truncado-2,denso-b1-s5-truncado-2.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is all
denso-b2,s5-truncado-2,denso-b2-s5-truncado-2.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is all
lazy-bB,s5-truncado-2,lazy-bB-s5-truncado-2.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,payload denso curto: 73 bytes nao cobrem 200 simbolos de 3 bits
bn-B,s6-truncado-4,bn-B-s6-truncado-4.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,payload denso curto: 47 bytes nao cobrem 200 simbolos de 2 bits
bn-C,s6-truncado-4,bn-C-s6-truncado-4.tcf,BINASCII CRU,FAIL-LOUD TCF,Invalid base64-encoded string: number of data characters (65) cannot b
denso-b1,s6-truncado-4,denso-b1-s6-truncado-4.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is all
denso-b2,s6-truncado-4,denso-b2-s6-truncado-4.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is all
lazy-bB,s6-truncado-4,lazy-bB-s6-truncado-4.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,payload denso curto: 72 bytes nao cobrem 200 simbolos de 3 bits
bn-B,s7-extensao-zero-AA,bn-B-s7-extensao-zero-AA.tcf,BINASCII CRU,FAIL-LOUD TCF,Invalid base64-encoded string: number of data characters (69) cannot b
bn-C,s7-extensao-zero-AA,bn-C-s7-extensao-zero-AA.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,dominio bN com 5 valores nao cabe em 2 bits
denso-b1,s7-extensao-zero-AA,denso-b1-s7-extensao-zero-AA.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is all
denso-b2,s7-extensao-zero-AA,denso-b2-s7-extensao-zero-AA.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is all
lazy-bB,s7-extensao-zero-AA,lazy-bB-s7-extensao-zero-AA.tcf,SILENCIOSO-IGUAL,FAIL-LOUD TCF,
bn-B,s8-extensao-zero-AAAA,bn-B-s8-extensao-zero-AAAA.tcf,SILENCIOSO-IGUAL,FAIL-LOUD TCF,
bn-C,s8-extensao-zero-AAAA,bn-C-s8-extensao-zero-AAAA.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,dominio bN com 5 valores nao cabe em 2 bits
denso-b1,s8-extensao-zero-AAAA,denso-b1-s8-extensao-zero-AAAA.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is all
denso-b2,s8-extensao-zero-AAAA,denso-b2-s8-extensao-zero-AAAA.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is all
lazy-bB,s8-extensao-zero-AAAA,lazy-bB-s8-extensao-zero-AAAA.tcf,SILENCIOSO-IGUAL,FAIL-LOUD TCF,
bn-B,s9-caixa-trocada,bn-B-s9-caixa-trocada.tcf,SILENCIOSO-CORROMPIDO,FAIL-LOUD TCF,200 valores
bn-C,s9-caixa-trocada,bn-C-s9-caixa-trocada.tcf,SILENCIOSO-CORROMPIDO,FAIL-LOUD TCF,200 valores
denso-b1,s9-caixa-trocada,denso-b1-s9-caixa-trocada.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,#TCF.8b: payload denso nao e' base64 canonico: Discontinuous padding n
denso-b2,s9-caixa-trocada,denso-b2-s9-caixa-trocada.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is all
lazy-bB,s9-caixa-trocada,lazy-bB-s9-caixa-trocada.tcf,SILENCIOSO-CORROMPIDO,SILENCIOSO-CORROMPIDO,200 valores
