cnpj,matriz_filial,nome_fantasia,situacao,data_inicio,cnae_principal,uf,municipio_cod
66.618.046/0001-87,1,,02,20260505,8599604,SP,6979
66.618.056/0001-12,1,,02,20260505,4330404,PR,7535
66.618.068/0001-47,1,,02,20260505,3321000,PA,0563
66.618.078/0001-82,1,,02,20260505,8599699,SP,7197
66.618.088/0001-18,1,,02,20260505,3212400,RJ,5869
66.618.099/0001-06,1,,02,20260505,4399103,RJ,5897
66.618.110/0001-20,1,,02,20260505,4923002,PA,0567
07.915.794/0058-06,2,,02,20260505,0113000,SP,6465
66.618.129/0001-76,1,,02,20260505,5320202,SP,6723
66.618.140/0001-36,1,,02,20260505,9700500,RS,8683
66.618.151/0001-16,1,,02,20260505,1412601,SP,6469
66.618.161/0001-51,1,,02,20260505,9602501,SP,7057
66.618.172/0001-31,1,OLIVERS PIZZA RJ,02,20260504,5611201,RJ,6001
66.618.184/0001-66,1,,02,20260505,7420001,SP,6921
66.618.195/0001-46,1,00020ADMINISTRACAO,02,20260505,8211300,RS,8785
66.618.205/0001-43,1,OBRATTO MATERIAL DECONSTRUCAO,02,20260505,4744099,RJ,5833
66.618.217/0001-78,1,GB PREMIOS,02,20260505,7319003,SP,7107
66.618.228/0001-58,1,,02,20260505,7420001,SC,8117
66.618.239/0001-38,1,,02,20260505,4729699,RJ,5915
66.618.250/0001-06,1,,02,20260505,4923001,MG,5155
66.618.261/0001-88,1,,02,20260505,0161003,MG,0670
66.618.272/0001-68,1,,02,20260505,9609299,RS,8633
66.618.284/0001-92,1,,02,20260505,7420001,MG,5403
66.618.294/0001-28,1,,02,20260505,4923002,RJ,6001
66.618.304/0001-25,1,,02,20260505,1412602,MG,5441
66.618.316/0001-50,1,,02,20260505,4330404,ES,5625
66.618.327/0001-30,1,CONDOMINIO LE VOYAGE RESIDENCE,02,20260317,8112500,SC,8163
66.618.338/0001-10,1,,02,20260505,8592999,RJ,5899
66.618.347/0001-00,1,,02,20260505,5620104,SC,8047
66.618.358/0001-90,1,,02,20260505,4789008,DF,9701
66.618.369/0001-70,1,,02,20260505,7319002,SP,7057
66.618.381/0001-85,1,,02,20260430,6201501,SP,6713
66.618.391/0001-10,1,,02,20260505,7319002,SP,7107
66.618.402/0001-62,1,,02,20260505,4930201,GO,9227
66.618.413/0001-42,1,,02,20260505,4923002,SP,6713
66.618.425/0001-77,1,,02,20260505,4923002,MG,4553
66.618.435/0001-02,1,,02,20260505,4752100,SP,7107
66.618.444/0001-01,1,,02,20260505,7319002,SP,7107
66.618.451/0001-03,1,ARENA DE BOAS IDEIAS,02,20260325,9499500,GO,9227
66.618.462/0001-85,1,,02,20260505,5320202,SP,7107
66.618.474/0001-00,1,,08,20260505,5212500,AL,2785
66.618.484/0001-45,1,,02,20260505,4930202,SP,7057
66.618.495/0001-25,1,,02,20260505,4781400,SC,8051
66.618.507/0001-11,1,SERRALHERIA J. O. S.,02,20260504,4330402,DF,9701
66.618.517/0001-57,1,,02,20260505,5620102,PR,7745
66.618.528/0001-37,1,FOCO TRES ECOMMERCE,02,20260505,4729699,SP,6619
66.618.537/0001-28,1,,02,20260505,9001906,PR,7513
66.618.549/0001-52,1,GANOMA LOGISTICA,02,20260427,4520001,SC,8183
66.618.560/0001-12,1,,02,20260505,4329103,RJ,5847
66.618.573/0001-91,1,,02,20260505,8219999,MG,4123
66.618.582/0001-82,1,,02,20260505,5320202,SP,7107
66.618.593/0001-62,1,,02,20260505,4755503,RN,1741
66.618.605/0001-59,1,,02,20260505,2542000,ES,5625
66.618.615/0001-94,1,IZZYTECH SOLUTIONS LTDA,02,20260505,6202300,MG,4123
66.618.626/0001-74,1,,02,20260505,1531902,MG,4903
66.618.636/0001-00,1,,02,20260505,6911701,GO,9373
66.618.647/0001-90,1,NOBLE NOTES PARFUMS,02,20260505,4772500,GO,9423
03.414.823/0017-19,2,,02,20260505,8610101,SP,6477
66.618.664/0001-27,1,,02,20260505,4781400,CE,1389
66.618.672/0001-73,1,,02,20260505,1091102,SP,6251
66.618.683/0001-53,1,,02,20260505,5612100,MG,4625
66.618.694/0001-33,1,,02,20260505,9609299,CE,1585
66.618.706/0001-20,1,,02,20260505,9001902,PR,7535
66.618.717/0001-00,1,,02,20260505,8219999,AC,0139
66.618.727/0001-45,1,GHOST MEDIA HOUSE,02,20260420,5911199,SP,7107
66.618.739/0001-70,1,,02,20260504,6463800,MG,4895
66.618.750/0001-30,1,,02,20260505,4923002,RJ,5847
66.618.761/0001-10,1,,02,20260505,5620101,MG,4751
64.984.760/0001-63,1,POSTO JABAQUARA,02,20260206,4731800,TO,0359
66.618.781/0001-90,1,,02,20260505,4753900,BA,3781
66.618.791/0001-26,1,,02,20260505,1412603,PE,2531
66.618.803/0001-12,1,,02,20260505,7319002,CE,1337
66.618.814/0001-00,1,,02,20260505,4330404,SP,7145
66.618.824/0001-38,1,7FIT ACADEMIA,02,20260424,9313100,MG,5233
66.618.835/0001-18,1,,02,20260505,4330404,RS,8533
66.618.847/0001-42,1,,02,20260505,8230001,SP,7107
66.618.857/0001-88,1,,02,20260505,5611203,GO,9545
66.618.867/0001-13,1,,02,20260505,5320201,AL,2785
66.618.878/0001-01,1,,02,20260505,4322301,MA,0961
66.618.888/0001-39,1,,02,20260505,5912099,MG,4903
66.618.899/0001-19,1,,02,20260505,4753900,MS,9073
66.618.910/0001-40,1,,02,20260505,5320201,BA,3515
66.618.921/0001-20,1,,02,20260505,9602502,BA,3515
66.618.932/0001-00,1,,02,20260505,8219999,SP,7107
66.618.944/0001-35,1,,02,20260505,8599604,SP,7121
66.618.955/0001-15,1,PHD EM ESPORTES,02,20260504,8591100,MA,0921
66.618.966/0001-03,1,,02,20260505,2219600,MG,4501
66.618.978/0001-20,1,,02,20260505,4613300,PR,7427
66.618.988/0001-65,1,,02,20260505,4930202,RJ,5837
66.618.998/0001-09,1,,02,20260505,4759899,PB,2049
66.619.009/0001-93,1,,02,20260505,4399103,MG,4079
66.619.019/0001-29,1,,02,20260505,7719599,SP,6271
66.619.029/0001-64,1,,02,20260505,9602501,RJ,6001
66.619.041/0001-79,1,,02,20260505,4321500,MG,4891
66.619.051/0001-04,1,N N CONSTRUCOES E REFORMAS,02,20260505,4399103,GO,9375
66.619.062/0001-94,1,,02,20260505,4322301,BA,3849
66.619.074/0001-19,1,,02,20260505,8592999,SP,7107
66.619.085/0001-07,1,,02,20260505,4520005,RS,8511
08.066.624/0011-95,2,,02,20260505,0113000,SP,7175
66.619.100/0001-09,1,LA EXCELENCIA MEDICA,02,20260505,8630503,GO,9373
66.619.111/0001-99,1,UNO+ BRASIL,02,20260429,6203100,SP,7107
66.619.122/0001-79,1,,02,20260505,7319002,SC,8027
66.619.134/0001-01,1,,02,20260504,4754703,SP,7107
66.619.144/0001-39,1,,02,20260505,8599605,SP,6831
66.619.155/0001-19,1,,02,20260505,1352900,SP,7107
66.619.166/0001-07,1,,02,20260421,4722902,ES,5705
66.619.176/0001-34,1,,02,20260505,5611201,SP,6579
66.619.187/0001-14,1,,02,20260505,5320202,PR,7709
66.619.197/0001-50,1,,02,20260505,4520005,SC,8327
66.619.208/0001-00,1,NUMBER ONE,02,20260505,7490104,EX,9707
66.619.219/0001-81,1,,02,20260505,4774100,RJ,6001
66.619.229/0001-17,1,,02,20260505,9602501,MG,4123
66.619.238/0001-08,1,,02,20260505,5611203,MT,9047
66.619.249/0001-98,1,,02,20260505,4330499,MS,9015
66.619.260/0001-58,1,,02,20260505,4721103,GO,9227
66.619.272/0001-82,1,,02,20260505,9602501,PA,0427
66.619.282/0001-18,1,,02,20260505,4729699,AM,0255
66.619.294/0001-42,1,,02,20260505,5620104,PR,7745
66.619.306/0001-39,1,,02,20260505,8599604,MG,4029
66.619.316/0001-74,1,,02,20260505,8712300,SC,8265
66.619.327/0001-54,1,,02,20260505,4721103,SP,7107
66.619.337/0001-90,1,,02,20260505,5320202,MG,4123
66.619.346/0001-80,1,,02,20260505,9602501,RS,8935
66.619.357/0001-60,1,,02,20260505,5320201,SP,7107
66.619.368/0001-40,1,,02,20260505,1094500,PB,2051
66.619.378/0001-86,1,,02,20260505,4329103,SP,6291
66.619.389/0001-66,1,,02,20260505,8630504,DF,9701
66.619.400/0001-98,1,,02,20260505,9602502,MG,4673
66.619.411/0001-78,1,,02,20260505,4399103,BA,3685
66.619.423/0001-00,1,,02,20260505,8599699,SP,6291
66.619.433/0001-38,1,,02,20260505,5611203,DF,9701
66.619.444/0001-18,1,,02,20260505,5320201,SP,6401
66.619.456/0001-42,1,THE FLASH ENTREGAS RAPIDAS,02,20260505,5320202,CE,1389
66.619.467/0001-22,1,,02,20260505,1531902,CE,1389
66.619.477/0001-68,1,,02,20260505,4923002,RJ,6001
66.619.489/0001-92,1,,02,20260505,7319002,SP,7149
66.619.499/0001-28,1,,02,20260505,6204000,SP,7107
66.619.510/0001-50,1,,02,20260505,6821801,AM,0255
66.619.521/0001-30,1,,02,20260505,1749400,RS,8801
66.619.531/0001-75,1,,02,20260505,9602501,SP,6377
66.619.542/0001-55,1,,02,20260505,5612100,DF,9701
66.619.551/0001-46,1,,02,20260505,3212400,RJ,5865
66.619.563/0001-70,1,,02,20260505,8599699,RJ,6001
66.619.573/0001-06,1,,02,20260505,5320201,SC,8161
66.619.585/0001-30,1,,02,20260505,8599699,SP,7107
66.619.597/0001-65,1,,02,20260505,8599699,SP,6477
66.619.607/0001-62,1,,02,20260505,4399103,RJ,6001
66.619.618/0001-42,1,,02,20260505,0115600,MT,9789
66.619.624/0001-08,1,,02,20260505,0161003,SC,8039
66.619.633/0001-90,1,,02,20260505,4322302,SP,7107
66.619.643/0001-26,1,,02,20260505,3101200,SP,6477
66.619.655/0001-50,1,,02,20260505,4712100,CE,1351
66.619.581/0001-52,1,,02,20260505,4923002,AM,0255
66.619.675/0001-21,1,,02,20260505,8219999,SP,7075
66.619.686/0001-01,1,,02,20260505,4759899,SP,7151
66.619.697/0001-91,1,,02,20260505,4723700,BA,3413
66.619.707/0001-99,1,,02,20260505,9700500,SP,6589
65.774.171/0001-13,1,MARIA SANTISSIMA,02,20260317,4781400,RS,8841
66.619.728/0001-04,1,,02,20260505,4930201,SP,7107
66.619.738/0001-40,1,,08,20260505,4789002,RJ,0786
66.619.749/0001-20,1,,02,20260505,9602502,SP,7099
66.619.760/0001-90,1,,02,20260505,4712100,MG,4123
66.619.772/0001-14,1,,02,20260505,5212500,RJ,2909
66.619.783/0001-02,1,MERCADINHO JP,02,20260505,4712100,AM,0207
66.619.795/0001-29,1,,02,20260505,5611203,DF,9701
66.619.806/0001-70,1,,02,20260505,5912099,SP,7017
66.619.816/0001-06,1,,02,20260505,4923002,SP,6789
66.619.825/0001-05,1,SELFPET ESTETICA ANIMAL,02,20260505,9609208,MG,4959
66.619.837/0001-21,1,,02,20260505,6491300,RS,8785
66.619.847/0001-67,1,,02,20260505,4930201,SP,6313
66.619.857/0001-00,1,,02,20260505,1091102,MG,4245
66.619.869/0001-27,1,,02,20260505,3329501,SP,7107
66.619.880/0001-97,1,LBDS SOLUCOES,02,20260429,8211300,SP,7107
66.619.890/0001-22,1,,02,20260505,5620102,CE,1533
66.619.900/0001-20,1,,02,20260505,8219999,SP,6323
66.619.911/0001-00,1,,02,20260505,9511800,PE,2379
66.619.922/0001-90,1,,02,20260505,1091102,ES,5699
66.619.934/0001-14,1,,08,20260505,4742300,SC,8187
66.619.945/0001-02,1,,02,20260505,8219999,RJ,5819
66.619.954/0001-95,1,,02,20260505,5320201,SP,7047
66.619.965/0001-75,1,,02,20260504,7490199,RS,8801
66.619.976/0001-55,1,,02,20260505,4330404,PR,7691
66.619.987/0001-35,1,G.J AUTO SERVICO,02,20260505,4520001,PR,7493
66.619.998/0001-15,1,,02,20260505,7319002,CE,1389
66.620.009/0001-03,1,,02,20260505,4930201,PE,2443
66.620.020/0001-73,1,,02,20260505,7420004,PE,2355
66.620.031/0001-53,1,COMERCIAL PINHEIRO,02,20260430,4712100,PA,0471
66.620.039/0001-10,1,,02,20260505,8230001,GO,9549
66.620.050/0001-80,1,,02,20260505,5320202,RJ,5869
66.620.061/0001-60,1,,02,20260505,4772500,RS,8927
66.620.073/0001-94,1,,02,20260505,4789001,SP,6589
66.620.083/0001-20,1,,02,20260505,8599604,RJ,5869
66.620.094/0001-00,1,,02,20260505,3313901,SP,6313
66.620.106/0001-04,1,,02,20260505,7319002,PR,7513
66.620.116/0001-31,1,,02,20260505,1412602,SP,7075
66.620.127/0001-11,1,,02,20260505,4781400,PR,7487
66.620.137/0001-57,1,,02,20260505,4763601,AM,0255
66.299.732/0001-32,1,,08,20260416,5320202,SP,7075
66.620.157/0001-28,1,,02,20260505,4520001,SP,6475
66.620.167/0001-63,1,,02,20260505,4923002,RS,8921
66.620.177/0001-07,1,37.816.148/0001-09,02,20260505,2542000,ES,5611
66.620.186/0001-90,1,,02,20260505,4930201,RS,8703
66.620.198/0001-14,1,,02,20260505,4923002,PE,2457
66.620.209/0001-66,1,,02,20260505,4772500,SP,6177
66.620.221/0001-70,1,,08,20260505,5320202,CE,1247
66.620.230/0001-61,1,,02,20260505,4543900,SP,6621
66.620.241/0001-41,1,,02,20260505,3101200,SP,7107
66.620.252/0001-21,1,,02,20260505,4751201,RS,8815
66.620.264/0001-56,1,,02,20260505,7319002,SC,8105
66.620.273/0001-47,1,TRIVELATTO HOLDING PATRIMONIAL LTDA,02,20260406,6462000,MG,5371
66.620.282/0001-38,1,,02,20260505,4322302,RJ,5849
66.620.293/0001-18,1,,02,20260505,9521500,SC,8327
66.620.305/0001-04,1,,02,20260505,8599699,PE,2381
66.620.315/0001-40,1,,02,20260505,4772500,SP,7183
66.620.325/0001-85,1,,02,20260505,9602502,MG,5403
66.620.336/0001-65,1,,02,20260505,9602502,PR,7535
66.620.348/0001-90,1,,02,20260505,4930202,MG,4899
66.620.359/0001-70,1,,02,20260505,7319002,MG,5155
66.620.370/0001-30,1,,02,20260505,4729699,PA,0427
66.620.381/0001-10,1,,08,20260505,3314711,RS,8849
66.620.392/0001-08,1,,02,20260505,5320202,MG,5403
66.620.404/0001-96,1,,02,20260505,8599699,GO,9301
66.620.415/0001-76,1,,02,20260505,4930202,SP,7057
66.620.424/0001-67,1,,02,20260505,5819100,SP,7181
66.620.435/0001-47,1,,02,20260505,4781400,SP,6425
66.620.447/0001-71,1,,02,20260505,5320201,PR,7825
66.620.458/0001-51,1,,02,20260505,4781400,SP,6427
66.620.468/0001-97,1,,02,20260505,4781400,BA,3849
66.620.480/0001-00,1,MRS EMPREENDIMENTOS LTDA,02,20260505,3101200,MA,0903
66.620.489/0001-02,1,,08,20260505,4930201,SE,3195
66.620.499/0001-48,1,,02,20260505,1352900,GO,9433
66.163.949/0003-82,2,SUBCONDOMINIO RESIDENCIAL,02,20250924,8112500,SP,7107
66.620.520/0001-05,1,,02,20260505,5912099,PA,0427
66.620.531/0001-95,1,,02,20260416,6822600,EX,9707
66.620.542/0001-75,1,,02,20260505,4729699,RJ,5869
66.620.554/0001-08,1,,02,20260505,9700500,DF,9701
66.620.564/0001-35,1,,02,20260505,9511800,PR,7481
66.620.575/0001-15,1,,02,20260505,8230001,BA,3533
66.620.588/0001-94,1,,02,20260505,7319002,MT,9067
66.620.599/0001-74,1,,02,20260505,8592999,RJ,6001
66.620.610/0001-04,1,,02,20260505,4729699,TO,9529
66.620.621/0001-86,1,,02,20260505,9700500,SP,6477
66.620.631/0001-11,1,,02,20260505,8219999,SP,6813
66.620.644/0001-90,1,,02,20260505,9001906,SP,2951
66.620.654/0001-26,1,,02,20260505,7319002,SC,8041
66.620.665/0001-06,1,,02,20260505,7111100,DF,9701
66.620.677/0001-30,1,,02,20260505,5320202,CE,1471
66.620.688/0001-10,1,,02,20260505,5320201,SP,7107
66.620.698/0001-56,1,,02,20260505,3299099,SP,6251
66.620.707/0001-09,1,,02,20260505,9511800,PR,7535
66.620.718/0001-99,1,,02,20260505,4399103,MG,4123
66.620.729/0001-79,1,MBP,02,20260505,8630503,SP,7107
66.620.740/0001-39,1,A G HORTIFRUTI,02,20260505,4724500,PA,0463
66.620.751/0001-19,1,,02,20260505,4929901,MG,4553
66.620.762/0001-07,1,,02,20260505,7319002,RJ,2911
66.620.773/0001-89,1,,02,20260505,4761003,AP,0605
66.620.785/0001-03,1,,02,20260505,5819100,SP,7243
66.620.796/0001-93,1,,02,20260505,8211300,SP,7107
66.620.806/0001-90,1,,02,20260505,8230002,SP,7107
66.620.818/0001-15,1,,02,20260505,7319002,SP,6713
66.620.829/0001-03,1,,02,20260505,4330405,RS,8933
66.620.841/0001-00,1,,02,20260505,4789002,PR,7535
66.620.851/0001-45,1,,02,20260505,5620104,SP,6313
66.620.861/0001-80,1,,02,20260505,7319002,SP,7107
66.620.872/0001-60,1,ELETROTEK,02,20260505,9521500,PR,7535
66.620.884/0001-95,1,,02,20260505,4772500,SC,8327
66.620.895/0001-75,1,,02,20260505,5611201,RJ,5903
66.620.906/0001-17,1,,02,20260504,4399101,SP,6789
66.620.918/0001-41,1,NG ATLAS ENGENHARIA,02,20260505,7112000,BA,3441
66.620.928/0001-87,1,,02,20260505,9602501,SP,6361
66.620.939/0001-67,1,,02,20260505,8219999,MT,9177
66.620.950/0001-27,1,,08,20260505,4757100,GO,9227
66.422.463/0001-50,1,,02,20260423,1091102,BA,3849
66.620.971/0001-42,1,,02,20260505,5620103,MS,9051
66.620.984/0001-11,1,,02,20260505,9529102,AC,0147
66.620.994/0001-57,1,,02,20260505,8599604,PB,2051
66.621.006/0001-94,1,,02,20260505,5611204,SP,6969
66.621.017/0001-74,1,,02,20260505,4930204,SP,7107
66.621.028/0001-54,1,,02,20260505,4330404,SP,6713
66.621.040/0001-69,1,,02,20260505,4722902,MA,0783
66.621.051/0001-49,1,,02,20260505,4923002,SP,7107
66.621.062/0001-29,1,RESIDENCIAL BEM ESTAR,02,20260505,8720499,RS,8589
66.621.071/0001-10,1,,02,20260505,8219999,GO,9227
66.621.083/0001-44,1,,02,20260505,9602501,BA,3849
66.621.094/0001-24,1,,02,20260505,4330499,SP,7099
66.621.106/0001-10,1,,02,20260505,8219999,PB,1981
66.621.117/0001-09,1,,02,20260505,5611205,RJ,6001
66.621.127/0001-36,1,,02,20260505,7319002,PR,7583
66.621.139/0001-60,1,FOODIEAPP,02,20260505,6203100,MG,4553
66.621.150/0001-20,1,,02,20260505,5320201,SP,7107
66.621.162/0001-55,1,,02,20260505,5611205,GO,9289
66.621.173/0001-35,1,,02,20260505,5320201,SP,6477
66.621.182/0001-26,1,,02,20260505,1813099,SC,8137
66.621.193/0001-06,1,,02,20260505,4763601,SP,6213
66.621.204/0001-58,1,,02,20260505,4723700,RJ,5865
66.621.215/0001-38,1,,02,20260505,4930202,MG,4865
66.621.224/0001-29,1,,02,20260505,4520005,SP,7107
66.621.234/0001-64,1,,02,20260505,8599604,GO,9373
66.621.246/0001-99,1,,02,20260505,7319002,GO,1066
66.621.257/0001-79,1,,02,20260505,3299005,SP,7107
66.621.266/0001-60,1,,02,20260505,1091102,RJ,5897
66.621.278/0001-94,1,YANNE SANTANA SERVICOS MEDICOS,02,20260505,8630503,PI,1159
66.621.289/0001-74,1,,02,20260505,8599699,SP,6291
66.621.300/0001-04,1,,02,20260505,9700500,RS,8879
65.140.602/0001-90,1,,08,20260214,5320201,SP,6555
66.621.321/0001-11,1,,02,20260505,7319002,SP,7149
66.621.332/0001-00,1,,02,20260505,5611201,GO,1066
66.621.344/0001-26,1,,02,20260505,3317102,RJ,5897
66.621.355/0001-06,1,,02,20260505,8291100,CE,1389
66.621.365/0001-41,1,,02,20260505,4774100,BA,3597
66.621.378/0001-10,1,,02,20260505,7319002,SP,6477
66.621.388/0001-56,1,,02,20260505,5320202,SP,7107
66.621.399/0001-36,1,,02,20260505,5320201,SP,7089
66.621.409/0001-33,1,,02,20260505,5611205,CE,1523
66.621.420/0001-01,1,,02,20260505,5620104,PE,2357
66.621.431/0001-83,1,,02,20260505,5620104,SP,6477
66.621.441/0001-19,1,,02,20260505,8219999,RS,8561
66.621.452/0001-07,1,,02,20260505,8219999,PE,2381
66.621.463/0001-89,1,,02,20260505,7319002,RR,0034
66.621.474/0001-69,1,,02,20260505,4923002,CE,1389
66.621.486/0001-93,1,,02,20260505,4520001,SP,7107
66.621.497/0001-73,1,,02,20260505,1091101,BA,3669
66.621.507/0001-70,1,,02,20260505,4321500,SP,7107
66.621.519/0001-03,1,,02,20260505,4789099,PR,7587
66.621.530/0001-65,1,,02,20260505,5620104,RS,8801
66.621.542/0001-90,1,,02,20260505,8599604,RJ,5877
66.621.552/0001-25,1,,02,20260505,1091102,PR,7535
66.621.563/0001-05,1,,02,20260505,8219999,CE,1389
66.073.371/0001-01,1,,02,20260404,7319002,SP,6639
66.621.585/0001-75,1,,02,20260505,4322302,SP,6311
66.621.596/0001-55,1,,02,20260505,4781400,MG,4709
66.621.606/0001-52,1,,02,20260505,3299006,RS,8953
66.621.618/0001-87,1,,02,20260505,7319002,MG,5403
66.621.629/0001-67,1,,02,20260505,4930204,RS,8599
66.621.641/0001-71,1,,02,20260505,4744099,SP,6291
66.621.651/0001-07,1,,02,20260505,5812302,SP,7107
66.621.662/0001-97,1,,02,20260505,5320201,PA,0415
66.621.674/0001-11,1,,02,20260505,5320201,SP,7107
66.621.685/0001-00,1,,02,20260505,4923002,RJ,6001
66.621.695/0001-37,1,,02,20260505,5320201,TO,9733
66.621.706/0001-89,1,,02,20260505,5819100,RS,8589
66.621.718/0001-03,1,,02,20260505,4744099,AM,0255
66.621.728/0001-49,1,,02,20260505,5912099,RJ,5865
66.621.738/0001-84,1,,02,20260505,4520006,SC,8137
66.621.748/0001-10,1,,02,20260505,7319002,SP,6619
66.621.760/0001-24,1,,02,20260505,4930202,SC,8047
66.621.771/0001-04,1,,02,20260505,5620104,BA,3849
66.621.783/0001-39,1,,02,20260505,1749400,RN,1671
66.621.793/0001-74,1,,02,20260505,8219999,SP,7107
66.621.804/0001-16,1,,02,20260505,5320202,SP,7107
66.621.816/0001-40,1,,02,20260505,8712300,SC,8205
66.621.827/0001-20,1,,02,20260505,4763603,MG,5035
66.621.837/0001-66,1,,02,20260505,5611203,GO,9599
66.621.844/0001-68,1,,02,20260505,7319002,RJ,5853
66.621.856/0001-92,1,,08,20260505,5320202,SP,7107
66.621.867/0001-72,1,,02,20260505,1412601,SP,7233
66.621.878/0001-52,1,,02,20260505,8592903,RN,1761
66.621.888/0001-98,1,,02,20260505,7721700,SC,8055
66.621.900/0001-64,1,,02,20260505,4930201,PR,9983
66.621.910/0001-08,1,,02,20260505,9602502,SP,7075
66.621.922/0001-24,1,,02,20260505,5320201,SC,8163
66.621.932/0001-60,1,,02,20260505,8020002,SP,7115
66.621.943/0001-40,1,,02,20260505,5611201,RN,1837
66.621.955/0001-74,1,,02,20260505,1412602,SP,6213
66.621.967/0001-07,1,,02,20260505,4923002,RS,8693
66.621.977/0001-34,1,,02,20260505,8599604,SP,7107
66.621.987/0001-70,1,,02,20260505,3321000,TO,9241
